"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
540669,"Platform","Incubator","platform-incubator-inbox","NEW"," ---","acute security issue","2018-10-31 15:39:13",,2,"2018-10-31 15:37:53","P3","Mac OS X","Macintosh",0
249041,"Platform","Incubator","platform-incubator-inbox","NEW"," ---","Unable to Select SVN Connector","2018-10-10 03:40:30",,3,"2008-09-29 16:15:36","P3","Windows Vista","PC",1
491605,"Platform","Incubator","platform-incubator-inbox","NEW"," ---","Incubation project ""All Spies"" goes to the wrong URL for updates and errors out.","2017-04-15 05:04:13",,2,"2016-04-13 11:09:07","P3","Windows 7","PC",0
489104,"Platform","Incubator","platform-incubator-inbox","NEW"," ---","my Eclipse don't work","2016-03-06 20:36:33",,1,"2016-03-06 20:36:33","P3","Windows 10","PC",0
243380,"Platform","Incubator","bokowski","NEW"," ---","[Databinding] JFace Databinding DOM  project","2013-12-26 11:26:16",,34,"2008-08-07 02:04:57","P3","Windows Vista","PC",0
306493,"Platform","Incubator","platform-incubator-inbox","NEW"," ---","http://download.eclipse.org/eclipse/pde/incubator/visualization/site","2010-03-19 05:49:32",,2,"2010-03-19 05:46:35","P3","Windows XP","PC",0
302695,"Platform","Incubator","platform-incubator-inbox","NEW"," ---","The dependency visualization site reports  ""There are no categorized items""","2010-02-12 06:43:40",,1,"2010-02-12 06:43:40","P3","Windows XP","PC",0
207218,"Platform","Incubator","tom.schindl","NEW"," ---","[GWT] Provide additional Classes for GWT-JRE-Emulation (Part of org.eclipse.equinox.common.gwt)","2009-07-13 16:48:25",,11,"2007-10-23 15:24:21","P3","All","PC",0
209860,"Platform","Incubator","tom.schindl","NEW"," ---","[GWT] Make Core-Databinding-Libs compileable with GWT-Compiler","2008-04-10 15:04:45",207218,2,"2007-11-14 15:50:46","P3","Mac OS X - Carbon (unsup.)","PC",1
196551,"Platform","Incubator","platform-incubator-inbox","NEW"," ---","Apparent change in Alt key behavior  ??","2007-07-14 18:12:56",,1,"2007-07-14 18:12:56","P3","Windows XP","PC",0
