"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
541459,"Platform","Resources","loskutov","NEW"," ---","[win32] Bug_006708.testBug fails with ""A resource exists on disk with a different case""","2018-11-27 12:35:25",,8,"2018-11-22 09:51:15","P3","Windows 10","PC",0
541353,"Platform","Resources","platform-resources-inbox","NEW"," ---","[tests] Sporadic fails in CharsetTest testDeltasContainer and testBug207510","2018-11-23 04:11:00",,6,"2018-11-20 05:51:47","P3","Linux","PC",0
539459,"Platform","Resources","platform-resources-inbox","NEW"," ---","IllegalArgumentException in SaveManager$MasterTable.put","2018-11-21 05:22:18",,6,"2018-09-26 05:00:02","P3","All","All",0
527212,"Platform","Resources","platform-resources-inbox","NEW"," ---","Optimize the ""Building Workspace"" job","2018-11-19 16:19:32","331187, 528150, 528248, 530649, 531553, 531554, 531555, 538462",10,"2017-11-13 11:30:27","P3","All","All",2
541320,"Platform","Resources","platform-resources-inbox","NEW"," ---","Local history triggers UI Freeze because of potentially expensive InetAddress lookup","2018-11-19 10:53:41",,2,"2018-11-19 10:48:24","P3","Mac OS X","PC",0
233019,"Platform","Resources","platform-resources-inbox","NEW"," ---","Unable to import external project from soft-linked directory (symbolic link on the FS)","2018-11-18 18:50:34",338010,11,"2008-05-20 13:20:49","P3","Linux","PC",1
351560,"Platform","Resources","platform-resources-inbox","NEW"," ---","path variable does not resolve correctly","2018-11-15 05:20:59",,3,"2011-07-08 08:17:05","P3","Windows 7","PC",0
541082,"Platform","Resources","simeon.danailov.andreev","NEW"," ---","[win32] 4 recursive link tests fail","2018-11-13 07:34:41",,2,"2018-11-13 07:33:17","P3","Windows 10","PC",0
78438,"Platform","Resources","platform-resources-inbox","ASSIGNED"," ---","Allow .project file to not be at project root","2018-11-13 05:56:24",,31,"2004-11-11 16:42:50","P3","Windows 2000","PC",25
540953,"Platform","Resources","karsten.thoms","ASSIGNED"," ---","Replace Policy.subMonitorFor with SubMonitor.convert","2018-11-10 05:40:56",,3,"2018-11-09 04:40:47","P3","All","All",0
407888,"Platform","Resources","platform-resources-inbox","REOPENED"," ---","BasicAliasTest.testDeepLink failed","2018-11-09 17:25:21",,11,"2013-05-13 10:19:16","P3","All","PC",0
477409,"Platform","Resources","Lars.Vogel","REOPENED"," ---","Replace SubProgressMonitor with SubMonitor in eclipse.platform.resources","2018-11-09 04:41:08","481077, 501808, 506845, 540953",17,"2015-09-14 17:14:52","P3","Linux","PC",0
105309,"Platform","Resources","platform-resources-inbox","ASSIGNED"," ---","slow project creation on flat directory structure","2018-11-08 12:15:55",,3,"2005-07-27 09:56:14","P3","Windows XP","PC",0
150578,"Platform","Resources","platform-resources-inbox","ASSIGNED"," ---","'derived' information should be stored in project, not workspace.","2018-11-06 09:42:48",,43,"2006-07-13 17:50:22","P3","All","All",30
154089,"Platform","Resources","platform-resources-inbox","NEW"," ---","Add ability to ""remember"" that a resource is derived when said resource is deleted","2018-11-06 09:21:03",,8,"2006-08-16 12:30:17","P3","Windows XP","PC",8
538462,"Platform","Resources","mistria","NEW"," ---","[Builders] mixing builders with relaxed and null scheduling rule leads to workspaceRoot","2018-11-05 05:27:15",,7,"2018-08-31 08:29:42","P3","All","All",0
540209,"Platform","Resources","platform-resources-inbox","NEW"," ---","[ Linked Resources] Rename the project with link file, the Linked Resources generate error variables","2018-10-22 01:46:58",,4,"2018-10-17 04:56:15","P3","Windows 10","PC",0
539640,"Platform","Resources","platform-resources-inbox","NEW"," ---","project deleted from disk shoild not be recreated by Eclipse","2018-09-28 18:33:20",,1,"2018-09-28 18:33:20","P3","Linux","PC",0
539337,"Platform","Resources","platform-resources-inbox","NEW"," ---","Eclipse can't find a file in plain view.","2018-09-21 21:20:43",,1,"2018-09-21 21:20:43","P3","Windows 8","PC",0
539320,"Platform","Resources","platform-resources-inbox","NEW"," ---","Builders may interfere with task names of other builders","2018-09-21 06:32:42",,1,"2018-09-21 06:32:42","P3","Windows 10","PC",0
538080,"Platform","Resources","platform-resources-inbox","NEW"," ---","ResourceException below ProjectUtil.refreshValidProjects (thrown in FileSystemResourceManager.read)","2018-08-25 06:24:57",,7,"2018-08-20 03:47:33","P3","All","All",0
108697,"Platform","Resources","mikael.barbero","ASSIGNED"," ---","[autorefresh] more native platform support for auto-refresh","2018-08-23 13:00:12",,38,"2005-09-02 11:13:34","P3","Linux","PC",18
479450,"Platform","Resources","loskutov","NEW"," ---","Set project encoding when creating a new project","2018-08-23 11:57:25",,11,"2015-10-09 12:01:52","P3","All","All",2
331187,"Platform","Resources","platform-resources-inbox","NEW"," ---","[build] AutoBuildJob should be run without holding the Workspace Root rule","2018-08-22 05:47:24","249951, 307097, 343256",4,"2010-11-26 05:22:06","P3","All","All",5
527236,"Platform","Resources","platform-resources-inbox","NEW"," ---","Log long running job that use a workspace lock or use the WorkspaceRoot as schedulingRule","2018-08-22 05:46:08",,1,"2017-11-14 03:33:18","P3","All","All",0
537235,"Platform","Resources","platform-resources-inbox","NEW"," ---","Deadlock during EclipseStarter.shutdown","2018-08-10 05:27:54",,2,"2018-07-20 10:23:10","P3","Windows Server 2008","PC",0
511943,"Platform","Resources","platform-resources-inbox","NEW"," ---","Opening SQL files from history causes a CoreException: Must specify a URI scheme","2018-08-07 02:18:04",,5,"2017-02-08 17:28:54","P3","Windows 10","PC",3
537449,"Platform","Resources","platform-resources-inbox","NEW"," ---","UnifiedTree misses linked directories in some cases","2018-07-31 09:05:43",185247,9,"2018-07-27 09:55:31","P3","Linux","PC",0
537353,"Platform","Resources","platform-resources-inbox","NEW"," ---","Feature request: support curve25519-sha256@libssh.org","2018-07-24 16:37:04",,1,"2018-07-24 16:37:04","P3","Windows 10","PC",0
536114,"Platform","Resources","platform-resources-inbox","NEW"," ---","[Parallel build] Pass scheduling rule to build job","2018-06-21 03:21:59",,3,"2018-06-21 03:16:55","P4","All","All",0
535510,"Platform","Resources","platform-resources-inbox","NEW"," ---","file patterns for content-types not prioritized","2018-06-17 14:26:40",,3,"2018-06-04 05:44:42","P3","All","All",0
245399,"Platform","Resources","platform-resources-inbox","NEW"," ---","Support multiple workspaces inside one Eclipse instance","2018-04-29 07:08:32",,16,"2008-08-27 11:31:05","P3","All","All",5
534157,"Platform","Resources","platform-resources-inbox","NEW"," ---","IProject.isOpen() returns true too early","2018-04-27 09:41:43",,1,"2018-04-27 09:41:43","P3","Windows 7","PC",0
534090,"Platform","Resources","platform-resources-inbox","NEW"," ---","AliasManager updates locationsMap incorrectly after linked resource is moved","2018-04-26 09:13:07",,3,"2018-04-26 08:25:22","P3","All","PC",0
533720,"Platform","Resources","platform-resources-inbox","NEW"," ---","Eclipse freezes after opening or deleting a named pipe","2018-04-18 02:55:28",,2,"2018-04-17 18:35:58","P3","Linux","PC",0
533594,"Platform","Resources","platform-resources-inbox","NEW"," ---","Import project using command line","2018-04-16 05:36:34",,1,"2018-04-16 01:40:02","P3","Linux","All",0
