"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
541498,"Platform","Runtime","tom.schindl","NEW"," ---","IEclipseContext#setParent() recomputes CF-Services on the wrong IEclipseContext","2018-11-28 04:21:26",,6,"2018-11-23 07:27:06","P3","Mac OS X","PC",0
541529,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","I am not able to add the TestNG through Install new software and Eclipse New Software which comes under Help tab.","2018-11-24 07:44:56",,1,"2018-11-24 07:44:56","P3","Windows 10","PC",0
540685,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Document which Job#create method to prefer - ICoreRunnable or IJobFunction","2018-11-19 12:39:43",,3,"2018-11-01 06:00:21","P3","Windows 10","PC",0
540688,"Platform","Runtime","Lars.Vogel","NEW"," ---","Add toString method to SubMonitor","2018-11-19 12:39:27",,2,"2018-11-01 07:37:52","P3","Windows 10","PC",0
101303,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","[Mac] [RCP] On MacOS X application menu of exported program is titled ""java""","2018-11-17 20:26:22",,39,"2005-06-22 13:48:11","P3","Mac OS X - Carbon (unsup.)","Macintosh",1
539586,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Remove unnecessary Activator in org.eclipse.core.jobs","2018-11-15 04:03:26",,18,"2018-09-27 13:44:33","P3","Linux","PC",0
531242,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","frequent Eclipse crashes in MSCTF.dll","2018-11-14 15:24:17",,4,"2018-02-15 18:56:00","P3","Windows 10","PC",1
539396,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Unable to update egit/jgit","2018-11-13 04:39:41",,3,"2018-09-24 16:10:38","P3","Windows 7","PC",0
539038,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Unresolved requirement: Import-Package: javax.annotation","2018-11-06 05:39:38","534074, 535168",25,"2018-09-13 12:35:00","P3","Windows 10","PC",0
465633,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Eclipse Luna get crashed on launch.","2018-11-06 01:08:12",,2,"2015-04-27 19:35:11","P3","Mac OS X","Macintosh",0
539954,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","eclipse installer ""SimRel 2018‑09"" from ibm cloud is reported as virus infected","2018-10-09 06:52:13",,1,"2018-10-09 06:51:54","P3","Windows 10","PC",0
539691,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Main thread has less stack than others when starting eclipse app with jvm.dll","2018-10-01 09:11:01",,1,"2018-10-01 09:11:01","P3","Windows 7","PC",1
531968,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Delete Job.createSystem(ICoreRunnable) API","2018-09-25 16:03:04",,2,"2018-03-04 03:53:51","P3","All","All",0
415873,"Platform","Runtime","platform-runtime-inbox","ASSIGNED"," ---","a.isConflicting(b) is not enough to tell if rules a and b are conflicting","2018-09-21 13:54:52",,40,"2013-08-26 09:52:17","P3","All","All",0
408192,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Frequent OutOfMemoryError on AIX-GTK","2018-09-17 11:38:48",,5,"2013-05-16 01:49:28","P3","AIX","Power PC",0
539149,"Platform","Runtime","platform-runtime-inbox","NEW"," ---"," @EventTopic should be public API","2018-09-17 07:49:04",,1,"2018-09-17 07:49:04","P3","All","All",0
539119,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Export working v7 EAR for Wildfly 13 then import says runtime not supported","2018-09-16 12:29:25",,2,"2018-09-16 12:23:04","P3","Windows 10","PC",0
538524,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","When failing with ""The Eclipse executable launcher was unable to locate its companion shared library"" offer more help","2018-09-03 05:15:30",,3,"2018-09-03 04:44:30","P3","Linux","PC",0
538105,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Eclipse --launcher.openfile Vs Ctrl+Shift+R","2018-08-25 23:26:00",,3,"2018-08-21 03:28:24","P3","Linux","PC",0
502360,"Platform","Runtime","platform-runtime-inbox","REOPENED"," ---","Provide public Logger API in org.eclipse.core.runtime","2018-08-23 09:18:11",,75,"2016-09-28 02:57:09","P3","All","All",0
459864,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","pluginCustomization does not work with xml preferences or preferences within subnodes","2018-08-01 03:29:24",,1,"2015-02-13 04:57:18","P3","Linux","PC",0
486088,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","StandInException below ProxySetupHelper.getProxy","2018-07-17 02:49:35",,4,"2016-01-19 04:23:51","P3","All","All",0
351303,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Register an URL protocol with the operating system","2018-07-13 17:37:35",,43,"2011-07-06 06:52:11","P3","All","All",2
536182,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","org.eclipse.core.runtime.Platform.getUserLocation returns unexpected path","2018-06-22 08:55:00",,1,"2018-06-22 08:55:00","P3","Linux","PC",0
535476,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","PerformanceStats API assume events are sequential","2018-06-19 17:10:54",,2,"2018-06-02 05:45:06","P3","All","All",0
366161,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Add callback (CancelListener) to IProgressMonitor","2018-06-18 11:04:58",,1,"2011-12-09 04:48:12","P3","All","All",0
535619,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","strange error during checking for updates","2018-06-06 17:57:23",,1,"2018-06-06 17:57:23","P3","Linux","PC",0
512038,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Retire org.eclipse.core.tools as it is (mostly) broken","2018-05-25 04:07:17",,4,"2017-02-10 09:07:58","P3","Linux","PC",0
470175,"Platform","Runtime","mikael.barbero","NEW"," ---","Investigate progress reporter on jobs that don't check for cancellation","2018-05-19 04:59:53",,49,"2015-06-15 09:05:41","P3","All","All",2
534777,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","(Older) plugins do not install properly in Eclipse installed via installer","2018-05-16 15:27:05",,1,"2018-05-16 15:27:05","P3","Mac OS X","PC",0
526357,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Eclipse fails during startup in Ubuntu 17.10: ""No more handles""","2018-05-14 08:06:03",,5,"2017-10-23 04:42:22","P3","Linux","PC",1
474619,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Need a test for new API in org.eclipse.core.runtime.Adapters","2018-05-10 13:47:37",,3,"2015-08-10 10:58:45","P3","Windows 7","PC",0
485565,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Implement a utility method to request adapters via a string","2018-05-10 13:46:08",,1,"2016-01-11 11:24:04","P3","Linux","PC",0
470682,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","[Preferences] Preferences are a discouraged access","2018-05-08 10:14:33",,3,"2015-06-22 04:56:19","P3","All","All",0
533903,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","line number setting and scrollbar area","2018-04-21 08:51:27",,1,"2018-04-21 08:51:27","P3","Windows 10","PC",0
533567,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","PNG files in Infocenter show broken in browser","2018-04-13 15:08:39",,1,"2018-04-13 15:08:39","P3","Linux","PC",0
496641,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Application could not be found in registry","2018-04-13 05:59:00",,9,"2016-06-23 07:53:37","P3","All","PC",0
532719,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","WARNING: Using incubator modules: jdk.incubator.httpclient after update to oxygen.3","2018-04-12 10:39:52",,1,"2018-03-21 12:35:45","P3","Linux","PC",0
533373,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Allow smb:// as scheme for available software sites","2018-04-09 06:57:35",,1,"2018-04-09 06:57:35","P3","Windows 10","PC",0
533039,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Interaction with a disposed IEclipseContext should log an error","2018-03-29 02:49:35",,1,"2018-03-29 02:49:35","P3","Mac OS X","PC",0
512665,"Platform","Runtime","dirk.fauth","NEW"," ---","Mark MessageXxx functional interfaces from o.e.e4.core.services for deletion","2018-03-21 17:11:39",,7,"2017-02-23 16:07:54","P3","All","All",0
532381,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Discouraged access: The type 'OSGiBundle' is not API","2018-03-13 02:30:28",,1,"2018-03-13 02:30:28","P3","Linux","PC",0
531744,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Values printed to the terminal window are not displaying","2018-02-27 11:41:27",,2,"2018-02-27 11:40:42","P3","Windows 10","PC",0
531545,"Platform","Runtime","platform-runtime-inbox","NEW"," ---","Eclipse Oxygen hangs on Windows","2018-02-22 15:10:03",,12,"2018-02-22 12:54:38","P3","Windows 7","PC",0
519269,"Platform","Runtime","karsten.thoms","NEW"," ---","NullPointerException in Worker.run","2018-02-13 09:25:21",527229,14,"2017-07-05 18:21:05","P3","All","All",0
