"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
540491,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","org.eclipse.birt.report.engine.api.EngineException: Failed to save design.","2018-10-26 06:19:40",,2,"2018-10-26 02:13:54","P3","Windows 7","PC",0
379405,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","Cash Ubuntu Linux 12.04 not respond","2018-10-22 06:30:55",,2,"2012-05-14 08:09:28","P3","Linux","PC",0
537636,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","Unable to Execute Selenium Automation scripts due to Blocking issues as ""Code Launcher can not download it's model  repository index .still can't connect and File a bug with Eclipse Code Recommenders"" in the Eclipse.","2018-08-02 22:50:49",,2,"2018-08-02 22:27:47","P3","Windows 10","PC",0
534260,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","HTML enitity Solidus not recognized","2018-05-02 09:11:41",,2,"2018-05-02 09:04:21","P3","Windows 8","PC",0
527970,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","deleted files after runtime error","2017-11-30 12:52:48",,1,"2017-11-30 12:52:48","P3","Mac OS X","PC",0
527968,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","deleted files after runtime error","2017-11-30 12:49:47",,1,"2017-11-30 12:49:47","P3","Mac OS X","PC",0
487239,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","tesst","2016-02-04 09:49:34",,1,"2016-02-04 09:49:34","P3","Windows 8","PC",0
480023,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","sending message and waiting for response","2015-10-17 08:32:31",,1,"2015-10-17 08:32:31","P3","Linux","PC",0
479836,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","send messege and respond another messege","2015-10-15 05:01:19",,1,"2015-10-15 05:01:19","P3","Windows 8","PC",0
479834,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","it's about to send and responde the answer","2015-10-15 04:49:46",,1,"2015-10-15 04:49:46","P3","Windows 8","PC",0
478387,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","Change cast of js","2015-09-25 04:38:25",,1,"2015-09-25 04:38:25","P3","Windows 7","PC",0
470853,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","[Import] Bug on import","2015-06-23 21:35:47",,1,"2015-06-23 21:35:47","P3","Windows 8","PC",0
463123,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","sss","2015-03-25 13:10:29",,1,"2015-03-25 13:10:29","P3","Windows 8","PC",0
460366,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","Eclipse RCP  Version: 4.3.2.v20140221-1700 Build id: M20140221-1700","2015-02-19 12:49:24",,1,"2015-02-19 12:49:24","P3","Windows All","PC",0
459350,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","idk","2015-02-06 17:28:29",,1,"2015-02-06 17:28:29","P3","Mac OS X","Macintosh",0
457557,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","dsa","2015-01-15 06:33:34",,1,"2015-01-15 06:33:34","P3","Windows 7","PC",0
454333,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","There´s an error on the "";"" sintax","2014-12-06 16:09:20",,1,"2014-12-06 16:09:20","P3","Windows 7","PC",0
448067,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","Eclipse","2014-10-21 08:08:13",,1,"2014-10-21 08:08:13","P3","Windows 8","PC",0
448066,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","Eclipse","2014-10-21 08:07:13",,1,"2014-10-21 08:07:13","P3","Windows 8","PC",0
436414,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","When I open Eclipse, it starts opening (I see the loading screen) and then suddenly just stops loading.","2014-06-02 18:26:59",,1,"2014-06-02 18:26:59","P3","Mac OS X","Macintosh",0
395067,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","Vulnerability in Eclipse","2013-02-28 07:34:02",,2,"2012-11-26 09:17:29","P3","Windows 7","PC",0
399110,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","Connection Method","2013-01-25 11:52:21",,1,"2013-01-25 11:52:21","P3","All","All",0
393492,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","Layout Bug for Android Application Development. R's are underlined in red.","2012-11-03 12:33:59",,1,"2012-11-03 12:33:59","P3","Mac OS X","PC",0
385169,"Platform","Scripting","platform-scripting-inbox","NEW"," ---","JavaScript proposals don't work in an Android project","2012-07-16 08:34:31",,1,"2012-07-16 08:34:31","P3","Windows 7","PC",0
