"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
535752,"Platform","Search","michael.keppler","REOPENED"," ---","Regexp search performance with \n","2018-11-23 11:48:06",,9,"2018-06-11 03:12:13","P3","All","All",0
541178,"Platform","Search","platform-search-inbox","NEW"," ---","File Search Cancel Hangs For Long Running Searches","2018-11-15 00:37:43",,2,"2018-11-14 19:14:58","P3","Windows 10","PC",0
541139,"Platform","Search","platform-search-inbox","NEW"," ---","Search should honor project hierarchy and favor resources from nested projects","2018-11-14 06:19:03",,2,"2018-11-14 05:34:23","P3","All","All",1
540328,"Platform","Search","platform-search-inbox","NEW"," ---","newline character in search box","2018-10-19 22:54:54",,1,"2018-10-19 22:54:54","P3","Mac OS X","PC",0
537988,"Platform","Search","platform-search-inbox","ASSIGNED"," ---","Hard to read colors in highlight occurrences in search view in Dark Theme","2018-08-26 02:21:24",,4,"2018-08-16 06:51:42","P3","Windows 10","PC",0
533879,"Platform","Search","platform-search-inbox","NEW"," ---","[Dark Theme] Search and replace preview looks bad","2018-08-23 12:19:12",,2,"2018-04-20 10:18:55","P3","Linux","PC",0
109481,"Platform","Search","imelflorianingerl","REOPENED"," ---","[find/replace] replace doesn't work when using a regex with a lookahead or boundary matchers","2018-08-05 11:54:01",,31,"2005-09-14 05:15:31","P3","All","All",17
40568,"Platform","Search","platform-search-inbox","ASSIGNED"," ---","File search should be able to use directory pattern.","2018-07-22 09:08:14",,5,"2003-07-21 13:27:05","P4","All","All",1
487093,"Platform","Search","robert.roth.off","ASSIGNED"," ---","You can too easily clear the search history","2018-06-19 10:04:09",,14,"2016-02-03 06:06:34","P5","All","All",0
508693,"Platform","Search","Vikas.Chandra","NEW"," ---","File search loses project context unnecessarily","2018-05-24 12:50:30",,5,"2016-12-05 14:05:31","P3","All","All",0
92178,"Platform","Search","platform-search-inbox","ASSIGNED"," ---","ability to search open files only","2018-05-10 17:34:55",,24,"2005-04-21 00:11:02","P5","All","All",3
56113,"Platform","Search","platform-search-inbox","ASSIGNED"," ---","focus is not in the Search view if toolbar had focus","2018-03-08 00:25:46",56124,9,"2004-03-25 04:53:34","P3","All","All",0
