"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1460963,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","New tab page in 60.0 loads blank","2018-08-22 08:09:08",,"2018-05-11 12:08:50","Unspecified",16,,,,1,"Client Software"," --",,"60 Branch",0,10,
1503632,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","High CPU usage when hovering links, thumbnails and even empty space","2018-11-07 10:19:59",,"2018-10-31 10:26:32","Linux",3,,,,0,"Client Software","P2",,"63 Branch",0,5,
1410380,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""Top Stories - Enable""","2018-06-12 05:21:59",,"2017-10-20 04:32:07","Unspecified",3,"2018-01-18 14:26:36",,,0,"Client Software","P3",,"unspecified",0,3,
1410385,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""Top Stories - Context menu""","2018-05-03 08:14:54",,"2017-10-20 04:42:15","Unspecified",1,"2018-01-18 14:37:40",,,0,"Client Software","P3",,"unspecified",0,2,
1410389,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""Top Stories - Context menu - Bookmark""","2018-05-03 08:14:52",,"2017-10-20 04:58:09","Unspecified",1,"2018-01-18 14:28:15",,,0,"Client Software","P3",,"unspecified",0,2,
1410391,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""Top Stories - Context menu - Remove Bookmark""","2018-05-03 08:14:49",,"2017-10-20 05:03:48","Unspecified",1,"2018-01-18 14:28:41",,,0,"Client Software","P3",,"unspecified",0,2,
1410393,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""Top Stories - Context menu - Save to Pocket""","2018-05-03 08:14:52",,"2017-10-20 05:11:04","Unspecified",1,"2018-01-18 14:27:38",,,0,"Client Software","P3",,"unspecified",0,2,
1410397,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""Top Stories - Context menu - Open in a New Window""","2018-05-03 08:14:50",,"2017-10-20 05:18:57","Unspecified",1,"2018-01-18 14:28:27",,,0,"Client Software","P3",,"unspecified",0,2,
1410398,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""Top Stories - Context menu - Open in a New Private Window""","2018-05-03 08:14:52",,"2017-10-20 05:24:09","Unspecified",1,"2018-01-18 14:28:00",,,0,"Client Software","P3",,"unspecified",0,2,
1410400,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""Top Stories - Context menu - Dismiss""","2018-05-03 08:14:53",,"2017-10-20 05:30:27","Unspecified",1,"2018-01-18 14:37:51",,,0,"Client Software","P3",,"unspecified",0,2,
1410402,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""Top Stories - Context menu - Dismiss all Stories""","2018-05-03 08:14:49",,"2017-10-20 05:39:58","Unspecified",1,"2018-01-18 14:29:00",,,0,"Client Software","P3",,"unspecified",0,2,
1410435,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""New Tab Preferences - Top Stories - Enable""","2018-05-03 08:14:56",,"2017-10-20 07:36:23","Unspecified",1,"2018-01-18 14:29:46",,,0,"Client Software","P3",,"unspecified",0,2,
1410440,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Add automated test for ""New Tab Preferences - Top Stories - Disable""","2018-05-03 08:14:55",,"2017-10-20 07:44:20","Unspecified",1,"2018-01-18 14:29:31",,,0,"Client Software","P3",,"unspecified",0,2,
1426922,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Preference to disable visiting and screenshotting pages in Activity Stream","2018-01-04 10:29:04",,"2017-12-23 01:21:51","Unspecified",1,,,,0,"Client Software","P3",,"57 Branch",0,1,
1427594,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Memory consumption on idle","2018-06-01 01:25:45",,"2018-01-02 05:12:37","Unspecified",15,,,,0,"Client Software","P3",,"57 Branch",2,11,
1460420,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Include AS telemetry in about:telemetry","2018-05-14 11:36:52",,"2018-05-09 13:33:11","All",5,,,,0,"Client Software","P3",,"Trunk",0,4,
1475785,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Activity stream is trying to capture thumbnails even when a blank page is set as home and newtab page","2018-11-05 02:34:00",,"2018-07-14 04:28:07","Unspecified",1,,,,0,"Client Software","P3",,"unspecified",2,2,
1478365,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Activity stream should have a filter for pretty (rich icon) tiles only","2018-10-01 08:22:00",,"2018-07-25 06:56:37","Unspecified",4,,,,0,"Client Software","P3",,"63 Branch",1,6,
1486070,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","Search Topsites should include custom search engines","2018-09-04 08:42:00",,"2018-08-24 10:58:32","Unspecified",1,,,,0,"Client Software","P3",,"63 Branch",1,2,
1496802,"Firefox","Activity Streams: Newtab","nobody","UNCONFIRMED"," ---","error in opening a local html file in TOP SITES section","2018-10-15 11:13:59",,"2018-10-05 11:07:43","Unspecified",3,,,,0,"Client Software","P3",,"60 Branch",1,3,
