"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1492000,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","Bookmarks and syncing lost after update to 62.0","2018-10-23 07:54:56",,"2018-09-17 15:58:54","Unspecified",12,,,,0,"Client Software"," --",,"62 Branch",0,5,
1498725,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","Firefox updated; most of my LARGE collection of sites was lost.","2018-11-06 14:23:57",,"2018-10-12 14:59:17","Unspecified",14,,,,0,"Client Software"," --",,"62 Branch",0,2,
1502064,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","FF 63 and FF 64BETA3 bookmarks without icons in bookmarks toolbar","2018-11-10 07:51:24",,"2018-10-25 07:45:21","Unspecified",17,,,,0,"Client Software"," --",,"64 Branch",0,6,
1503051,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","bookmark toolbar disappeared Quantum 63","2018-11-07 04:40:35",,"2018-10-29 15:41:21","Unspecified",8,,,,0,"Client Software"," --",,"63 Branch",0,2,
1504540,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","Bookmarks older than the 3 newest disappear","2018-11-09 00:50:13",,"2018-11-04 08:40:12","Unspecified",3,,,,0,"Client Software"," --",,"63 Branch",0,1,
1505049,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","bookmark bar is messing up with the order","2018-11-06 08:08:44",,"2018-11-06 07:14:23","Mac OS X",6,,,,0,"Client Software"," --",,"62 Branch",0,1,
1176332,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","nsINavBookmarkObserver onItemChanged() is triggered for each tag added to a bookmark (for that bookmark)","2015-09-25 09:34:28",,"2015-06-19 11:33:57","Unspecified",1,,,,0,"Client Software","P3",,"40 Branch",1,2,
1374131,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","Ctrl+shift+drag on a bookmark/bookmark folder indicates a (symbolic) link will be created, but only a copy is created","2017-09-15 01:25:27",,"2017-06-18 18:59:55","Unspecified",2,,,,0,"Client Software","P3",,"53 Branch",0,1,
1376740,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","omit ICON=""data:image/png... and ICON=""data:image/x-icon... strings from exported bookmarks","2017-09-15 02:01:31",,"2017-06-28 04:05:50","Unspecified",1,,,,0,"Client Software","P3",,"1.0 Branch",1,2,
1383438,"Firefox","Bookmarks & History","nobody","UNCONFIRMED"," ---","when the Preference under General ""Open windows in a new tab instead"" is checked the new URL loads over the current tab when opening a url from the library","2017-09-15 03:41:27",,"2017-07-22 10:38:24","Unspecified",2,,,,0,"Client Software","P3",,"54 Branch",0,2,
