"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1212996,"Firefox","Device Permissions","nobody","UNCONFIRMED"," ---","Grant permission for all devices of a class","2017-11-24 11:54:42",,"2015-10-08 11:57:48","Unspecified",29,,,,0,"Client Software"," --",,"42 Branch",0,6,
1463274,"Firefox","Device Permissions","nobody","UNCONFIRMED"," ---","Firefox does not allow configuring a default webcam device","2018-10-31 13:45:00",,"2018-05-21 15:15:00","Unspecified",7,"2018-06-20 08:27:43",,,0,"Client Software","P3",,"60 Branch",0,2,
1423871,"Firefox","Device Permissions","nobody","UNCONFIRMED"," ---","Webrtc icon centered on secondary screen in gnome3","2018-10-31 13:36:28",,"2017-12-07 04:18:34","Linux",1,,,,0,"Client Software","P5",,"57 Branch",0,3,
748835,"Firefox","Device Permissions","nobody","NEW"," ---","Desktop UI implementation for Camera API feature","2018-06-04 13:42:55","691234, 752352, 752353, 764563","2012-04-25 09:55:09","All",17,,,,0,"Client Software"," --",,"unspecified",2,23,
799415,"Firefox","Device Permissions","nobody","NEW"," ---","UI for handling WebRTC camera access requests should show previews","2016-05-19 13:11:16",729522,"2012-10-09 01:07:35","All",1,,,,0,"Client Software"," --",,"Trunk",0,5,
801066,"Firefox","Device Permissions","nobody","NEW"," ---","Requesting to get the camera from a file:// URL does not show any origin of where the request is being made","2015-11-01 04:58:36",,"2012-10-12 12:39:15","All",1,,,,0,"Client Software"," --",,"Trunk",0,3,
802416,"Firefox","Device Permissions","nobody","NEW"," ---","Cannot see the number portion of the text in the gUM permission prompt with a microphone name that exceeds the length of the prompt","2015-01-06 08:40:44",,"2012-10-16 16:12:35","All",3,,,,0,"Client Software"," --",,"Trunk",0,1,
840218,"Firefox","Device Permissions","nobody","NEW"," ---","The visible indicator for when a site accesses camera/mic should show what camera/mic the site is using","2015-01-06 08:40:20",,"2013-02-11 12:40:50","All",1,,,,0,"Client Software"," --",,"Trunk",0,5,
846584,"Firefox","Device Permissions","nobody","NEW"," ---","WebRTC getUserMedia doorhanger has 3 ways of rejecting the request, and there's no clear distinction between them","2015-01-06 08:13:09",,"2013-02-28 16:55:15","Linux",3,,,,0,"Client Software"," --",,"Trunk",0,5,
855066,"Firefox","Device Permissions","nobody","NEW"," ---","permission doorhanger comes up after page is closed","2015-01-06 08:50:17",818852,"2013-03-26 14:20:36","Linux",5,,,,0,"Client Software"," --",,"Trunk",0,7,
876034,"Firefox","Device Permissions","nobody","NEW"," ---","Call to getUserMedia should be under user-initiated action","2015-01-06 08:40:38",,"2013-05-24 16:35:41","All",12,,,,0,"Client Software"," --",,"Trunk",0,7,
877013,"Firefox","Device Permissions","nobody","NEW"," ---","Exceptions in browser.js when window.open races with getUserMedia","2015-11-01 04:58:48",,"2013-05-28 18:45:20","All",3,,,,0,"Client Software"," --",,"Trunk",0,3,
896876,"Firefox","Device Permissions","nobody","NEW"," ---","getUserMedia should default to last selected camera","2015-06-22 10:28:40",883707,"2013-07-22 21:06:21","Mac OS X",3,,,,0,"Client Software"," --",,"25 Branch",0,5,
905696,"Firefox","Device Permissions","nobody","NEW"," ---","Support application preferences for cameras and mics in getUserMedia() prompts (Desktop)","2015-12-02 14:06:11",882145,"2013-08-15 10:11:37","All",3,,,,0,"Client Software"," --",,"unspecified",0,6,
933022,"Firefox","Device Permissions","nobody","NEW"," ---","Add controls to getUserMedia in-use dropdown doorhanger to revoke access and to mute/unmute","2015-01-06 08:40:31",,"2013-10-30 15:06:31","All",10,,,,0,"Client Software"," --",,"25 Branch",0,7,
949920,"Firefox","Device Permissions","nobody","NEW"," ---","webrtcUI.jsm (updateIndicators): ""e.getNext(...).WebrtcIndicator is undefined"" when racing with window creation","2015-01-06 08:13:06",,"2013-12-12 23:24:54","Mac OS X",1,,,,0,"Client Software"," --",,"Trunk",0,4,
973318,"Firefox","Device Permissions","nobody","NEW"," ---","Errors in webrtcUI.jsm when window is closed after calling mozGetUserMedia","2015-06-22 08:07:44",949907,"2014-02-16 02:53:36","Mac OS X",4,,,,0,"Client Software"," --",,"Trunk",0,5,
