"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1419625,"Firefox","Installer","nobody","UNCONFIRMED"," ---","57.0 installer executes a profile reset/refresh even though the profile had been used with 56.0.2","2017-12-04 09:10:59",,"2017-11-21 18:09:30","Unspecified",4,,,,0,"Client Software"," --",,"57 Branch",0,2,
1440952,"Firefox","Installer","nobody","UNCONFIRMED"," ---","Register Firefox in ""App Paths"" on Windows","2018-02-26 14:41:15",,"2018-02-24 14:27:54","Windows",4,,,,0,"Client Software"," --",,"59 Branch",0,2,
1431248,"Firefox","Installer","nobody","UNCONFIRMED"," ---","Firefox update process corrupts my Windows User Profile","2018-03-01 09:58:36",,"2018-01-17 15:58:54","Windows 7",6,,,,0,"Client Software","P3",,"50 Branch",0,3,
411436,"Firefox","Installer","nobody","UNCONFIRMED"," ---","Firefox changes registry such that hyperlinks can't be opened from Outlook 2007 messages.","2018-11-06 09:11:04",,"2008-01-08 19:18:12","Windows Vista",11,,,,0,"Client Software","P5",,"3.0 Branch",1,6,
756374,"Firefox","Installer","nobody","UNCONFIRMED"," ---","Installer should deploy settings to keep Win7 Native Backup system from backing up cache files","2017-08-17 14:25:08",,"2012-05-17 23:13:11","Windows 7",2,,,,0,"Client Software","P5",,"unspecified",1,1,
764709,"Firefox","Installer","nobody","UNCONFIRMED"," ---","Add silent switch to opt-out of Maintenance Service install","2012-06-14 04:21:19",741174,"2012-06-13 22:40:11","Windows 7",2,,,,0,"Client Software","P5",,"13 Branch",1,1,
1137014,"Firefox","Installer","nobody","UNCONFIRMED"," ---","maintenanceservice_installer.exe fails without notification when there is a %ProgramFiles%\mozilla maintenance service file","2017-12-29 03:39:55",,"2015-02-25 17:10:17","Windows 7",1,,,,0,"Client Software","P5",,"36 Branch",0,4,
1485505,"Firefox","Installer","agashlin","NEW"," ---","Installer sometimes appears in background","2018-08-25 18:46:14",,"2018-08-22 14:56:53","Unspecified",2,,,,0,"Client Software"," --",,"62 Branch",0,0,
1479566,"Firefox","Installer","mheubusch","NEW"," ---","When Firefox is being updated it should be clear the applications running are from Firefox","2018-07-30 13:20:24",,"2018-07-30 12:59:37","Unspecified",2,,,,0,"Client Software"," --",,"unspecified",0,1,
543390,"Firefox","Installer","nobody","NEW"," ---","MSI Installer should have a real UI","2017-01-23 04:25:15",572207,"2010-01-31 19:27:37","Windows 7",2,,,,0,"Client Software"," --",,"unspecified",2,11,
