"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
318896,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Alt+Q (providing @) on PC with German keyboard resembles to Quit on Mac Keyboard (Apple-Q)","2013-10-03 04:00:08",,"2005-12-03 03:53:29","Mac OS X",2,,,,0,"Client Software"," --",,"3.6 Branch",0,4,
330069,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Arrow keys increment scrollspeed during Autoscroll","2018-05-02 08:27:49",,"2006-03-10 12:09:41","All",12,,,,0,"Client Software"," --",,"Trunk",2,4,
382960,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Submitting forms via keyboard from a textarea","2013-10-29 07:43:42",,"2007-06-02 09:10:20","Linux",3,,,,0,"Client Software"," --",,"unspecified",0,3,
427080,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Arrows does not work when writing in Korean","2010-07-12 18:34:07",,"2008-04-04 10:53:45","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,2,
430175,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Inconsistencies with zoom keys","2016-02-18 16:53:07",,"2008-04-21 17:40:48","Mac OS X",16,"2008-04-22 00:46:20",,,0,"Client Software"," --",,"Trunk",0,7,
435593,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Allow to check multiples checkboxes","2010-12-30 10:05:13",,"2008-05-24 13:28:58","All",4,,,,0,"Client Software"," --",,"unspecified",1,2,
436608,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Ctrl+Z should restore a recently closed tab","2011-04-28 12:01:33",,"2008-05-30 15:57:20","All",5,,,,1,"Client Software"," --",,"unspecified",2,3,
452215,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Disabling the Mouse/Keyboard shortcuts to navigate forward and back","2009-12-08 19:14:02",,"2008-08-26 04:49:33","Windows Vista",5,,,,0,"Client Software"," --",,"unspecified",2,2,
476461,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Mac bookmarks library quick-search should be Command-option-F","2013-10-21 09:25:53",,"2009-02-02 06:26:41","Mac OS X",3,,,,0,"Client Software"," --",,"unspecified",0,2,
484755,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Keyboard shortcuts do not work on quit confirmation panel","2010-10-18 13:48:18",,"2009-03-23 01:54:13","Mac OS X",4,,,,0,"Client Software"," --",,"3.6 Branch",0,2,
488891,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","In an OpenFileDialog Win/Command + a is not selecting all the files in a folder in Firefox","2009-09-24 10:02:39",,"2009-04-17 12:02:21","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,0,
499077,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","Can't select active tab","2012-10-17 16:53:25",,"2009-06-17 23:09:42","All",6,,,,0,"Client Software"," --",,"16 Branch",0,1,
499414,"Firefox","Keyboard Navigation","nobody","UNCONFIRMED"," ---","stupid user (me) behavior: option-clicking on e-mail address hangs in download bar","2013-10-19 15:47:18",,"2009-06-19 17:01:39","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,1,
