"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
300002,"Firefox","Menus","nobody","UNCONFIRMED"," ---","UI for logging out of sites using HTTP authentication/phishing attack preventer","2016-08-22 02:30:53","55181, 260839","2005-07-07 13:55:08","All",3,,,,2,"Client Software"," --",,"Trunk",26,8,
314697,"Firefox","Menus","nobody","UNCONFIRMED"," ---","Better support for links connected to objects (longdesc, cite)","2016-06-30 10:10:17","877453, 1283529","2005-11-01 19:52:41","All",3,,,,0,"Client Software"," --",,"Trunk",2,4,
335348,"Firefox","Menus","nobody","UNCONFIRMED"," ---","""Save Image As ..."" should include path information in default filename","2015-10-18 01:50:31",,"2006-04-25 01:28:34","All",5,,,,0,"Client Software"," --",,"unspecified",0,6,
345332,"Firefox","Menus","nobody","UNCONFIRMED"," ---","quick copy URL","2012-04-15 21:44:49",,"2006-07-20 08:52:01","Windows XP",4,,,,0,"Client Software"," --",,"unspecified",0,4,
383380,"Firefox","Menus","nobody","UNCONFIRMED"," ---","Spell Check Not giving correct spelling context menu","2011-06-06 19:32:38",,"2007-06-05 15:12:59","Linux",2,,,,0,"Client Software"," --",,"2.0 Branch",0,2,
426934,"Firefox","Menus","nobody","UNCONFIRMED"," ---","the color of Text Menu Items doesn't obey GTK color","2011-06-15 05:36:46",,"2008-04-03 19:22:33","Linux",3,,,,0,"Client Software"," --",,"3.0 Branch",0,3,
429150,"Firefox","Menus","nobody","UNCONFIRMED"," ---","Incorrect Reporting of Page Size - Rt click on pg/View Pg Info - then sv/ondisk-pg larger","2010-08-23 03:23:44",,"2008-04-15 09:32:48","All",4,,,,0,"Client Software"," --",,"Trunk",0,1,
435640,"Firefox","Menus","nobody","UNCONFIRMED"," ---","Mailing list group manager","2012-04-27 18:30:18",,"2008-05-25 04:30:47","Linux",2,,,,0,"Client Software"," --",,"unspecified",0,1,
451799,"Firefox","Menus","nobody","UNCONFIRMED"," ---","Allow to specify enlargement factor (specific Zoom percentage value)","2011-11-13 10:04:49",,"2008-08-22 17:36:00","Linux",1,,,,0,"Client Software"," --",,"7 Branch",0,1,
454976,"Firefox","Menus","nobody","UNCONFIRMED"," ---","Merge iframe opening options (open iframe in a new tab with middle click etc)","2012-05-20 18:51:48",,"2008-09-12 03:54:38","All",2,,,,0,"Client Software"," --",,"unspecified",2,3,
