"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
725694,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","New Tab Page Doesn't Update Awesome Bar Result Frequencies","2015-07-21 13:17:33",455553,"2012-02-09 09:16:21","All",6,,,,0,"Client Software"," --",,"Trunk",1,8,
735294,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","[UX][New Tab Page] show favicons in thumbnails","2015-10-30 06:32:08",,"2012-03-13 09:59:45","All",9,,,,2,"Client Software"," --",,"Trunk",7,12,
763402,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","[New Tab page]Automatically fetch thumbnails for manually pinned sites","2018-11-05 02:51:00",,"2012-06-11 01:31:47","All",2,,,,0,"Client Software"," --",,"Trunk",0,3,
794716,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Modular new tab page.","2014-05-20 22:38:48",,"2012-09-26 19:38:12","Linux",2,,,,0,"Client Software"," --",,"Trunk",1,3,
849502,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","When I rip a tab out a partially transparent thumbnail remains until I restart my machine","2015-12-28 07:45:45",,"2013-03-09 02:48:09","Windows 8",8,"2013-12-22 23:42:47",,,0,"Client Software"," --",,"36 Branch",0,4,
972176,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Speed Dial Icons are broken because of Image and Javascript blocking addons","2015-04-07 01:36:52",,"2014-02-12 21:08:37","Linux",1,,,,0,"Client Software"," --",,"27 Branch",1,1,
1000067,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Feature request: Implement import and backup function for data in browser.newtabpage.pinned.","2016-02-02 07:36:54",,"2014-04-23 03:09:38","Windows 7",4,,,,0,"Client Software"," --",,"28 Branch",0,2,
1044216,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","new tabs page doesn't distinguish between X.Y.COM and Z.Y.COM","2014-09-25 05:12:02",,"2014-07-25 13:26:34","Linux",12,,,,0,"Client Software"," --",,"32 Branch",1,3,
1082430,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Outline for Hide/Show new tab page button","2014-10-17 13:38:17",,"2014-10-13 22:53:33","Windows 7",2,,,,0,"Client Software"," --",,"33 Branch",0,2,
1082830,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","[New Tab Page] Thumbnail images don't resize when using smaller window size.","2014-10-16 07:35:08",,"2014-10-14 14:01:47","Windows 7",3,"2014-10-16 13:46:03",,,0,"Client Software"," --",,"33 Branch",0,2,
1092696,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Tab page keeps changing, now showing only two tabs, enters sites visited only once","2014-11-03 08:00:57",,"2014-11-01 21:49:02","Windows 8.1",2,,,,0,"Client Software"," --",,"33 Branch",0,3,
1096336,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","For ""FirefoxDev"", fix how ""about:blank"" works to normal dev expectations","2016-01-04 07:52:46",,"2014-11-10 07:15:49","All",2,,,,0,"Client Software"," --",,"36 Branch",0,9,
1096860,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","about:newtab is showing black previews for some websites","2015-06-27 14:39:22",,"2014-11-11 01:51:45","Linux",1,,,,0,"Client Software"," --",,"33 Branch",0,1,
1099506,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Consistent Crashing in Nightly when newtab.url is set as ""about:newtab""","2014-12-01 22:44:01",,"2014-11-15 00:16:19","Linux",8,,,,0,"Client Software"," --",,"36 Branch",0,4,
1099518,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Regression: New Tab Page Tiles do not render immediately after clearing history with the Forget Button","2014-11-23 02:09:25",,"2014-11-15 01:44:21","Mac OS X",7,,,,0,"Client Software"," --",,"33 Branch",0,4,
1100996,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Directory Tiles shows bugzil.la instead of bmo","2015-03-23 05:53:33",,"2014-11-18 08:03:39","Linux",4,,,,0,"Client Software"," --",,"33 Branch",0,3,
1103451,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","New tab page does not respect or understand 301","2014-11-23 00:47:32",,"2014-11-22 20:14:59","Windows 7",2,,,,0,"Client Software"," --",,"33 Branch",0,0,
1104255,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","newtab is always set at 100%. Only pressing F5 shows all rows and columns.","2015-05-17 04:04:55",,"2014-11-24 12:16:06","Windows 7",6,"2014-12-04 09:46:46",,,0,"Client Software"," --",,"33 Branch",0,2,
1107492,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","In one FF window, new tabs always refer to the same content as tab #1 (= only one web page can be displayed)","2014-12-22 12:18:30",,"2014-12-04 06:05:08","Windows XP",2,,,,0,"Client Software"," --",,"33 Branch",0,2,
1109734,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","No load event fired for preloaded about:newtab once it is attached to a tab and shown to the user","2017-07-19 11:30:44",,"2014-12-10 09:30:46","Linux",6,,,,0,"Client Software"," --",,"34 Branch",0,3,
1112285,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","New Tab Page has a search box feature that doesn't go to a search engine such as Google.","2015-01-13 18:08:18",,"2014-12-16 13:00:09","Windows 7",15,,,,0,"Client Software"," --",,"34 Branch",1,6,
1117024,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Cannot scroll down to see the left tabs if all available size is set to maximum 72.","2015-01-13 07:00:37",,"2015-01-01 20:05:04","Windows 7",3,,,,0,"Client Software"," --",,"34 Branch",0,2,
1117111,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Enhanced and Classic New Tab Page makes Firefox connect to unknown IP Addresses","2015-01-03 01:18:45",,"2015-01-02 07:34:41","Linux",4,,,,0,"Client Software"," --",,"37 Branch",0,2,
1162953,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","page thumbnails have large memory impact","2017-05-18 10:47:11","1163866, 1180715","2015-05-08 06:30:43","Unspecified",35,,,,0,"Client Software"," --",,"37 Branch",2,8,
1174561,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","Tiles freeze after first drag and drop of unpinned tiles on fresh profile","2015-10-05 12:55:09",,"2015-06-14 15:26:45","All",5,"2015-06-15 11:56:56",,,0,"Client Software"," --",,"41 Branch",0,0,
1174762,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","about:newtab is not built following web accessibility standards","2015-06-19 21:37:14",,"2015-06-15 09:05:58","Unspecified",3,,,,0,"Client Software"," --",,"38 Branch",0,4,
1179101,"Firefox","New Tab Page","nobody","UNCONFIRMED"," ---","NewTabURL object doesn't work in mozilla.cfg configuration file","2015-08-03 02:36:45",,"2015-06-30 22:25:53","Unspecified",1,,,,0,"Client Software"," --",,"42 Branch",3,6,
