"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1488738,"Firefox","Normandy Client","nobody","UNCONFIRMED"," ---","Outdated and Minified JavaScript","2018-09-06 10:40:08",,"2018-09-05 06:26:29","Unspecified",1,,,,0,"Client Software"," --",,"61 Branch",0,2,
1445938,"Firefox","Normandy Client","nobody","NEW"," ---","Learn more button is missing","2018-03-16 02:19:22",,"2018-03-15 06:36:23","All",3,,,,0,"Client Software"," --",,"60 Branch",0,1,
1446002,"Firefox","Normandy Client","nobody","NEW"," ---","When the text message is  long the ""Learn more"" and ""Engagement button"" buttons are not displayed","2018-03-15 08:57:20",,"2018-03-15 08:57:20","Unspecified",1,,,,0,"Client Software"," --",,"60 Branch",0,0,
1447804,"Firefox","Normandy Client","nobody","NEW"," ---","Normandy client should handle IO errors when reading telemetry pings","2018-03-21 14:21:24",,"2018-03-21 14:18:49","Unspecified",1,,,,0,"Client Software"," --",,"Trunk",0,1,
1456785,"Firefox","Normandy Client","nobody","NEW"," ---","QA tracker for Preference Roll-out","2018-06-11 05:29:17","1456784, 1456847, 1457511, 1458856, 1459899, 1459920, 1459931, 1462290, 1463056, 1465744, 1468178","2018-04-25 04:13:45","All",2,,,,0,"Client Software"," --",,"unspecified",0,3,
1465744,"Firefox","Normandy Client","nobody","NEW"," ---","Update a pref rollout in unexpected state: rolled-back","2018-05-31 06:53:05",,"2018-05-31 02:59:45","All",1,,,,0,"Client Software"," --",,"61 Branch",0,1,
1472097,"Firefox","Normandy Client","nobody","NEW"," ---","Force Normandy reset its timer and run imediately at version change (upgrade/downgrade)","2018-06-29 06:32:20",,"2018-06-29 00:15:04","Unspecified",1,,,,0,"Client Software"," --",,"Trunk",0,3,
1472781,"Firefox","Normandy Client","nobody","NEW"," ---","Make in-progress telemetry available to filter expressions","2018-07-02 12:33:10",,"2018-07-02 12:33:10","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,1,
1472783,"Firefox","Normandy Client","nobody","NEW"," ---","Make profile creation date directly available to filter expressions","2018-07-04 02:08:17",,"2018-07-02 12:40:32","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,2,
1473874,"Firefox","Normandy Client","nobody","NEW"," ---","Disable experiments when Telemetry upload is disabled","2018-07-06 06:09:35",1445921,"2018-07-06 05:57:59","Unspecified",2,,,,0,"Client Software"," --",,"unspecified",0,1,
