"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
726284,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Add-on Sync doesn't respect Add-On Channel Selection","2017-05-01 14:40:34",534956,"2012-02-11 02:37:18","All",22,,,,0,"Client Software"," --",,"Trunk",0,10,
727574,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Sync is losing passwords somehow","2018-09-24 14:24:50",,"2012-02-15 12:31:31","Windows 7",14,,,,2,"Client Software"," --",,"unspecified",0,7,
736417,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Firefox Sync causes the password manager to prompt, interrupting typing","2018-09-24 14:24:50",,"2012-03-16 02:42:02","Windows 7",1,,,,0,"Client Software"," --",,"unspecified",0,0,
751540,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Bookmarks rearrange themselves after close/restart in Nightly 15.0a1 (2012-05-02)","2018-09-24 14:24:50",,"2012-05-03 05:50:06","Windows 8",10,,,,0,"Client Software"," --",,"unspecified",1,2,
753843,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Sync: Tabs From Other Computers menu missing from tab bar","2018-09-24 14:26:41",,"2012-05-10 09:43:48","Linux",1,,,,0,"Client Software"," --",,"unspecified",0,1,
756385,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Add-on sync claims ""add-on not found in add-on repository""","2018-09-24 14:24:50",,"2012-05-18 00:53:30","All",17,,,,0,"Client Software"," --",,"unspecified",0,5,
757571,"Firefox","Sync","nobody","UNCONFIRMED"," ---","recursive folders gets created in bookmarks","2018-09-24 14:24:50",,"2012-05-22 12:31:25","Linux",4,,,,0,"Client Software"," --",,"unspecified",0,2,
761938,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Sync does not sync browser button locations and layout.","2018-09-24 14:24:50",,"2012-06-06 00:14:30","All",4,,,,0,"Client Software"," --",,"unspecified",4,5,
779449,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Provide tab transaction history","2018-09-24 14:26:41",779450,"2012-08-01 03:01:27","All",1,,,,0,"Client Software"," --",,"unspecified",0,0,
789913,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Bookmarks of Firefox Sync lost","2018-09-24 14:24:50",,"2012-09-10 06:29:11","Windows XP",1,,,,0,"Client Software"," --",,"unspecified",0,1,
792440,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Bookmark Folder Structure Scrambled","2018-09-24 14:24:50",,"2012-09-19 08:53:57","Windows 7",4,,,,0,"Client Software"," --",,"unspecified",0,2,
792894,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Warn users attempting to close browser when sync is still downloading","2018-09-24 14:26:41",,"2012-09-20 10:19:48","All",3,,,,0,"Client Software"," --",,"unspecified",0,2,
815097,"Firefox","Sync","nobody","UNCONFIRMED"," ---","Firefox Sync randomly uninstalls some add-ons","2018-09-24 14:24:50",,"2012-11-26 03:57:08","Windows XP",15,,,,0,"Client Software"," --",,"unspecified",0,4,
