"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1456040,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","CPU usage spikes, delays on 2017 13-inch MacBook Pro when rendering","2018-10-19 04:59:10",,"2018-04-22 20:52:02","Unspecified",16,,,,0,"Client Software"," --",,"59 Branch",0,6,
1489549,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","ESR 60.2.0 x64 | Windows domain + GPO cert deployment + GPO ""FF: use Windows cert store""","2018-11-05 02:04:55",,"2018-09-07 09:05:45","Unspecified",14,,,,0,"Client Software"," --",,"60 Branch",0,4,
1490896,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Switching to windowed mode from fullscreen mode forces Firefox out of fullscreen.","2018-11-01 18:56:09",,"2018-09-12 22:26:52","Unspecified",4,"2018-10-08 11:12:26",,,0,"Client Software"," --",,"62 Branch",0,1,
1490914,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Return value of encodeURIComponent() API has an error.","2018-11-02 02:40:26",,"2018-09-13 00:15:19","Windows 10",7,,,,0,"Client Software"," --",,"unspecified",0,3,
1491224,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","crash on exit - Fonts still alive while shutting down gfxFontCache: 'mFonts.Count() == 0'","2018-10-26 01:56:17",,"2018-09-14 01:27:43","Unspecified",8,,,,0,"Client Software"," --",,"60 Branch",0,2,
1493530,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Boston globe ePaper freezes on surface pro 2017","2018-10-18 16:16:34",,"2018-09-23 08:41:02","Unspecified",13,,,,0,"Client Software"," --",,"62 Branch",0,4,
1495161,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","gmail slow load","2018-10-22 01:27:36",,"2018-09-28 19:49:58","Unspecified",5,"2018-10-22 08:27:02",,,0,"Client Software"," --",,"62 Branch",0,2,
1496148,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","High memory use and low responsiveness after long uptime","2018-10-31 13:12:08",,"2018-10-03 10:16:44","Unspecified",8,,,,0,"Client Software"," --",,"61 Branch",0,5,
1497346,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Notification.permission doesn't reflect the `Blocked Temporarily` state.","2018-10-26 06:00:28",,"2018-10-08 14:04:47","Unspecified",3,,,,0,"Client Software"," --",,"63 Branch",0,1,
1498033,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Firefox Nightly: Unable to open /var/lib/menu-xdg/dconf/profile/user","2018-10-15 05:54:58",,"2018-10-10 14:40:52","Unspecified",3,,,,1,"Client Software"," --",,"64 Branch",0,3,
1498582,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","BING news bar hangs, causes excessive memory use","2018-10-31 21:44:48",,"2018-10-12 07:03:53","Unspecified",6,,,,0,"Client Software"," --",,"62 Branch",0,2,
1498656,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Launching via shortcut flashes during browser opening; doesn't open and stay maximized on 1st attempt.","2018-10-17 05:58:37",,"2018-10-12 11:13:23","Unspecified",3,,,,0,"Client Software"," --",,"62 Branch",0,1,
1499267,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","slowdown and weird facebook behavior","2018-10-19 06:21:23",,"2018-10-15 20:49:25","Unspecified",2,,,,0,"Client Software"," --",,"60 Branch",0,1,
1499664,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Some links opens a CLICKWEBER page","2018-10-22 03:33:07",,"2018-10-17 03:37:11","Windows 7",2,,,,0,"Client Software"," --",,"62 Branch",0,2,
1499733,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Refusing to render service to dead parents.","2018-10-22 02:47:07",,"2018-10-17 07:44:32","Unspecified",3,,,,0,"Client Software"," --",,"64 Branch",0,2,
1499794,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","MOZ_USE_XINPUT2 causes non-printable keys to only work twice","2018-10-22 02:18:04",,"2018-10-17 10:24:57","Unspecified",2,,,,0,"Client Software"," --",,"62 Branch",0,1,
1499825,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","intermittent server not found","2018-11-11 15:07:19",,"2018-10-17 11:53:51","Unspecified",6,,,,0,"Client Software"," --",,"63 Branch",0,2,
1500746,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Can't type Vietnamese with Unikey","2018-10-24 01:52:22",,"2018-10-21 04:57:14","Unspecified",6,,,,0,"Client Software"," --",,"57 Branch",0,2,
1500813,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Windows become semi-transparent","2018-10-25 06:50:15",,"2018-10-21 15:39:21","Unspecified",3,,,,0,"Client Software"," --",,"62 Branch",0,2,
1500900,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Crash on lefigaro.fr","2018-10-26 05:13:18",,"2018-10-22 05:27:48","Unspecified",10,,,,0,"Client Software"," --",,"64 Branch",0,3,
1500921,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Wrong behavior of ""Page Style"" menu in Responsive Design mode","2018-10-25 05:32:54",,"2018-10-22 07:01:20","Unspecified",2,,,,0,"Client Software"," --",,"63 Branch",0,2,
1501094,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Captions of the menu items, or popup menu items are unvisible, when mouse cursor moves at menu","2018-10-25 07:04:16",,"2018-10-22 14:27:33","Unspecified",2,,,,0,"Client Software"," --",,"62 Branch",0,1,
1501112,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Basic Auth dialog does not pop up since update","2018-10-25 14:12:44",,"2018-10-22 16:24:08","Unspecified",4,,,,0,"Client Software"," --",,"62 Branch",0,3,
1501181,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Awesome bar: sometime, after 2 / 3 chars, cannot type anything","2018-11-07 01:10:58",,"2018-10-23 00:18:44","Unspecified",3,,,,0,"Client Software"," --",,"65 Branch",0,2,
1501191,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","verify for all the fields should visible properly","2018-10-26 05:17:47",,"2018-10-23 00:52:48","Unspecified",2,,,,0,"Client Software"," --",,"54 Branch",0,2,
1501276,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","cache is not cleared","2018-10-26 04:47:45",,"2018-10-23 06:26:48","Unspecified",4,,,,0,"Client Software"," --",,"other",0,3,
1502281,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Bad history item causes Firefox to keep sending request to bad URL","2018-10-26 01:21:39",,"2018-10-26 01:09:37","Unspecified",2,,,,0,"Client Software"," --",,"63 Branch",0,0,
1502294,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","TIme Stamps on a minimized right panel developer view","2018-10-30 01:57:16",,"2018-10-26 02:41:26","Unspecified",1,,,,0,"Client Software"," --",,"63 Branch",0,1,
1502325,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","whatsapp voice note","2018-10-26 23:23:29",,"2018-10-26 05:35:07","Unspecified",2,,,,0,"Client Software"," --",,"63 Branch",0,1,
1502362,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Suggestion: Solve ""flash of unstyled content (FOUC)"" / Render Blocking CSS","2018-10-26 06:34:00",,"2018-10-26 06:33:52","Unspecified",1,,,,0,"Client Software"," --",,"65 Branch",0,1,
1502478,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Can't login to quora.com (CORS header ‘Access-Control-Allow-Origin’ missing)","2018-10-26 11:34:10",,"2018-10-26 11:34:10","Unspecified",1,,,,0,"Client Software"," --",,"63 Branch",0,0,
1502512,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","It is possible to invoke javascript execution in Firefox from Windows command line","2018-10-31 12:07:17",,"2018-10-26 13:52:39","Unspecified",7,,,,0,"Client Software"," --",,"65 Branch",0,2,
1502664,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Firefox process types aren't clear in task manager","2018-10-31 17:38:46",,"2018-10-27 11:38:43","Unspecified",9,,,,0,"Client Software"," --",,"65 Branch",0,3,
1502685,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Cannot copy/paste between Firefox and other programs on Mac","2018-10-31 10:11:23",,"2018-10-27 15:32:25","Unspecified",2,,,,0,"Client Software"," --",,"63 Branch",0,2,
1502860,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","'fi' in addressbar or in page title is displayes as a 'β' however curser can go between fi and upon hitting spacebar they separete.","2018-11-02 10:22:10",,"2018-10-29 06:02:21","Unspecified",2,,,,0,"Client Software"," --",,"63 Branch",0,2,
1503149,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","captureStream is not working in Firefox.","2018-11-07 21:34:22",,"2018-10-29 22:35:54","Other",6,,,,0,"Client Software"," --",,"unspecified",0,4,
1503176,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Centre clicking to open an eBay item in a new tab jumps the original page to the top","2018-11-05 05:30:18",,"2018-10-30 01:23:00","Unspecified",2,,,,0,"Client Software"," --",,"63 Branch",0,1,
1503295,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Library window has black text on black background","2018-11-05 06:16:15",,"2018-10-30 08:31:44","Unspecified",2,,,,0,"Client Software"," --",,"64 Branch",0,1,
1503297,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","if a css style is not applied to the container perfectscroll js causes massive RAM usage on ubuntu","2018-11-05 06:05:25",,"2018-10-30 08:34:39","Unspecified",4,,,,0,"Client Software"," --",,"63 Branch",0,2,
1503487,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","After using the display of pdf viewer, the font when printing 1 minute later is changed and the phenomenon of printing","2018-11-07 07:01:25",,"2018-10-31 00:37:36","Unspecified",2,,,,0,"Client Software"," --",,"63 Branch",0,1,
1503533,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Upgrade to Firefox 63 made pages get stuck with loader gif","2018-11-11 12:53:51",,"2018-10-31 04:34:06","Unspecified",8,,,,0,"Client Software"," --",,"63 Branch",2,3,
1503597,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Unresponsive tabs and slow loading of new instances","2018-10-31 09:45:19",,"2018-10-31 08:32:48","Unspecified",2,,,,0,"Client Software"," --",,"63 Branch",0,0,
1503810,"Firefox","Untriaged","nobody","UNCONFIRMED"," ---","Unable to register a new MyVanilla debit card","2018-11-05 05:06:06",,"2018-11-01 02:52:38","Unspecified",4,,,,0,"Client Software"," --",,"63 Branch",0,3,
