"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
418548,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","build fails on libsoftokn3.so (for undefined symbol in libsqlite3.so)","2016-02-09 15:22:22",,"2008-02-19 18:48:06","SunOS",8,,,,0,"Client Software"," --",,"3.0 Branch",1,7,
419604,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","Stub comment is required for xptcstubsdef.inc which works on all platforms","2008-02-26 03:24:11",,"2008-02-26 03:24:11","All",1,,,,0,"Client Software"," --",,"unspecified",1,0,
607556,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","""TypeError: this.generalBranch is undefined"" error while closing windows.","2013-10-03 06:26:49",,"2010-10-26 22:17:26","Windows 7",3,"2013-10-03 13:22:58",,,0,"Client Software"," --",,"4.0 Branch",0,2,
643417,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","Build error due to non-empty environment variable $GREP_OPTIONS","2012-08-20 08:55:05",,"2011-03-21 08:04:40","Linux",2,,,,0,"Client Software"," --",,"4.0 Branch",1,0,
674133,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","build fails with nsStringAPI.h : size of array arg is negative","2011-08-23 00:18:40",,"2011-07-25 17:30:57","Linux",5,,,,0,"Client Software"," --",,"8 Branch",0,4,
815075,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","libffi fails to build when --target=arm-linux-gnueabi","2012-11-27 03:54:36",,"2012-11-26 02:07:58","Windows 7",2,,,,0,"Client Software"," --",,"17 Branch",0,1,
870107,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","Firefox's _NET_WM_NAME ends with a junk \177 character","2013-05-14 23:21:31",,"2013-05-08 14:24:08","Linux",4,,,,0,"Client Software"," --",,"20 Branch",0,1,
903764,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","error ""Library not loaded: @executable_path/libmozglue.dylib"" on Mac builds","2013-09-19 10:16:03",,"2013-08-10 08:17:25","Mac OS X",2,,,,0,"Client Software"," --",,"23 Branch",0,1,
937008,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","ArgumentsObject.cpp:637:2: fatal error: opening dependency file .deps/ArgumentsObject.o.pp: No such file or directory","2013-11-11 14:45:47",,"2013-11-10 23:17:08","Linux",5,,,,0,"Client Software"," --",,"25 Branch",0,4,
1101501,"Firefox","Build Config","nobody","UNCONFIRMED"," ---","[Cosmetic] Add description to missing Firefox's EXE and DLL File description field for better clarity","2014-11-19 04:40:43",,"2014-11-19 04:17:33","Windows 7",1,,,,0,"Client Software"," --",,"33 Branch",1,0,
