"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
402525,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","[10.5] Firefox attempts download to invalid folder on Leopard, fails","2017-09-06 15:38:41",,"2007-11-05 04:54:51","Mac OS X",6,,,,0,"Client Software"," --",,"2.0 Branch",0,3,
466267,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","problem in firefox download manager","2017-02-14 04:17:45",,"2008-11-21 21:46:47","Windows XP",8,,,,0,"Client Software"," --",,"unspecified",0,7,
630030,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","Clearing download results from the downloads dialog locks up the entire browser for the duration of the 'clear'.","2018-02-07 14:00:38",,"2011-01-30 09:05:25","Windows 7",2,,,,0,"Client Software"," --",,"3.6 Branch",1,2,
739086,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","no question ""overwrite file"" when saving files, which are identical","2016-06-26 04:51:44",,"2012-03-25 10:53:52","All",4,,,,0,"Client Software"," --",,"11 Branch",0,4,
749323,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","add better indication of resumed downloads after browser (re)start","2014-05-19 07:13:33",,"2012-04-26 13:01:30","Windows Vista",7,,,,0,"Client Software"," --",,"Trunk",0,6,
838816,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","Use common code to monitor download progress in both taskbar and DownloadsUI","2013-02-06 13:35:24",,"2013-02-06 13:35:24","Mac OS X",1,,,,0,"Client Software"," --",,"Trunk",1,0,
861506,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","Show URI of files being downloaded","2015-10-18 16:39:52",,"2013-04-13 05:48:42","Windows 8",3,,,,0,"Client Software"," --",,"unspecified",0,1,
874324,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","double clicking downloading item doesn't pause the download","2013-06-04 00:28:58",,"2013-05-20 22:05:53","Linux",6,,,,0,"Client Software"," --",,"20 Branch",1,7,
882176,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","The default action does not show up in the context menu of a download in the downloads library.","2018-02-27 04:07:49",,"2013-06-12 08:59:32","Windows 7",4,,,,0,"Client Software"," --",,"21 Branch",0,4,
888393,"Firefox","Downloads Panel","nobody","UNCONFIRMED"," ---","The number of hidden downloads is wrong in DownloadsFooter description","2013-08-06 00:11:34",,"2013-06-28 11:13:08","Linux",5,,,,0,"Client Software"," --",,"22 Branch",0,2,
