"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1447380,"Firefox","Firefox Accounts","nobody","UNCONFIRMED"," ---","Sync email link has white text","2018-03-20 19:54:45",,"2018-03-20 10:41:36","Unspecified",4,,,,0,"Client Software"," --",,"unspecified",0,1,
1476755,"Firefox","Firefox Accounts","nobody","UNCONFIRMED"," ---","""Get a Firefox Account"" page blocks secure password generation","2018-07-19 21:46:05",,"2018-07-18 13:02:38","Unspecified",3,,,,0,"Client Software"," --",,"unspecified",0,7,
749907,"Firefox","Firefox Accounts","nobody","NEW"," ---","Common BrowserID module needs tests","2018-08-23 12:05:38",745345,"2012-04-27 23:43:04","All",8,,,,0,"Client Software"," --",,"unspecified",0,8,
996494,"Firefox","Firefox Accounts","nobody","NEW"," ---","Implement nsIFxAccountsUIGlue in desktop","2017-11-21 13:55:23",,"2014-04-15 01:46:28","All",7,,,,0,"Client Software"," --",,"unspecified",0,16,
1154240,"Firefox","Firefox Accounts","nobody","NEW"," ---","No 'log out' button after changing password by link in Firefox Nightly","2017-11-21 13:55:23",,"2015-04-14 04:52:15","Windows 7",2,,,,0,"Client Software"," --",,"40 Branch",0,1,
1421164,"Firefox","Firefox Accounts","nobody","NEW"," ---","Manually visiting accounts.firefox.com may show your AMO account rather than your Sync account","2017-12-20 07:13:48",,"2017-11-27 22:06:56","Unspecified",3,,,,0,"Client Software"," --",,"Trunk",0,4,
1422172,"Firefox","Firefox Accounts","nobody","NEW"," ---","FxA 'Mistyped email?' link is broken","2017-12-04 19:41:40",,"2017-11-30 15:48:08","Unspecified",2,,,,0,"Client Software"," --",,"unspecified",0,2,
1430681,"Firefox","Firefox Accounts","nobody","NEW"," ---","Firefox stores and never consumes a keyFetchToken on FxA password change.","2018-01-17 12:57:06",,"2018-01-15 16:18:20","Unspecified",9,,,,0,"Client Software"," --",,"Trunk",0,3,
1459247,"Firefox","Firefox Accounts","nobody","NEW"," ---","accounts.firefox.com should warn users it's Firefox only","2018-05-08 12:31:43",,"2018-05-04 09:37:29","Unspecified",4,,,,0,"Client Software"," --",,"61 Branch",0,2,
1490951,"Firefox","Firefox Accounts","nobody","NEW"," ---","Device name input is incorrectly aligned in 'Firefox Account' section in Preferences","2018-09-13 03:03:52",,"2018-09-13 03:03:52","Unspecified",1,,,,0,"Client Software"," --",,"Trunk",0,0,
1496258,"Firefox","Firefox Accounts","nobody","NEW"," ---","FxA device list shows inconsistent android device name","2018-10-03 15:43:15",,"2018-10-03 15:43:15","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1026836,"Firefox","Firefox Accounts","nobody","NEW"," ---","FxAccounts doesn't react correctly to mismatched version string in credentials storage.","2017-11-21 13:55:23",,"2014-06-17 18:11:18","All",2,,,,0,"Client Software","P3",,"Trunk",0,2,
1059954,"Firefox","Firefox Accounts","nobody","NEW"," ---","Add server backoff support to FxAccountsProfileClient.jsm","2017-11-21 13:55:23",,"2014-08-28 11:38:08","All",2,,,,0,"Client Software","P3",,"Trunk",0,2,
1071786,"Firefox","Firefox Accounts","nobody","NEW"," ---","Diagnose and respond to situations where the keyFetchToken is missing","2017-11-21 13:55:23",1300859,"2014-09-23 12:25:50","All",16,,,,2,"Client Software","P3",,"unspecified",0,9,
1191162,"Firefox","Firefox Accounts","nobody","NEW"," ---","Using FxA in browser tests requires a stub hawk server","2017-11-21 13:55:23",,"2015-08-04 19:08:49","Unspecified",1,,,,0,"Client Software","P3",,"unspecified",0,1,
1256459,"Firefox","Firefox Accounts","nobody","NEW"," ---","Refactor FxAccounts to better reflect client states","2017-11-21 13:55:23",,"2016-03-14 14:54:19","Unspecified",1,,,,0,"Client Software","P3",,"unspecified",0,3,
1269673,"Firefox","Firefox Accounts","nobody","NEW"," ---","Better handling of retryAfter in FxAccountsClient","2017-11-21 13:55:23",,"2016-05-03 02:15:15","Unspecified",6,,,,0,"Client Software","P3",,"unspecified",0,5,
1282339,"Firefox","Firefox Accounts","nobody","NEW"," ---","Setting ""identity.fxaccounts.remote.webchannel.uri"" to an empty string causes Sync logins to silently fail","2017-11-21 13:55:23",,"2016-06-26 18:51:01","Unspecified",1,,,,0,"Client Software","P3",,"unspecified",0,1,
1340946,"Firefox","Firefox Accounts","nobody","NEW"," ---","The ""manage account"" link should always open in a non-private window","2017-11-21 13:55:23",1323853,"2017-02-19 19:30:51","Unspecified",1,,,,0,"Client Software","P3",,"unspecified",0,10,
1340948,"Firefox","Firefox Accounts","nobody","NEW"," ---","How should Firefox Accounts behave in a container tab?","2018-02-27 03:12:43",1323853,"2017-02-19 19:44:38","Unspecified",3,,,,0,"Client Software","P3",,"unspecified",0,9,
966517,"Firefox","Firefox Accounts","nobody","NEW"," ---","Move email verification polling code into separate module","2017-11-21 13:55:23",,"2014-01-31 15:22:32","All",2,,,,0,"Client Software","P5",,"Trunk",0,5,
1058070,"Firefox","Firefox Accounts","nobody","NEW"," ---","FxAccountsOAuthClient should call onComplete if the web flow tab closes","2017-11-21 13:55:23",,"2014-08-25 08:39:26","All",1,,,,0,"Client Software","P5",,"Trunk",0,2,
1195569,"Firefox","Firefox Accounts","nobody","REOPENED"," ---","First sync after creating a new account always creates an error log","2017-11-21 13:55:23",,"2015-08-17 16:49:20","Unspecified",18,"2016-02-22 06:36:33",,,1,"Client Software","P3",,"unspecified",0,7,
1026299,"Firefox","Firefox Accounts","warner-bugzilla","REOPENED"," ---","delete leftover unwrapBkey from verified FxA accounts","2017-11-21 13:55:23",,"2014-06-16 18:02:52","Mac OS X",4,"2017-08-30 20:55:52",,,0,"Client Software","P3",,"unspecified",0,3,
