"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
815558,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","Support for Pdf files Specification not checked by pdfjs (should redirect to correct plugin instead)","2013-09-06 11:16:24",,"2012-11-27 01:44:00","Windows 7",3,,,,0,"Client Software"," --",,"18 Branch",1,9,
862135,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","pdf view prints in wrong order","2014-04-18 14:21:22",,"2013-04-15 17:04:21","Linux",9,"2014-04-18 15:46:13",,,0,"Client Software"," --",,"20 Branch",0,5,
900611,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","Scrolling accross page boundaries only paints the new page","2013-09-15 21:31:42",,"2013-08-01 11:42:49","Linux",12,,,,0,"Client Software"," --",,"22 Branch",0,3,
903877,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","pdf viewer selected text highlight too tall, overlaps with next line","2014-05-08 08:19:43",,"2013-08-11 12:31:17","Mac OS X",17,,,,0,"Client Software"," --",,"23 Branch",0,4,
923612,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","Non-showing or unreadable fonts in PDF.js documents.","2013-10-15 13:28:42",,"2013-10-04 00:09:00","Windows 7",9,,,,0,"Client Software"," --",,"24 Branch",1,5,
949386,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","Bad page rendering (bug page filled with website and source)","2013-12-20 04:10:33",,"2013-12-12 01:46:58","Windows 7",8,,,,0,"Client Software"," --",,"26 Branch",0,3,
1165624,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","Memory usage 30x+ of page-size","2018-02-06 12:47:00",,"2015-05-16 12:41:20","Unspecified",3,,,,0,"Client Software"," --",,"37 Branch",0,4,
1301672,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","PDF Viewer does no preload unvisible pages, reloads on scrolling back","2016-09-09 06:25:34",,"2016-09-09 06:14:24","Unspecified",2,,,,0,"Client Software"," --",,"48 Branch",0,1,
1308822,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","Firefox shows a separate PDF and Portable Document Format option and refuses to open a PDF file","2018-06-25 05:31:27",,"2016-10-09 20:56:03","Unspecified",4,,,,0,"Client Software"," --",,"47 Branch",0,3,
1315797,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","large area covered by green quad on specific pdf","2016-11-14 10:44:16",,"2016-11-07 14:04:35","Linux",8,,,,0,"Client Software"," --",,"50 Branch",0,2,
1318578,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","browser slow, may be browser's pdf.js","2016-11-23 08:24:09",,"2016-11-17 22:01:15","Unspecified",2,,,,0,"Client Software"," --",,"50 Branch",0,1,
1323814,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","PDFs do not load correctly","2016-12-18 21:01:39",,"2016-12-15 12:23:14","Unspecified",4,,,,0,"Client Software"," --",,"50 Branch",0,1,
1324758,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","Title and target fields aren't applied","2016-12-20 05:21:08",,"2016-12-20 05:17:26","Windows 10",2,,,,0,"Client Software"," --",,"50 Branch",0,0,
1327605,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","PDF.js doesn't scroll page into view if I try to navigate to the same anchor","2017-01-01 07:45:33",,"2017-01-01 02:25:42","Unspecified",1,,,,0,"Client Software"," --",,"Trunk",0,0,
1329982,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","pdf.js does not keep read position in document if FF crashed","2017-01-10 07:08:12",,"2017-01-10 07:06:10","Linux",1,,,,0,"Client Software"," --",,"50 Branch",0,0,
1421205,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","Recurring canvas permission popup in pdf viewer","2018-06-28 15:00:04",,"2017-11-28 02:15:41","Unspecified",4,,,,0,"Client Software"," --",,"58 Branch",0,2,
1424296,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","Mac: Restore previous session leaves pdf displayed corrupted","2018-06-28 15:01:56",,"2017-12-08 09:03:34","Mac OS X",2,,,,0,"Client Software"," --",,"57 Branch",0,1,
1427354,"Firefox","PDF Viewer","nobody","UNCONFIRMED"," ---","All PDFs render every page as black in FF58 and the current FF88 beta 58.0b13","2018-08-16 10:00:58",,"2017-12-29 03:48:26","Mac OS X",5,,,,0,"Client Software"," --",,"58 Branch",0,2,
