"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1170689,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","Pocket button doesn't stay logged in if cookies/session data cleared on browser exit","2017-03-02 18:24:33",,"2015-06-02 11:49:33","Unspecified",6,,,,0,"Client Software"," --",,"38 Branch",0,7,
1172866,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","Pocket breaks back button on Chakra Linux","2015-06-09 02:49:24",,"2015-06-09 02:49:24","Linux",1,,,,0,"Client Software"," --",,"38 Branch",1,0,
1190055,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","pocket does not login","2015-08-01 02:35:48",,"2015-08-01 02:33:37","Linux",1,,,,0,"Client Software"," --",,"39 Branch",0,1,
1230714,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","The tag suggestions box in pocket is  not oriented","2015-12-04 18:29:36",,"2015-12-04 18:23:05","Windows 10",1,,,,0,"Client Software"," --",,"45 Branch",0,1,
1267946,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","global setting extensions.pocket.enabled ignored","2016-04-27 06:15:12",1245277,"2016-04-27 01:15:04","Unspecified",2,,,,0,"Client Software"," --",,"46 Branch",0,1,
1307291,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","The Pocket button has disappeared","2016-10-03 23:10:23",,"2016-10-03 15:54:54","Unspecified",1,,,,0,"Client Software"," --",,"49 Branch",0,1,
1343471,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","Pocket integration should be disabled when in private mode","2017-03-01 05:29:43",,"2017-03-01 00:14:42","Unspecified",1,,,,0,"Client Software"," --",,"51 Branch",0,0,
1347780,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","pocket button always asks me to login","2017-06-16 08:35:52",,"2017-03-15 19:29:02","Unspecified",3,,,,0,"Client Software"," --",,"54 Branch",0,1,
1361530,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","Pocket panel closes when switching keyboard mapping","2017-05-02 16:44:05",,"2017-05-02 14:29:11","Unspecified",1,,,,0,"Client Software"," --",,"53 Branch",0,0,
1361540,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","If user has Pocket account with Firefox, a browser logged in to their Firefox Account should be automatically logged in to Firefóx's Pocket Integration","2018-10-14 12:30:22",,"2017-05-02 14:58:40","Unspecified",4,,,,0,"Client Software"," --",,"53 Branch",2,3,
1410680,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","getpocket.com still contacted even though extensions.pocket.enabled = false","2017-10-22 09:37:19",,"2017-10-21 18:02:07","Unspecified",2,,,,0,"Client Software"," --",,"57 Branch",0,2,
1417974,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","No way to see already added status from Pocket button","2017-11-16 13:34:58",,"2017-11-16 08:30:57","Unspecified",1,,,,0,"Client Software"," --",,"57 Branch",0,1,
1421658,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","'Pocket' splash window does not disappear","2017-11-29 07:49:43",,"2017-11-29 07:44:25","Unspecified",2,,,,0,"Client Software"," --",,"57 Branch",0,0,
1431581,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","Getpocket preferences poisioning can lead to several security issues","2018-01-25 15:00:40",,"2018-01-18 18:35:27","Unspecified",4,,,,0,"Client Software"," --",,"57 Branch",0,4,
1438184,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","Pocket works inconsistently on certain web sites","2018-03-12 02:18:18",,"2018-02-14 07:09:14","Unspecified",2,,,,0,"Client Software"," --",,"58 Branch",0,1,
1446276,"Firefox","Pocket","nobody","UNCONFIRMED"," ---","""Recommended by Pocket"" in New Tab Preferences turns itself back on when Firefox updates","2018-03-16 16:04:39",,"2018-03-16 00:48:32","Unspecified",1,,,,0,"Client Software"," --",,"59 Branch",0,1,
