"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
520975,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Better cookie management required","2015-09-03 13:58:58",,"2009-10-07 05:01:19","Windows XP",8,,,,0,"Client Software"," --",,"unspecified",1,4,
1048286,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","When launching FF in permanent private browsing mode (with the -private option), only the initial window has the indicator that it's private.","2014-08-04 10:19:30",,"2014-08-04 07:50:32","Windows 8.1",4,"2014-08-04 15:53:52",,,0,"Client Software"," --",,"31 Branch",0,1,
1118073,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Second Tab Ignored When Using --private-window From The CLI","2017-11-28 00:34:09",,"2015-01-05 17:07:30","Linux",5,,,,0,"Client Software"," --",,"34 Branch",2,5,
1145678,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","private browsing mode causes all cookies to disappear in certain situation","2015-03-23 13:37:49",,"2015-03-20 10:05:27","All",1,,,,0,"Client Software"," --",,"36 Branch",1,2,
1163017,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Show all tabs doesn't work in permanent private mode","2015-09-03 07:31:35",,"2015-05-08 09:03:03","Unspecified",2,,,,0,"Client Software"," --",,"37 Branch",0,2,
1172312,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Private Browsing - Click on Icon of ""Open new window"" should open another Private window","2015-06-07 11:33:34",,"2015-06-07 00:01:33","Unspecified",3,,,,0,"Client Software"," --",,"38 Branch",0,1,
1188533,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","No quit warning or multiple tab quit warning in Private Browsing Mode, even with about:config options set True","2017-12-06 17:28:03",,"2015-07-28 11:46:54","Unspecified",6,,,,0,"Client Software"," --",,"39 Branch",1,6,
1194589,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","lost open tabs when moving from 'private browsing' to normal browsing mode","2015-08-16 21:44:59",,"2015-08-13 22:24:05","Unspecified",6,,,,0,"Client Software"," --",,"39 Branch",0,1,
1194599,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","location bar is cleared after a slight delay after opening private window","2015-08-14 02:43:39",,"2015-08-13 23:55:27","Unspecified",3,,,,0,"Client Software"," --",,"41 Branch",0,1,
1197159,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","open a new Private Window from a Private Window and you have Cookies from the first one","2015-09-05 04:52:06",,"2015-08-21 04:49:33","Unspecified",4,,,,0,"Client Software"," --",,"38 Branch",0,2,
1211064,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","The hover animation is not performed on the door hanger More information button","2015-10-05 03:20:23",,"2015-10-02 19:20:11","Mac OS X",9,,,,0,"Client Software"," --",,"42 Branch",0,3,
1224860,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","want to delete cookies by hand from a directory","2016-10-16 09:43:36",,"2015-11-14 13:49:37","Linux",1,,,,0,"Client Software"," --",,"42 Branch",0,0,
1236471,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","partly retains history in Private Session","2016-01-04 04:52:47",,"2016-01-04 04:40:07","Mac OS X",1,,,,0,"Client Software"," --",,"45 Branch",0,1,
1248098,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Amazon.ca ""Related to Items You've Viewed"" logs items when using ""Private Browsing""","2016-08-04 10:26:04",,"2016-02-12 16:58:35","Windows 10",6,,,,0,"Client Software"," --",,"44 Branch",0,4,
1251422,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Cache in storage/temporary is not deleted never and it is saved also in private browsing","2017-07-01 03:48:43",,"2016-02-25 14:15:22","Unspecified",1,,,,0,"Client Software"," --",,"44 Branch",1,2,
1256034,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","""Forget"" icon still operational in Private Window, creating potential for user confusion","2016-03-12 13:32:07",,"2016-03-12 13:28:27","Unspecified",1,,,,0,"Client Software"," --",,"43 Branch",0,0,
1271952,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Opening private windows is broken after running firefox -private","2016-05-11 03:56:56",,"2016-05-11 03:47:02","Unspecified",3,,,,0,"Client Software"," --",,"46 Branch",0,1,
1273604,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Bookmarks created in Private Browsing are missing favicon","2016-05-18 12:25:30",,"2016-05-17 11:41:15","Unspecified",3,,,,0,"Client Software"," --",,"46 Branch",0,2,
1439077,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Disable Private browsing option when Firefox is set to never remember history","2018-02-20 06:20:30",,"2018-02-16 23:23:27","Unspecified",4,,,,0,"Client Software"," --",,"58 Branch",0,1,
1439121,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","[ENHANCEMENT]: Add an option for dedicated private window search engine.","2018-06-07 07:38:58",,"2018-02-17 07:48:12","All",6,,,,0,"Client Software"," --",,"Trunk",0,8,
1455312,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Rename Private mode to Historyless mode","2018-04-30 11:56:20",,"2018-04-19 06:46:58","All",2,,,,0,"Client Software"," --",,"unspecified",0,1,
1462875,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Firefox incognito mode doesn't working , All session in normal browser accessible in incognito mode","2018-05-18 22:15:38",,"2018-05-18 21:32:03","Unspecified",2,,,,0,"Client Software"," --",,"59 Branch",0,1,
1464815,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","When opening a Private Navigation window, the ""URL"" input is not focused automatically on Windows, but is on MacOS","2018-05-30 08:35:36",,"2018-05-28 06:06:17","Windows",2,,,,0,"Client Software"," --",,"60 Branch",0,3,
1471311,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Add a preference or use browser.link.open_newwindow.override.external to open external links in a Private Browsing window","2018-07-10 07:33:43",,"2018-06-26 10:49:41","All",2,,,,0,"Client Software"," --",,"61 Branch",0,2,
1472281,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Private window session data not erasing after closing the window.","2018-07-10 08:05:23",,"2018-06-29 11:07:28","Unspecified",1,,,,0,"Client Software"," --",,"61 Branch",0,2,
1477504,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Reword ""Open Link in New Private Window"" to ""Open Link in Private Window"" and open the link in the existing private window, if there is one","2018-07-23 06:00:02",,"2018-07-21 09:45:15","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,1,
1488867,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Allowing open WebExtensions content page directly in private mode","2018-11-02 18:59:05",,"2018-09-05 11:12:19","Unspecified",1,,,,0,"Client Software"," --",,"61 Branch",1,3,
1489927,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Opening Firefox in private browsing mode does not place the private browsing indicator on the window UI","2018-09-10 06:08:05",,"2018-09-09 19:00:55","Unspecified",1,,,,0,"Client Software"," --",,"62 Branch",0,2,
1498599,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","The Private Browsing icon does not display in the title bar when a private popup window is created.","2018-10-16 21:20:33",,"2018-10-12 07:58:45","Unspecified",3,,,,0,"Client Software"," --",,"62 Branch",0,2,
1200587,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Provide option for about:privatebrowsing to show blank page like about:newtab","2016-05-09 11:34:27",,"2015-09-01 05:16:56","All",1,,,,0,"Client Software","P3",,"Trunk",2,3,
1278548,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","Current private window design causes all content to twitch when I toggle tracking protection","2016-06-08 08:21:03",,"2016-06-07 06:35:26","Unspecified",1,,,,0,"Client Software","P3",,"unspecified",0,2,
1324955,"Firefox","Private Browsing","nobody","UNCONFIRMED"," ---","tell us tracking protection may work as ad blocker, blocking some content","2017-11-27 11:06:43",,"2016-12-20 17:12:51","All",8,,,,0,"Client Software","P3",,"50 Branch",0,2,
