"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
440836,"Firefox","Search","nobody","UNCONFIRMED"," ---","fast search toolbar dropdown results widget floats in midair outside of firefox as i type.","2016-04-13 05:59:34",,"2008-06-20 13:28:54","Windows XP",3,,,,0,"Client Software"," --",,"unspecified",0,2,
441208,"Firefox","Search","nobody","UNCONFIRMED"," ---","site-specific dynamic search plugin and change of method of adding auto-discovered search plugins","2009-09-02 02:48:03",,"2008-06-22 15:35:18","All",3,,,,0,"Client Software"," --",,"3.0 Branch",0,3,
472511,"Firefox","Search","nobody","UNCONFIRMED"," ---","quick search box does not show complex text descenders of fonts","2016-04-13 05:05:45",,"2009-01-07 09:03:12","Linux",2,,,,0,"Client Software"," --",,"unspecified",0,3,
527892,"Firefox","Search","nobody","UNCONFIRMED"," ---","Replacing a search engine/tool/plugin not user friendly","2009-12-13 02:21:26",,"2009-11-11 01:28:55","All",3,"2009-12-13 04:39:59",,,0,"Client Software"," --",,"unspecified",0,1,
562612,"Firefox","Search","nobody","UNCONFIRMED"," ---","search.json doesn't handle boolean values consistently","2015-09-22 09:11:04",,"2010-04-29 01:29:50","Linux",5,,,,0,"Client Software"," --",,"unspecified",0,2,
564777,"Firefox","Search","nobody","UNCONFIRMED"," ---","Search toolbar does not produce any results when I select 'enter' or the magnifying glass icon","2012-07-26 09:55:08",,"2010-05-10 04:27:25","Windows Vista",19,,,,0,"Client Software"," --",,"3.6 Branch",0,5,
604390,"Firefox","Search","nobody","UNCONFIRMED"," ---","Text in search box is automatically selected while writing ""search keyword""","2011-02-01 11:23:18",,"2010-10-14 08:59:49","Linux",7,,,,1,"Client Software"," --",,"unspecified",6,5,
620959,"Firefox","Search","nobody","UNCONFIRMED"," ---","search engines settings: by default search entries language settings are lost","2011-05-05 08:26:03",,"2010-12-22 08:03:16","Windows 7",7,,,,0,"Client Software"," --",,"3.6 Branch",0,4,
648348,"Firefox","Search","nobody","UNCONFIRMED"," ---","search does open when you type and when you pull it up from drop box it does not come up","2011-04-08 08:58:18",,"2011-04-07 13:35:56","Windows 7",4,,,,0,"Client Software"," --",,"3.6 Branch",0,1,
715108,"Firefox","Search","nobody","UNCONFIRMED"," ---","search websites with <tab>","2012-01-04 05:27:34",,"2012-01-04 05:27:34","Linux",1,,,,0,"Client Software"," --",,"8 Branch",0,0,
