"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
296249,"Firefox","Security","nobody","UNCONFIRMED"," ---","Request for a secure site tray/taskbar type Notice/Advisory screen and notification icon.","2015-03-19 08:19:05",,"2005-06-01 10:56:28","Windows XP",11,,,,0,"Client Software"," --",,"unspecified",0,10,
371657,"Firefox","Security","nobody","UNCONFIRMED"," ---","HTTP anthentication warning box shows up with href attribute but not with src attribute","2017-12-10 05:48:33",,"2007-02-25 15:08:29","All",4,"2010-12-16 20:51:00",,,0,"Client Software"," --",,"unspecified",1,3,
375238,"Firefox","Security","nobody","UNCONFIRMED"," ---","External image requests send session cookies","2017-12-10 05:48:37",,"2007-03-24 18:39:19","All",9,,,,0,"Client Software"," --",,"unspecified",1,9,
416464,"Firefox","Security","nobody","UNCONFIRMED"," ---","in intranets with many frequently regenerated self-signed certificates, FF3b2 is unusable","2015-03-19 08:21:22",,"2008-02-08 16:51:50","Windows XP",6,,,,0,"Client Software"," --",,"3.0 Branch",4,9,
452500,"Firefox","Security","nobody","UNCONFIRMED"," ---","Norton Internet Security Identity Safe not invoked to fill in userid and password","2015-10-16 21:43:38",,"2008-08-27 14:37:06","Windows Vista",10,,,,0,"Client Software"," --",,"unspecified",4,12,
462518,"Firefox","Security","nobody","UNCONFIRMED"," ---","Removing File Manager Access","2009-08-23 21:30:04",,"2008-10-31 07:46:13","Windows XP",4,,,,0,"Client Software"," --",,"unspecified",0,4,
464016,"Firefox","Security","nobody","UNCONFIRMED"," ---","Submitting a form in an iframe can be a security risk","2015-03-17 06:39:43",,"2008-11-10 05:56:11","All",5,,,,0,"Client Software"," --",,"unspecified",0,4,
470087,"Firefox","Security","nobody","UNCONFIRMED"," ---","""Recent pages"" list blocked by ""Secure Connection Failed"" alert if such a page is in the list","2009-03-10 08:23:39",,"2008-12-17 13:42:16","Windows Vista",3,,,,0,"Client Software"," --",,"unspecified",0,1,
480704,"Firefox","Security","nobody","UNCONFIRMED"," ---","Unwanted popups from IMDb (one offender) seems to use wyciwyg:// - is this a vulnarability?","2018-07-18 20:49:01",,"2009-02-28 04:32:12","Windows XP",4,,,,0,"Client Software"," --",,"3.0 Branch",0,4,
489167,"Firefox","Security","nobody","UNCONFIRMED"," ---","Firefox erroneously reports connection partially encrypted on page with empty href attribute in link tag","2009-10-28 05:53:07",,"2009-04-20 08:01:10","Windows Vista",2,,,,0,"Client Software"," --",,"unspecified",0,1,
489915,"Firefox","Security","nobody","UNCONFIRMED"," ---","Password required popup window should appear in taskbar always","2015-03-17 06:36:38",,"2009-04-23 17:19:10","Windows Vista",6,,,,0,"Client Software"," --",,"unspecified",2,4,
495408,"Firefox","Security","nobody","UNCONFIRMED"," ---","RFE: Support petnames for SSL sites in Firefox","2015-03-17 06:39:08",,"2009-05-29 02:24:49","All",6,,,,0,"Client Software"," --",,"unspecified",1,3,
510946,"Firefox","Security","nobody","UNCONFIRMED"," ---","favicon (Instant Web Site ID) randomly displays wrong information (is not updated) regarding SSL certificate while switching from http to https within the same domain","2016-07-02 06:58:46",,"2009-08-17 12:24:26","All",8,,,,0,"Client Software"," --",,"3.5 Branch",2,6,
516927,"Firefox","Security","nobody","UNCONFIRMED"," ---","Origin/Access-Control-Allow-Origin header does not allow remote domain access from local file:// resource","2015-01-28 02:59:03",,"2009-09-16 03:11:19","Linux",2,,,,0,"Client Software"," --",,"unspecified",0,2,
518138,"Firefox","Security","nobody","UNCONFIRMED"," ---","improved password entering: proactive phishing protection","2016-09-16 14:23:48",,"2009-09-22 09:59:23","All",6,,,,0,"Client Software"," --",,"unspecified",0,2,
519966,"Firefox","Security","nobody","UNCONFIRMED"," ---","importing thawte certificates with spc fails - show unfinished private-key/certificate generations","2009-10-01 07:13:14",,"2009-10-01 07:13:14","Windows Vista",1,,,,0,"Client Software"," --",,"unspecified",0,0,
541092,"Firefox","Security","nobody","UNCONFIRMED"," ---","Warning messages are not displayed on Forward / Back buttons","2013-10-11 03:05:41",,"2010-01-21 06:47:06","Mac OS X",5,,,,1,"Client Software"," --",,"3.6 Branch",0,3,
541949,"Firefox","Security","nobody","UNCONFIRMED"," ---","trojan.downloader.js.agent.ewo","2015-08-10 13:46:35",,"2010-01-25 05:00:39","Windows XP",2,,,,0,"Client Software"," --",,"3.6 Branch",0,7,
543194,"Firefox","Security","nobody","UNCONFIRMED"," ---","Firefox doesn't prompt/offer personal certificate when accessing secure sites.","2010-01-30 04:01:20",,"2010-01-30 04:01:20","Linux",1,,,,0,"Client Software"," --",,"unspecified",0,0,
545599,"Firefox","Security","nobody","UNCONFIRMED"," ---","Warn if a page that normally should be encrypted is not encrypted","2017-03-12 11:56:53",,"2010-02-11 00:16:56","All",2,,,,0,"Client Software"," --",,"unspecified",0,2,
546360,"Firefox","Security","nobody","UNCONFIRMED"," ---","IFrame security enhancement","2010-02-16 05:23:21",,"2010-02-15 19:04:34","Linux",2,,,,0,"Client Software"," --",,"unspecified",1,0,
550070,"Firefox","Security","nobody","UNCONFIRMED"," ---","I wish to see which popup is blocked","2010-03-03 16:47:03",,"2010-03-03 16:47:03","Windows 2000",1,,,,0,"Client Software"," --",,"unspecified",0,0,
551544,"Firefox","Security","nobody","UNCONFIRMED"," ---","Security slider -- combine max security with max accessibility","2010-03-10 18:45:57",,"2010-03-10 12:38:35","Linux",3,,,,0,"Client Software"," --",,"unspecified",0,1,
