"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1501236,"Firefox","Security: Review Requests","andrei.br92","NEW"," ---","Review Activity Stream Router Devtools JEXL evaluator","2018-10-23 03:52:09",,"2018-10-23 03:52:09","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1495619,"Firefox","Security: Review Requests","fbraun","NEW"," ---","Security review/testing of Feature Policy","2018-10-09 01:27:32","1390801, 1496427","2018-10-01 18:45:02","Unspecified",3,,,,0,"Client Software"," --",,"64 Branch",0,4,
1504581,"Firefox","Security: Review Requests","fbraun","NEW"," ---","Security testing of the Storage Access API","2018-11-04 17:46:15","1469714, 1494908","2018-11-04 17:45:16","Unspecified",2,,,,0,"Client Software"," --",,"unspecified",0,0,
1488106,"Firefox","Security: Review Requests","nobody","NEW"," ---","[secreview] Content Handler API","2018-11-04 17:37:30",,"2018-09-02 16:40:22","Unspecified",4,,,,0,"Client Software"," --",,"unspecified",0,2,
1488161,"Firefox","Security: Review Requests","nobody","NEW"," ---","Review / Investigation: Figure out how hard it is to XSS through Readability","2018-09-26 05:49:30",,"2018-09-03 02:40:35","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,1,
1490206,"Firefox","Security: Review Requests","nobody","NEW"," ---","Risk Assessment: Block autoplay (Landing in 63 pref'd OFF for experiments. Pref ON release TBD)","2018-09-11 02:11:38",1472195,"2018-09-10 21:49:48","Unspecified",1,,,,0,"Client Software"," --",,"63 Branch",0,4,
1490210,"Firefox","Security: Review Requests","nobody","NEW"," ---","Security Testing for client side (desktop and IOS) for FxA Device Commands","2018-09-11 02:11:44",1461581,"2018-09-10 22:26:07","Unspecified",2,,,,0,"Client Software"," --",,"64 Branch",0,3,
1492713,"Firefox","Security: Review Requests","nobody","NEW"," ---","Security testing of the Dweb APIs","2018-09-19 22:06:56",1492712,"2018-09-19 22:06:56","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1492750,"Firefox","Security: Review Requests","nobody","NEW"," ---","Security testing of the new cert error pages","2018-09-20 01:28:11","1442203, 1484688","2018-09-20 01:27:55","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1492787,"Firefox","Security: Review Requests","nobody","NEW"," ---","Security testing of Interaction Media Features","2018-09-20 03:31:34",1488751,"2018-09-20 03:31:34","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1492791,"Firefox","Security: Review Requests","nobody","NEW"," ---","Security testing of Javascript streams API","2018-09-20 03:41:36",1488752,"2018-09-20 03:41:36","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1368591,"Firefox","Security: Review Requests","ptheriault","NEW"," ---","WebVR Api SecReview","2018-09-10 20:40:16","1351547, 1356387, 1362578, 1362579","2017-05-29 18:06:01","Unspecified",5,,,,1,"Client Software"," --",,"unspecified",0,4,
1494479,"Firefox","Security: Review Requests","ptheriault","NEW"," ---","Security Testing of the Android Send App (V2)","2018-10-09 01:26:52",,"2018-09-26 15:14:41","Unspecified",2,,,,0,"Client Software"," --",,"unspecified",0,5,
1490205,"Firefox","Security: Review Requests","stephouillon","NEW"," ---","Security Testing : WebExtensions: Out of process","2018-09-24 07:59:18",1462094,"2018-09-10 21:47:27","Unspecified",1,,,,0,"Client Software"," --",,"63 Branch",0,3,
1500024,"Firefox","Security: Review Requests","stephouillon","NEW"," ---","Security testing for Device Pairing (Android device to Desktop)","2018-11-08 00:26:52",,"2018-10-18 02:27:07","Unspecified",2,,,,0,"Client Software"," --",,"other",0,4,
1492710,"Firefox","Security: Review Requests","wleung","NEW"," ---","Develop a formal security model for Web Extension APIs","2018-11-04 17:37:57",1316343,"2018-09-19 21:39:52","Unspecified",2,,,,0,"Client Software"," --",,"61 Branch",0,0,
