"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
815006,"Firefox","SocialAPI: Providers","nobody","UNCONFIRMED"," ---","focus is changed when chatting in more than one chat window and receive a message in another one","2013-02-19 05:10:32",,"2012-11-25 17:14:11","Android",1,,,,0,"Client Software"," --",,"20 Branch",0,2,
817987,"Firefox","SocialAPI: Providers","nobody","UNCONFIRMED"," ---","[Social API] Warning message to activate FB chat half covers text","2013-03-01 12:58:14",,"2012-12-04 03:02:02","Linux",4,,,,0,"Client Software"," --",,"17 Branch",0,4,
1219167,"Firefox","SocialAPI: Providers","nobody","UNCONFIRMED"," ---","GMail SocialAPI provider: Overlay closes after some seconds unexpectedly","2016-07-14 09:43:21",,"2015-10-28 02:25:54","Linux",4,,,,0,"Client Software"," --",,"41 Branch",0,3,
1255186,"Firefox","SocialAPI: Providers","nobody","UNCONFIRMED"," ---","Connection to Delicious using the share button (paper airplane) seems to be broken","2017-03-17 13:09:14",,"2016-03-09 13:54:47","Unspecified",3,,,,0,"Client Software"," --",,"45 Branch",0,2,
804254,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Social API url like button looks horrible","2015-03-17 06:38:11",846125,"2012-10-22 11:39:06","All",6,,,,0,"Client Software"," --",,"17 Branch",0,2,
805187,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Scroll handle goes behind the emoticon menu in the chat box when entering text","2012-10-26 11:29:28",,"2012-10-24 14:18:11","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,1,
805329,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Sometimes the contents of the UI don't fit in the popup","2012-10-26 14:32:24",,"2012-10-24 20:48:09","Mac OS X",1,,,,0,"Client Software"," --",,"unspecified",0,1,
805437,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Can't send messages after leaving a conversation","2012-10-26 11:25:24",,"2012-10-25 08:04:49","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,2,
806571,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Like button not appearing in location bar","2012-10-29 14:46:14",,"2012-10-29 14:46:14","Windows 7",1,,,,0,"Client Software"," --",,"Trunk",0,1,
807665,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","popups from jewels doesn't resize if content resizes","2012-11-01 08:44:01",,"2012-11-01 07:56:14","Mac OS X",1,,,,0,"Client Software"," --",,"unspecified",0,4,
807675,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Friends in the Social sidebar are sometimes marked as offline without actually going offline","2012-11-08 05:49:54",,"2012-11-01 08:22:30","Linux",4,,,,0,"Client Software"," --",,"17 Branch",0,3,
808053,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","commenting on a post in a sidebar flyout does not allow selection","2012-11-02 10:45:53",,"2012-11-02 09:57:31","All",1,,,,0,"Client Software"," --",,"Trunk",0,2,
808901,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Chat takes 6 seconds to pop up showing temporary grey bar","2012-11-05 20:11:40",,"2012-11-05 20:08:43","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,0,
809142,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","I only get 1 notification when I know I have more","2012-11-06 12:51:17",,"2012-11-06 11:11:30","All",3,,,,0,"Client Software"," --",,"Trunk",0,2,
809153,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Social messages in sidebar get stale after a while","2012-11-14 18:05:58",,"2012-11-06 11:37:03","All",8,,,,1,"Client Software"," --",,"Trunk",0,3,
809599,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Activity feed in sidebar is not current","2012-12-13 09:39:00",,"2012-11-07 13:04:20","All",25,,,,1,"Client Software"," --",,"17 Branch",0,5,
810293,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Desktop notifications are randomly displayed","2012-11-09 10:19:55",,"2012-11-09 06:49:30","All",2,,,,0,"Client Software"," --",,"Trunk",0,1,
811518,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Can't scroll in a chat window","2012-11-13 23:46:50",,"2012-11-13 15:33:14","Linux",1,,,,0,"Client Software"," --",,"Trunk",0,1,
813829,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","toast notifications should not coincide with the social activation at Firefox launch","2012-11-20 18:36:03",,"2012-11-20 18:36:03","Windows 8",1,,,,0,"Client Software"," --",,"unspecified",0,0,
813894,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Add option to disable sound in social feature","2012-11-27 17:46:01",,"2012-11-21 01:18:03","All",4,,,,0,"Client Software"," --",,"unspecified",0,4,
814166,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Incorrect behavior in multiple conversations","2012-11-21 13:26:42",,"2012-11-21 13:22:11","Windows 7",2,,,,0,"Client Software"," --",,"18 Branch",0,0,
814550,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","user's avatar/photo is hidden in chat windows - appears after a while","2012-11-23 08:45:15",,"2012-11-22 18:41:40","All",4,,,,0,"Client Software"," --",,"20 Branch",0,5,
815970,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","toURL param in notification requests should have https:// scheme","2012-11-27 22:18:05",,"2012-11-27 22:18:05","All",1,,,,0,"Client Software"," --",,"Trunk",0,2,
817189,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","desktop notification appears shortly after displaying notification panel","2012-11-30 16:14:19",,"2012-11-30 15:28:10","All",3,,,,0,"Client Software"," --",,"unspecified",0,1,
817831,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","If you don't have a Spotify account, spotify app page loads in tiny flyout when you try to play a song","2012-12-03 15:29:15",,"2012-12-03 14:59:21","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,1,
818297,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","messages panel should create chat directly rather than via the worker","2012-12-05 11:11:01",,"2012-12-04 15:01:44","All",1,,,,0,"Client Software"," --",,"Trunk",0,1,
820703,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","No jewel tag (red number) for new chat messages","2012-12-12 17:41:41",,"2012-12-11 23:29:27","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,1,
821284,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Chat panel in all windows when opened via the Messages panel","2012-12-18 11:09:05",,"2012-12-13 06:10:30","All",9,,,,0,"Client Software"," --",,"Trunk",0,2,
827338,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Some chat messages appear as ""sent"" but are not actually transmitted","2013-01-07 07:12:59",,"2013-01-07 07:12:59","Windows 7",1,,,,0,"Client Software"," --",,"Trunk",0,0,
837603,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Focused panel closed when hovering over different ticker item","2013-02-04 04:15:58",,"2013-02-04 01:30:48","All",4,,,,0,"Client Software"," --",,"18 Branch",0,4,
840301,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Green status icon isn't shown until the sidebar is opened","2013-02-11 15:00:28",,"2013-02-11 15:00:28","Linux",1,,,,0,"Client Software"," --",,"Trunk",0,0,
853365,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Panel messages displayed wrong in SocialAPI","2013-09-22 00:10:44",,"2013-03-21 02:58:43","All",7,,,,0,"Client Software"," --",,"unspecified",0,6,
874193,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Presence indicator is shown only if the sidebar is opened","2013-05-20 16:15:56",,"2013-05-20 13:20:35","All",3,,,,0,"Client Software"," --",,"23 Branch",0,2,
877660,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Settings panel is not opened on the first click in chat window","2013-05-30 08:26:59",,"2013-05-30 07:42:48","All",2,,,,0,"Client Software"," --",,"Trunk",0,1,
885595,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Show images in chat boxes","2013-06-20 17:12:05",,"2013-06-20 16:57:47","Linux",4,,,,0,"Client Software"," --",,"Trunk",0,3,
885694,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Notifications are never set as read","2013-06-24 13:29:23",,"2013-06-21 04:12:40","All",4,,,,0,"Client Software"," --",,"Trunk",0,1,
890258,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Share login panel partly white","2013-07-04 08:13:49",,"2013-07-04 06:12:35","Windows 7",2,,,,0,"Client Software"," --",,"23 Branch",0,1,
890260,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Login errors in the Share panel are displayed partially over the sign in form","2013-07-04 08:12:41",,"2013-07-04 06:16:31","Windows 7",1,,,,0,"Client Software"," --",,"23 Branch",0,1,
891593,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Left-Right scroll-bar is required for custom settings for Social API Share feature","2013-07-17 11:20:40",,"2013-07-09 15:05:46","All",3,,,,0,"Client Software"," --",,"unspecified",0,1,
908639,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Scrollbar overlapping the ""Choose an emoticon"" button in a chat window","2013-08-23 09:59:20",,"2013-08-23 05:50:20","All",3,,,,0,"Client Software"," --",,"Trunk",0,2,
908641,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Chat area misplaced when the chat is detached","2013-08-23 09:58:46",908646,"2013-08-23 06:03:48","All",2,,,,0,"Client Software"," --",,"Trunk",0,1,
908642,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Chat window is duplicated, after it was previously detached","2014-01-07 18:01:08",,"2013-08-23 06:11:39","All",2,,,,0,"Client Software"," --",,"Trunk",0,3,
908643,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Last message and writing area are not visible in the chat window after re-attaching it","2013-08-23 09:51:06",,"2013-08-23 06:14:06","All",2,,,,0,"Client Software"," --",,"Trunk",0,1,
908646,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Messages are hidden when detaching and attaching the window chat","2013-08-23 09:50:17",,"2013-08-23 06:17:50","All",2,,,,0,"Client Software"," --",,"Trunk",0,1,
908650,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Chatting is still possible after turning the chat off","2013-08-28 00:50:51",,"2013-08-23 06:51:07","All",4,,,,0,"Client Software"," --",,"Trunk",0,2,
978538,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","data: URLs in the Firefox preferences file (inside JSON text pref)","2014-03-17 11:01:38",,"2014-03-02 00:43:57","All",1,,,,0,"Client Software"," --",,"unspecified",0,3,
1001281,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","No user-visible error indication when a provider is experiencing an outage","2014-04-24 22:52:03",,"2014-04-24 22:52:03","Mac OS X",1,,,,0,"Client Software"," --",,"22 Branch",0,0,
1081492,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","allow customizing of the pre-filled text used when clicking ""Share this page""","2014-10-11 03:15:42",,"2014-10-11 03:15:42","Mac OS X",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1125626,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Allow sharing to Pinterest","2017-01-30 09:39:38",,"2015-01-25 08:21:15","All",2,,,,0,"Client Software"," --",,"unspecified",0,2,
1156258,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","Incorect share link provided after login to services","2015-04-27 18:02:25",,"2015-04-20 05:37:31","All",1,,,,0,"Client Software"," --",,"Trunk",0,0,
1339125,"Firefox","SocialAPI: Providers","nobody","NEW"," ---","""Share this page"" no longer works properly with G+","2017-05-10 03:57:12",,"2017-02-13 09:43:34","All",1,,,,0,"Client Software"," --",,"51 Branch",0,3,
821323,"Firefox","SocialAPI: Providers","florianl","ASSIGNED"," ---","The panels are empty if the logging in is not kept and Firefox is closed","2013-01-22 07:18:58",,"2012-12-13 08:20:42","All",25,,,,0,"Client Software"," --",,"Trunk",0,8,
807915,"Firefox","SocialAPI: Providers","nobody","REOPENED"," ---","Can't activate Social API after selecting ""Remove from Firefox""","2012-12-19 10:06:36",,"2012-11-02 01:48:51","All",39,"2012-11-20 06:18:10",,,0,"Client Software"," --",,"17 Branch",0,12,
