"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
316340,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Flexible Space does not adjust to fit Bookmark Toolbar Items when placed on menubar","2018-02-14 03:02:51",,"2005-11-13 20:39:07","Windows XP",14,,,,0,"Client Software"," --",,"2.0 Branch",1,8,
316886,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Right-click on toolbar link: ""Copy"" should be labelled ""Copy Link Location""","2016-11-09 19:35:40",,"2005-11-17 12:38:02","All",5,,,,0,"Client Software"," --",,"Trunk",0,6,
318952,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","navigation, bookmarks, and status bar cannot be displayed on new window","2012-10-19 00:19:18",,"2005-12-03 12:55:07","Mac OS X",5,,,,0,"Client Software"," --",,"1.5.0.x Branch",0,3,
333709,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Add a toolbarname attribute to all toolbars","2008-10-15 01:01:37",,"2006-04-12 06:06:59","All",4,,,,0,"Client Software"," --",,"unspecified",0,0,
341337,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Moving bookmark and folder in Bookmarks Toolbar","2018-10-29 16:36:24",,"2006-06-12 23:14:05","Windows XP",6,,,,0,"Client Software"," --",,"unspecified",1,6,
401083,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Feature request: alert bar disappearing behaviour preference","2017-04-02 06:15:11",,"2007-10-25 04:10:02","Linux",2,,,,0,"Client Software"," --",,"unspecified",0,1,
412244,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Two functions of the Reload button undocumented and inconsistent","2011-05-14 22:02:20",,"2008-01-14 00:56:38","Windows XP",2,,,,0,"Client Software"," --",,"2.0 Branch",0,4,
420402,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Dragging entries from Bookmarks Toolbar to Trash doesn't trash them","2010-10-18 16:58:47",,"2008-02-29 16:44:39","Mac OS X",4,,,,0,"Client Software"," --",,"3.6 Branch",1,2,
421941,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","toolbar buttons should follow GNOME desktop wide settings when available","2018-08-22 17:27:46",,"2008-03-10 12:37:22","Linux",4,,,,0,"Client Software"," --",,"unspecified",1,4,
424080,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Ctrl-click on live marks opens tabs AND the list of entries","2010-10-18 13:55:04",,"2008-03-20 03:58:05","Linux",3,,,,0,"Client Software"," --",,"Trunk",0,1,
440020,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Forward button not available while go back to G-mail web page","2010-10-19 08:28:03",,"2008-06-18 08:45:48","Windows XP",4,,,,0,"Client Software"," --",,"3.6 Branch",0,2,
447782,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","bookmark toolbar","2011-08-09 03:00:30",,"2008-07-24 07:11:41","All",2,,,,0,"Client Software"," --",,"unspecified",0,2,
473635,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Method to easily to change the displayed order of toolbars","2012-01-06 04:58:18",,"2009-01-14 13:18:30","All",2,,,,0,"Client Software"," --",,"Trunk",2,4,
487892,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Support translucent nav-bar and tab-bar in fullscreen mode","2017-08-11 04:36:37",,"2009-04-10 19:18:28","All",3,,,,0,"Client Software"," --",,"unspecified",1,3,
493994,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Right-click a bookmark in the toolbar should provide a ""Customize Toolbar"" option","2009-05-20 11:05:30",,"2009-05-20 11:05:30","All",1,,,,0,"Client Software"," --",,"unspecified",0,0,
500080,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","in fullscreen mode hiding of tabs schouldn't move screen","2017-08-11 04:37:04",,"2009-06-23 16:46:28","All",6,,,,0,"Client Software"," --",,"Trunk",2,4,
502312,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","UI: Add ability to add more search bar boxes to the top toolbar, possibly using the Customize window","2017-08-11 04:38:20",,"2009-07-03 19:52:36","All",4,,,,1,"Client Software"," --",,"3.5 Branch",1,6,
507134,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Merge titlebar into navbar & adressbar","2011-11-25 04:39:20",,"2009-07-29 08:04:34","All",3,,,,0,"Client Software"," --",,"unspecified",0,2,
514404,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Bookmarks Toolbar collapsed with search field","2011-02-05 16:19:59",,"2009-09-03 05:41:30","Windows XP",2,,,,0,"Client Software"," --",,"3.5 Branch",0,3,
521950,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","minimize sidebar, or resize freely","2017-08-14 00:27:32",,"2009-10-12 21:56:59","Windows XP",8,"2011-03-06 01:38:59",,,0,"Client Software"," --",,"3.6 Branch",0,3,
531511,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Toolbar customizations reset on extension update","2017-08-11 04:39:20",,"2009-11-28 03:02:46","Windows 7",5,,,,0,"Client Software"," --",,"3.6 Branch",0,4,
531616,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Customized Bookmark Toolbar Disappears From Menu Bar After Restart","2015-03-30 13:46:47",,"2009-11-29 06:25:38","Windows 7",10,,,,1,"Client Software"," --",,"3.6 Branch",1,3,
538794,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Mouse over one bookmark item is detected as a mouse over the item to it's right.","2011-02-12 22:10:37",,"2010-01-09 14:22:57","Windows 7",2,,,,0,"Client Software"," --",,"3.6 Branch",0,1,
538840,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Make Bookmarks Toolbar appear on the Menu line by Default","2010-01-10 04:46:26",,"2010-01-10 04:45:32","Windows Vista",2,,,,0,"Client Software"," --",,"unspecified",0,0,
547390,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","The icon arrow-liked don't disappear from the bookmark side at bookmarks toolbar","2010-02-19 22:02:36",,"2010-02-19 22:02:36","Windows 7",1,,,,0,"Client Software"," --",,"unspecified",0,0,
549929,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","fullscreen mode display ""a bit of a bar"" even if no bar is to be displayed","2014-01-07 14:28:52",,"2010-03-03 09:07:51","Mac OS X",3,,,,0,"Client Software"," --",,"unspecified",1,4,
551892,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","toolbars not there.","2011-02-12 22:03:39",547891,"2010-03-11 21:58:06","Windows XP",3,,,,1,"Client Software"," --",,"3.6 Branch",0,2,
553271,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Toolbar jumbled can't read","2010-03-18 07:32:02",,"2010-03-18 07:09:52","Windows 7",2,,,,0,"Client Software"," --",,"unspecified",0,1,
557458,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Back / Forward buttons sometimes get disabled for a tab.","2010-04-06 14:12:43",,"2010-04-06 00:23:10","Mac OS X",3,,,,0,"Client Software"," --",,"3.6 Branch",0,0,
560925,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Reload button shrunk in size. When page is loading and it changes to the stop button, the size is ok, but otherwise it's very narrow","2011-03-05 16:37:42",,"2010-04-21 12:00:32","Windows XP",3,,,,0,"Client Software"," --",,"Trunk",0,1,
561297,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Right click no longer gives me toolbar menu after I've hidden navigation bar","2010-04-24 21:12:56",,"2010-04-22 23:31:07","Windows Vista",6,,,,0,"Client Software"," --",,"unspecified",0,1,
565211,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Menu toolbar looses customization after extensions' update.","2010-06-01 10:53:14",,"2010-05-11 17:39:30","Linux",2,,,,0,"Client Software"," --",,"3.6 Branch",0,1,
569253,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Be able to have thumbnail previews in bookmark bar","2010-06-02 10:58:12",,"2010-05-31 11:56:35","All",6,,,,0,"Client Software"," --",,"Trunk",0,2,
577215,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Auto-fill the (unused portion of the) Bookmarks Toolbar with frecently used websites","2010-07-08 03:08:38",,"2010-07-07 01:39:52","All",2,,,,0,"Client Software"," --",,"Trunk",1,0,
579601,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","fullscreen: address bar speed problems","2010-07-17 03:00:02",,"2010-07-16 19:40:38","Linux",1,,,,0,"Client Software"," --",,"unspecified",0,1,
580277,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","""New tab"" icon disappeared","2014-05-17 22:46:54",,"2010-07-20 09:36:37","Windows 7",9,"2010-07-20 18:38:08",,,0,"Client Software"," --",,"4.0 Branch",1,5,
582659,"Firefox","Toolbars and Customization","nobody","UNCONFIRMED"," ---","Feedback button is missing","2011-03-09 14:08:36",,"2010-07-28 10:40:07","Windows Vista",3,,,,0,"Client Software"," --",,"unspecified",0,2,
