"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1221501,"Firefox","Tours","nobody","UNCONFIRMED"," ---","Tours tooltips misplaced when the menu button is missing","2015-11-04 09:08:32",,"2015-11-04 03:52:13","Unspecified",7,,,,0,"Client Software"," --",,"42 Branch",0,3,
983737,"Firefox","Tours","nobody","NEW"," ---","UI Tour: UI highlight is in wrong location when subpanel is open.","2016-04-28 15:03:47",,"2014-03-14 10:28:43","All",3,,,,0,"Client Software"," --",,"30 Branch",0,3,
984042,"Firefox","Tours","nobody","NEW"," ---","UITour: Make the info panel close button tabbable (with a proper tab order)","2015-01-21 22:35:52",,"2014-03-15 14:34:41","All",3,,,,0,"Client Software"," --",,"Trunk",0,1,
987676,"Firefox","Tours","nobody","NEW"," ---","UITour: Inconsistent behavior with menu panel icon hover/focus during the tour","2015-01-21 22:35:57",,"2014-03-25 07:07:28","Linux",3,,,,0,"Client Software"," --",,"29 Branch",0,1,
988151,"Firefox","Tours","nobody","NEW"," ---","getConfiguration(""availableTargets"") should take visibility and/or position into account","2016-04-28 15:02:43",,"2014-03-25 22:54:56","All",9,,,,0,"Client Software"," --",,"Trunk",0,5,
996616,"Firefox","Tours","nobody","NEW"," ---","[UI tour] Highlight can sometimes be positioned too high on Linux","2016-04-28 15:01:21",,"2014-04-15 07:41:31","Linux",8,,,,0,"Client Software"," --",,"29 Branch",0,4,
997719,"Firefox","Tours","nobody","NEW"," ---","[Linux] When the tour is launched in fullscreen the launcher is visible.","2015-01-21 22:36:05",,"2014-04-17 06:30:38","Linux",4,,,,0,"Client Software"," --",,"29 Branch",0,2,
1001820,"Firefox","Tours","nobody","NEW"," ---","browser_uitour.js fails on linux 32+64 while running as a standalone directory","2015-11-07 06:53:08",,"2014-04-26 03:25:07","Linux",9,,,,0,"Client Software"," --",,"Trunk",0,7,
1003031,"Firefox","Tours","nobody","NEW"," ---","Tour page either isn't calling UITour APIs, or API calls aren't getting allowed to be processed","2015-04-06 01:55:48",,"2014-04-29 01:49:41","All",13,,,,0,"Client Software"," --",,"29 Branch",0,3,
1068401,"Firefox","Tours","nobody","NEW"," ---","Add any remaining appropriate items to UITour's target whitelist","2015-11-07 06:54:55",,"2014-09-16 16:50:15","All",3,,,,0,"Client Software"," --",,"30 Branch",0,1,
1079785,"Firefox","Tours","nobody","NEW"," ---","UITour Add APIs to interact with sync (stretch goal)","2015-01-21 23:01:11",,"2014-10-08 03:57:21","All",3,,,,0,"Client Software"," --",,"unspecified",0,3,
1087230,"Firefox","Tours","nobody","NEW"," ---","UITour: when highlighting an item using an info panel, targetCallback does not fire unless the target is 'appMenu'","2015-11-07 07:11:07",,"2014-10-22 02:27:11","All",6,,,,0,"Client Software"," --",,"Trunk",0,4,
1091535,"Firefox","Tours","nobody","NEW"," ---","UITour forget button related window not correctly framed.","2015-01-21 23:01:32","1071187, 1077150","2014-10-30 04:04:08","All",2,,,,0,"Client Software"," --",,"33 Branch",0,0,
1091559,"Firefox","Tours","nobody","NEW"," ---","UITour on step 2 of the privacy tour the focus is set on the  search engine list so 2 clicks are required to go to the next UItour step.","2015-04-20 03:37:36",1071187,"2014-10-30 04:55:31","All",2,,,,0,"Client Software"," --",,"33 Branch",0,1,
1095519,"Firefox","Tours","nobody","NEW"," ---","UITour - Highlighting of items from Menu Panel during Dev Tour changes the button color.","2015-01-21 22:35:32",,"2014-11-07 07:15:17","Linux",5,,,,0,"Client Software"," --",,"35 Branch",0,7,
1097600,"Firefox","Tours","nobody","NEW"," ---","UITour: loading an iframe in web content hides UITour highlights & info panels","2015-01-21 22:35:33",,"2014-11-12 03:31:59","All",6,,,,0,"Client Software"," --",,"unspecified",0,5,
1100343,"Firefox","Tours","nobody","NEW"," ---","Closing the 'Default browser message' after loading page will not display the blue indicator on Developer Tools icon","2015-11-07 06:53:49",989947,"2014-11-17 05:26:14","Mac OS X",3,,,,0,"Client Software"," --",,"35 Branch",0,2,
1104812,"Firefox","Tours","nobody","NEW"," ---","Suggestion panel from searchbar and UiTour doorhanger are overlapping.","2015-11-07 06:55:35",,"2014-11-25 08:45:50","All",9,,,,0,"Client Software"," --",,"34 Branch",0,3,
1113451,"Firefox","Tours","nobody","NEW"," ---","Launching tool bar items from snippet","2015-01-21 21:50:39",,"2014-12-18 17:56:05","All",2,,,,0,"Client Software"," --",,"unspecified",0,0,
1127302,"Firefox","Tours","nobody","NEW"," ---","UITour: Highlights and panels remain visible when the browser is minimized","2016-06-06 03:40:25",,"2015-01-29 05:51:20","Mac OS X",4,,,,0,"Client Software"," --",,"37 Branch",0,4,
1127810,"Firefox","Tours","nobody","NEW"," ---","UITour: Closing a tour tab hides highlights & info panels in other tour tabs","2015-06-10 08:20:57",,"2015-01-30 05:49:26","All",15,,,,0,"Client Software"," --",,"37 Branch",0,5,
1130605,"Firefox","Tours","nobody","NEW"," ---","[UX] [Polaris] Design Spike: Visual design of Tracking Protection onboarding flow","2015-11-07 06:54:05",1126264,"2015-02-06 14:10:03","Mac OS X",7,,,,0,"Client Software"," --",,"Trunk",0,5,
1134486,"Firefox","Tours","nobody","NEW"," ---","Attach UTM parameters to /whatsnew and /firstrun tour links by default","2015-02-18 17:28:52",,"2015-02-18 17:28:52","Mac OS X",1,,,,0,"Client Software"," --",,"36 Branch",0,2,
1142489,"Firefox","Tours","nobody","NEW"," ---","Should UITour.jsm remove ""message-manager-disconnect"" observer?","2017-03-22 06:14:27",,"2015-03-12 06:09:59","All",1,,,,0,"Client Software"," --",,"unspecified",0,1,
1161014,"Firefox","Tours","nobody","NEW"," ---","The Reader View promo panel is not adapting properly to window and screen size","2015-05-11 05:27:18",,"2015-05-04 05:31:17","All",3,,,,0,"Client Software"," --",,"40 Branch",0,2,
1161018,"Firefox","Tours","nobody","NEW"," ---","The Reader View promo panel can no longer be dismissed after opening a new window","2015-05-06 16:18:33",,"2015-05-04 05:48:47","All",4,,,,0,"Client Software"," --",,"40 Branch",0,2,
1161022,"Firefox","Tours","nobody","NEW"," ---","The UI elements from the Reader View promo panel show alignment and position related discrepancies","2015-05-04 06:01:21",,"2015-05-04 06:01:21","All",1,,,,0,"Client Software"," --",,"40 Branch",0,1,
1163526,"Firefox","Tours","nobody","NEW"," ---","Reader View promo panel is automatically dismissed","2015-06-01 14:05:23",,"2015-05-11 02:26:13","All",5,,,,0,"Client Software"," --",,"Trunk",0,4,
1167785,"Firefox","Tours","nobody","NEW"," ---","Create API to detect if a user is signed into Pocket","2016-03-15 22:11:25",,"2015-05-22 15:19:36","All",8,,,,1,"Client Software"," --",,"unspecified",0,4,
1181818,"Firefox","Tours","nobody","NEW"," ---","UITours popups cause Firefox window to lose focus","2018-09-05 15:05:25",,"2015-07-08 15:33:12","Linux",21,,,,0,"Client Software"," --",,"Trunk",0,6,
