"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1501937,"Firefox","Tracking Protection","nobody","UNCONFIRMED"," ---","tracking-protection-issues.herokuapp.com","2018-10-31 12:10:01",,"2018-10-25 01:09:16","Unspecified",3,,,,0,"Client Software","P2",,"63 Branch",0,4,
1432644,"Firefox","Tracking Protection","nobody","UNCONFIRMED"," ---","Can't manually add exceptions to tracking protection list","2018-10-17 20:42:31",,"2018-01-23 14:53:59","Unspecified",9,,,,0,"Client Software","P3",,"58 Branch",0,8,
1439849,"Firefox","Tracking Protection","nobody","NEW"," ---","Allow third party filter lists for tracking protection","2018-03-01 09:07:29",,"2018-02-21 02:13:28","Unspecified",2,,,,0,"Client Software"," --",,"57 Branch",1,2,
1439850,"Firefox","Tracking Protection","nobody","NEW"," ---","Allow for Click-2-Play on third party widgets like video players and comments","2018-03-01 09:06:06",,"2018-02-21 02:19:53","Unspecified",2,,,,0,"Client Software"," --",,"57 Branch",0,2,
1502214,"Firefox","Tracking Protection","nobody","NEW"," ---","Could you replace ""Content Blocking"" with the term ""Tracking Protection""?","2018-11-06 06:10:54",,"2018-10-25 15:25:06","Unspecified",4,,,,0,"Client Software"," --",,"Trunk",0,4,
1504690,"Firefox","Tracking Protection","nobody","NEW"," ---","Content blocking break Google API usage","2018-11-07 15:15:19",,"2018-11-05 06:26:49","Unspecified",5,,,,0,"Client Software"," --",,"unspecified",1,4,
1505931,"Firefox","Tracking Protection","nobody","NEW"," ---","Tracking Protection enabled causes us to not honor the list in the urlclassifier.trackingAnnotationTable pref","2018-11-09 07:34:24",,"2018-11-08 13:41:04","Unspecified",5,,,,0,"Client Software"," --",,"65 Branch",0,8,
1460058,"Firefox","Tracking Protection","nobody","NEW"," ---","[meta] Implement a new anti-tracking feature","2018-11-05 12:08:40","1461530, 1461743, 1470285, 1473978, 1480450, 1482988, 1485904, 1485905, 1487178","2018-05-08 14:36:20","Unspecified",1,,,,0,"Client Software","P1",,"unspecified",7,20,
1505212,"Firefox","Tracking Protection","amarchesini","NEW"," ---","The Google login button on Quartzy.com doesn't work with strict list cookie blocking","2018-11-09 09:16:19",,"2018-11-06 15:19:21","Unspecified",17,,,,0,"Client Software","P2",,"unspecified",0,6,
1505571,"Firefox","Tracking Protection","amarchesini","NEW"," ---","Tracking cookie blocking + Strict list may break Google sign-in when custom buttons are used.","2018-11-11 02:44:22",,"2018-11-07 13:01:54","Unspecified",7,,,,0,"Client Software","P2",,"unspecified",0,4,
1473189,"Firefox","Tracking Protection","nobody","NEW"," ---","Tracking protection in Private Browsing mode ignores any user overrides done in normal mode","2018-11-09 01:22:55",,"2018-07-03 17:34:37","Unspecified",6,,,,0,"Client Software","P2",,"unspecified",1,5,
1478493,"Firefox","Tracking Protection","nobody","NEW"," ---","Fix the entity list information for Oath owned companies","2018-07-25 15:29:25",,"2018-07-25 14:12:40","Unspecified",1,,,,0,"Client Software","P2",,"unspecified",0,1,
1481233,"Firefox","Tracking Protection","nobody","NEW"," ---","Replace usage of ""Tracking Protection"" with ""Content Blocking"" in our UI where applicable","2018-10-25 14:50:56","1476217, 1476218, 1476224, 1483445, 1484574, 1484583, 1484586, 1497922","2018-08-06 07:46:55","Unspecified",3,,,,0,"Client Software","P2",,"unspecified",0,2,
1484247,"Firefox","Tracking Protection","nobody","NEW"," ---","Switch the Report Breakage dialog to use Firefox telemetry custom pings","2018-10-05 15:59:12",1474238,"2018-08-17 08:07:38","Unspecified",1,,,,0,"Client Software","P2",,"unspecified",0,4,
1490811,"Firefox","Tracking Protection","nobody","NEW"," ---","Add a permission doorhanger for storage access","2018-11-08 20:23:38",1506014,"2018-09-12 13:39:00","Unspecified",3,,,,0,"Client Software","P2",,"unspecified",1,6,
1492549,"Firefox","Tracking Protection","nobody","NEW"," ---","Enable blocking access to storage from tracking resources by default on all desktop platforms","2018-10-18 06:27:50",,"2018-09-19 11:33:12","Unspecified",3,,,,1,"Client Software","P2",,"unspecified",4,9,
1492989,"Firefox","Tracking Protection","nobody","NEW"," ---","The SSO heuristic of the tracking cookie restrictions features continues to grant storage access after popup navigation","2018-10-01 08:52:58",,"2018-09-20 14:30:54","Unspecified",2,,,,0,"Client Software","P2",,"unspecified",0,4,
1501980,"Firefox","Tracking Protection","nobody","NEW"," ---","Add a mode label to the Content Blocking section in the main menu","2018-10-25 14:52:32",1501977,"2018-10-25 03:21:25","Unspecified",1,,,,0,"Client Software","P2",,"unspecified",2,2,
1501992,"Firefox","Tracking Protection","nobody","NEW"," ---","Add a sub-panel for Cookies in the control center","2018-10-31 05:16:56",1503465,"2018-10-25 03:59:45","Unspecified",2,,,,1,"Client Software","P2",,"unspecified",2,4,
1502316,"Firefox","Tracking Protection","nobody","NEW"," ---","The button 'continue with google' from pinterest does not perform any action when clicked","2018-11-07 13:54:25",,"2018-10-26 04:53:50","All",14,,,,0,"Client Software","P2",,"64 Branch",1,7,
1502374,"Firefox","Tracking Protection","nobody","NEW"," ---","Help users restore privacy.trackingprotection.pbmode.enabled after we remove the toggle on about:privatebrowsing","2018-10-26 10:36:53",1502361,"2018-10-26 06:59:54","Unspecified",1,,,,0,"Client Software","P2",,"unspecified",2,3,
1505585,"Firefox","Tracking Protection","nobody","NEW"," ---","Tracking cookie blocking + Strict list breaks the Google Plus sign-in flow","2018-11-08 09:08:40",1502316,"2018-11-07 13:53:44","Unspecified",1,,,,0,"Client Software","P2",,"unspecified",1,4,
1101005,"Firefox","Tracking Protection","nobody","NEW"," ---","[meta] tracking bug for tracking protection breakages","2018-11-09 07:03:27","1100924, 1108017, 1111156, 1122585, 1126439, 1126505, 1130893, 1138056, 1139620, 1139621, 1139623, 1139624, 1139625, 1139626, 1139627, 1160725, 1163726, 1163727, 1163731, 1163771, 1172321, 1174807, 1175158, 1176480, 1176495, 1177582, 1185262, 1199369, 1199783, 1204126, 1204203, 1211458, 1216689, 1225481, 1228965, 1235253, 1240640, 1246488, 1247883, 1247957, 1248548, 1252781, 1262713, 1264160, 1266153, 1277550, 1277601, 1279706, 1282580, 1295704, 1299782, 1300054, 1301443, 1324481, 1329623, 1330176, 1338483, 1339541, 1340071, 1362739, 1377002, 1383936, 1400025, 1400031, 1400356, 1404763, 1410480, 1413249, 1415305, 1417921, 1418163, 1428988, 1432161, 1432839, 1435533, 1439852, 1449334, 1449372, 1460387, 1465962, 1468122, 1470298, 1470301, 1474009, 1475536, 1475929, 1475937, 1475955, 1475961, 1475966, 1477264, 1478453, 1478593, 1478607, 1481386, 1481398, 1483187, 1483201, 1484195, 1484969, 1485641, 1485662, 1486337, 1486425, 1486756, 1487041, 1487062, 1487072, 1489756, 1489948, 1489964, 1490417, 1490678, 1491792, 1492141, 1493091, 1493124, 1493602, 1494239, 1494279, 1499582, 1500315, 1501211, 1501611, 1502322, 1503211, 1503512, 1503519, 1503816, 1504155, 1506090, 1506098, 1506145","2014-11-18 08:11:29","All",24,,,,0,"Client Software","P3",,"unspecified",4,22,
1103548,"Firefox","Tracking Protection","nobody","NEW"," ---","Tracking Protection UI should allow temporarily disabling TP for the current page","2017-09-14 15:46:02",,"2014-11-23 01:15:03","All",2,,,,0,"Client Software","P3",,"Trunk",2,7,
1225819,"Firefox","Tracking Protection","nobody","NEW"," ---","""Disable protection for this session"" doesn't work as expected","2017-09-14 15:50:04",,"2015-11-18 05:03:19","Unspecified",2,,,,0,"Client Software","P3",,"43 Branch",0,4,
