"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1093574,"Firefox","Translation","nobody","UNCONFIRMED"," ---","browser.translation.ui.show should be available as a button in the translation toolbar","2014-11-04 06:54:12",,"2014-11-04 03:28:23","All",4,,,,0,"Client Software"," --",,"unspecified",0,2,
971044,"Firefox","Translation","nobody","NEW"," ---","Implement translation infobar","2017-11-13 11:14:05","971045, 973287, 974538, 976571, 976573, 976574, 976751, 979424, 988480, 988481, 988482, 1009501","2014-02-11 09:30:15","All",4,,,,0,"Client Software"," --",,"unspecified",14,25,
976557,"Firefox","Translation","nobody","NEW"," ---","Fade translation/original text when replacing it","2015-11-07 06:54:54","976554, 1009832","2014-02-25 06:53:51","All",3,,,,0,"Client Software"," --",,"unspecified",0,1,
989310,"Firefox","Translation","nobody","NEW"," ---","Provide Web authors a way to disable the translation bar entirely or partially","2015-11-07 06:53:27",,"2014-03-28 06:49:57","All",2,,,,0,"Client Software"," --",,"unspecified",0,8,
989321,"Firefox","Translation","nobody","NEW"," ---","Detect available translations using <link rel=""alternate"" hreflang=""x""> instead of showing machine translation","2015-11-07 06:51:04",,"2014-03-28 07:06:25","All",2,,,,0,"Client Software"," --",,"unspecified",0,8,
990633,"Firefox","Translation","nobody","NEW"," ---","Implement arrow pointing from the translation info bar to the URL bar icon","2015-11-07 07:11:22",974460,"2014-04-01 09:39:26","All",2,,,,0,"Client Software"," --",,"unspecified",1,3,
997806,"Firefox","Translation","nobody","NEW"," ---","Language not detected if the content is in subframes","2015-11-07 06:52:43",,"2014-04-17 08:58:25","All",2,,,,0,"Client Software"," --",,"unspecified",0,2,
997818,"Firefox","Translation","nobody","NEW"," ---","Infobar is not displayed as long as the throbber is still present in the tab","2015-11-07 06:54:34",,"2014-04-17 09:18:38","All",3,,,,0,"Client Software"," --",,"unspecified",0,3,
1009832,"Firefox","Translation","nobody","NEW"," ---","Breakdown - Fade translation/original text when replacing it","2015-11-07 06:54:38",,"2014-05-13 14:14:25","All",1,,,,0,"Client Software"," --",,"unspecified",0,2,
1012522,"Firefox","Translation","nobody","NEW"," ---","Split TranslationItem in chunks if necessary","2015-11-07 06:52:33",,"2014-05-18 22:20:44","All",1,,,,0,"Client Software"," --",,"Trunk",0,1,
1013374,"Firefox","Translation","nobody","NEW"," ---","Optimize display timing of translation infobar and icon","2015-11-07 06:54:26",1013861,"2014-05-20 09:29:43","All",8,,,,0,"Client Software"," --",,"Trunk",0,8,
1014562,"Firefox","Translation","nobody","NEW"," ---","make the native CLD work well enough to compare memory use in realistic scenarios","2015-11-07 06:51:57",,"2014-05-22 07:01:01","All",1,,,,0,"Client Software"," --",,"Trunk",0,4,
1015933,"Firefox","Translation","nobody","NEW"," ---","Improve translation tests","2015-11-28 11:03:33",1022725,"2014-05-26 05:26:07","All",7,,,,0,"Client Software"," --",,"unspecified",0,6,
1022729,"Firefox","Translation","nobody","NEW"," ---","Tests for the translation engine","2015-11-07 07:11:16",,"2014-06-09 09:19:57","All",2,,,,0,"Client Software"," --",,"Trunk",0,6,
1025873,"Firefox","Translation","nobody","NEW"," ---","Strange behavior after wrapping elements into a dropdown box","2014-06-16 06:14:09",,"2014-06-16 05:34:02","Linux",2,,,,0,"Client Software"," --",,"33 Branch",0,4,
1030739,"Firefox","Translation","nobody","NEW"," ---","[hidpi] translation provider image is cut on the bottom","2015-11-07 06:55:20",1022856,"2014-06-26 06:25:30","Windows 8.1",2,,,,0,"Client Software"," --",,"33 Branch",0,6,
1031683,"Firefox","Translation","nobody","NEW"," ---","Implement design changes to translation provider attribution in options menu","2015-11-07 06:51:27",,"2014-06-28 09:13:32","All",4,,,,0,"Client Software"," --",,"Trunk",0,5,
1031684,"Firefox","Translation","nobody","NEW"," ---","Implement design changes to translation provider attribution in preferences","2015-11-07 06:53:54",,"2014-06-28 09:13:35","All",2,,,,0,"Client Software"," --",,"Trunk",0,4,
1036385,"Firefox","Translation","nobody","NEW"," ---","Dropdown elements don`t always stick back to infobar on a touch device","2014-07-09 06:12:50",,"2014-07-09 06:12:50","All",1,,,,0,"Client Software"," --",,"33 Branch",0,4,
1041314,"Firefox","Translation","nobody","NEW"," ---","translation bar will block other tips","2014-07-28 01:41:20",,"2014-07-20 07:58:12","All",9,,,,0,"Client Software"," --",,"33 Branch",0,4,
1042728,"Firefox","Translation","nobody","NEW"," ---","[Translation Experiment] container string and telemetry toolbar not translated for vi","2015-11-07 06:54:32",1035333,"2014-07-23 08:12:56","Mac OS X",3,,,,0,"Client Software"," --",,"unspecified",0,1,
1057458,"Firefox","Translation","nobody","NEW"," ---","Submit buttons and input placeholders aren't translated","2014-11-13 08:38:54",,"2014-08-22 10:39:03","Linux",3,,,,0,"Client Software"," --",,"unspecified",0,3,
1060713,"Firefox","Translation","nobody","NEW"," ---","No ""charactersTranslatedCount"" found in Mozrtrap testcase 14014 for the ""Test the translation infobar in Nightly""","2014-09-04 04:16:41",,"2014-08-29 19:56:01","Windows 7",9,,,,0,"Client Software"," --",,"unspecified",0,3,
1063735,"Firefox","Translation","nobody","NEW"," ---","""This page has been translated from"" message does not behave consistently","2015-11-07 06:51:49",,"2014-09-05 13:12:14","Mac OS X",5,,,,0,"Client Software"," --",,"34 Branch",0,3,
1067011,"Firefox","Translation","nobody","NEW"," ---","[Translation][i18n] label=""&translateWebPages.label;."" have an unnecessary point","2014-09-15 07:12:21",,"2014-09-13 11:06:06","All",5,,,,0,"Client Software"," --",,"33 Branch",0,1,
1157478,"Firefox","Translation","nobody","NEW"," ---","translation exceptions dialog has duplicate ids","2015-04-22 15:28:43",,"2015-04-22 15:28:14","Unspecified",1,,,,0,"Client Software"," --",,"Trunk",0,1,
1214345,"Firefox","Translation","nobody","NEW"," ---","The translation ""notification"" anchor should focus its infobar when used","2015-10-13 12:11:41",,"2015-10-13 12:11:41","Unspecified",1,,,,0,"Client Software"," --",,"Trunk",0,1,
1504731,"Firefox","Translation","nobody","NEW"," ---","BingTranslator.jsm refers to an outdated API endpoint","2018-11-05 08:29:50",,"2018-11-05 08:29:50","Unspecified",1,,,,0,"Client Software"," --",,"54 Branch",0,0,
1450812,"Firefox","Translation","nobody","NEW"," ---","Convert translation-infobar.xml to a JS module","2018-05-28 12:17:57",,"2018-04-02 15:54:41","Unspecified",3,,,,0,"Client Software","P2",,"unspecified",3,4,
1030074,"Firefox","Translation","nobody","NEW"," ---","Intermittent browser_translation_fhr.js | 1 == 2 - JS frame :: .../browser_translation_fhr.js :: MetricsChecker.checkAdditions< :: line 62","2016-09-01 11:49:44",,"2014-06-25 04:32:40","Linux",57,,,,0,"Client Software","P3",,"unspecified",0,0,
1118474,"Firefox","Translation","nobody","NEW"," ---","Intermittent browser_translation_exceptions.js | application timed out after 330 seconds with no output","2016-09-01 11:49:44",,"2015-01-06 13:46:20","Windows 7",83,,,,0,"Client Software","P3",,"unspecified",0,0,
1273073,"Firefox","Translation","nobody","NEW"," ---","Intermittent browser_translation_infobar.js | application timed out after 330 seconds with no output","2016-09-01 12:00:31",,"2016-05-16 02:07:05","Unspecified",3,,,,0,"Client Software","P3",,"unspecified",0,0,
1476513,"Firefox","Translation","glob","NEW"," ---","add moz.yaml and license to vendored cld2 library","2018-10-29 13:56:34",,"2018-07-18 00:09:49","Unspecified",5,,,,0,"Client Software","P5",,"Trunk",0,2,
1246369,"Firefox","Translation","nobody","NEW"," ---","Intermittent e10s browser_translation_telemetry.js | This test exceeded the timeout threshold. It should be rewritten or split up.","2017-10-15 18:43:49",,"2016-02-05 23:55:56","Unspecified",6,,,,0,"Client Software","P5",,"unspecified",0,1,
1255292,"Firefox","Translation","nobody","NEW"," ---","Intermittent e10s browser_translation_yandex.js | application timed out after 330 seconds with no output","2016-08-04 10:21:50",,"2016-03-09 21:11:46","Unspecified",2,,,,0,"Client Software","P5",,"unspecified",0,0,
1374446,"Firefox","Translation","nobody","NEW"," ---","Intermittent browser/components/translation/test/browser_translation_yandex.js | A promise chain failed to handle a rejection: can't access dead object","2018-05-28 11:17:55",,"2017-06-19 14:38:53","Unspecified",35,,,,1,"Client Software","P5",,"unspecified",0,3,
1411181,"Firefox","Translation","nobody","NEW"," ---","Intermittent browser/components/translation/test/browser_translation_telemetry.js | This test exceeded the timeout threshold. It should be rewritten or split up. If that's not possible, use requestLongerTimeout(N), but only as a last resort. -","2017-10-29 18:14:36",,"2017-10-24 01:17:50","Unspecified",2,,,,0,"Client Software","P5",,"unspecified",0,0,
1495843,"Firefox","Translation","nobody","NEW"," ---","Intermittent browser/components/translation/test/browser_translation_exceptions.js | Test timed out -","2018-10-22 00:14:32",,"2018-10-02 11:45:20","Unspecified",3,,,,0,"Client Software","P5",,"unspecified",0,1,
1316953,"Firefox","Translation","felipc","ASSIGNED"," ---","Intermittent browser/components/translation/test/browser_translation_infobar.js | timeout waiting for the info bar to reappear -","2018-10-01 00:02:33",,"2016-11-11 12:59:51","Unspecified",83,,,,0,"Client Software"," --",,"unspecified",0,3,
1008224,"Firefox","Translation","yarik.sheptykin","ASSIGNED"," ---","Implement translation infobar tweaks to allow for better display in smaller browser windows","2015-11-03 06:08:41","1008214, 1153509","2014-05-09 08:32:40","All",7,,,,0,"Client Software"," --",,"Trunk",0,4,
1021650,"Firefox","Translation","nobody","REOPENED"," ---","Investigate if tweaking the asm.js heap size can actually save some of the memory used by cld-worker.js","2018-05-25 04:01:55",,"2014-06-06 03:38:25","Mac OS X",2,"2018-05-24 05:07:34",,,0,"Client Software"," --",,"Trunk",1,2,
