"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
541636,"Platform","Ant","platform-ant-inbox","NEW"," ---","Program%20Files ... tools.jar which is referenced by the classpath, does not exist","2018-11-28 08:29:57",,1,"2018-11-28 08:29:57","P3","Windows 7","PC",0
541119,"Platform","Ant","platform-ant-inbox","NEW"," ---","SecurityManager#getInCheck removal in JDK 10","2018-11-14 00:14:29",,5,"2018-11-13 21:16:01","P3","All","All",0
421933,"Platform","Ant","platform-ant-inbox","NEW"," ---","Assertion Error: Program did not suspend, and unable to terminate launch.","2018-11-13 22:15:51",,9,"2013-11-18 03:10:28","P3","Linux","PC",0
412809,"Platform","Ant","platform-ant-inbox","ASSIGNED"," ---","Add support for the include task (was: Ant include tag shows errors for files outside of Eclipse project)","2018-09-28 07:03:48",,6,"2013-07-11 18:05:48","P3","Windows 7","PC",3
537909,"Platform","Ant","platform-ant-inbox","NEW"," ---","ant build fails while using external jdk","2018-09-08 09:47:20",,4,"2018-08-13 16:58:43","P3","Windows 10","PC",0
535570,"Platform","Ant","platform-ant-inbox","NEW"," ---","Unable to open any build.xml when another SecurityManager is present","2018-08-30 11:01:06",,14,"2018-06-05 19:03:53","P3","All","All",0
511279,"Platform","Ant","sarika.sinha","ASSIGNED"," ---","ant build file behaves differently in eclipse than in an external ant run","2018-08-28 02:44:25",,19,"2017-01-29 22:54:23","P3","Linux","PC",0
352131,"Platform","Ant","platform-ant-inbox","NEW"," ---","[patch] Ant builder not called after a clean","2018-08-01 08:49:38",306746,20,"2011-07-14 12:24:53","P3","Linux","PC",7
519798,"Platform","Ant","platform-ant-inbox","NEW"," ---","[Tests] testStepBackFromAntCall failed","2018-06-01 02:11:11",,10,"2017-07-18 02:05:39","P3","Windows 7","PC",0
533347,"Platform","Ant","platform-ant-inbox","NEW"," ---","Regression: Ant <javac> classpath entries outside project directory are ignored","2018-04-09 03:24:26",,3,"2018-04-08 00:47:03","P3","Linux","PC",0
529010,"Platform","Ant","platform-ant-inbox","NEW"," ---","Error launching an Ant","2018-01-23 03:50:23",,4,"2017-12-20 07:39:43","P3","Windows 10","PC",0
