"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
206442,"Platform","CVS","platform-cvs-inbox","NEW"," ---","Copying files from one project/directory to another may include /CVS directories","2018-11-10 13:18:12",,9,"2007-10-16 06:31:46","P3","All","All",0
270105,"Platform","CVS","platform-cvs-inbox","NEW"," ---","[Change Sets] Change Sets actions must be available via main menu","2018-11-09 18:51:23",,2,"2009-03-26 06:11:48","P3","All","PC",1
429516,"Platform","CVS","platform-cvs-inbox","NEW"," ---","CVS with SSH repository information has to be corrected each time eclipse is opened.","2018-10-30 11:51:58",,4,"2014-03-03 17:21:23","P3","Windows 7","PC",0
376122,"Platform","CVS","platform-cvs-inbox","NEW"," ---","Unable to connect cvs client in Eclipse with message ""Can not connect to host","2018-10-24 16:20:43",,2,"2012-04-04 17:23:07","P3","Windows 7","PC",0
326762,"Platform","CVS","platform-cvs-inbox","NEW"," ---","[Repo view] Cannot create a repository location when the path is ""/""","2018-10-12 13:56:27",,11,"2010-10-01 06:57:15","P3","Linux","PC",0
223317,"Platform","CVS","platform-cvs-inbox","NEW"," ---","Apply Patch with Fuzz factor 100000 is long running","2018-10-01 19:22:12",,6,"2008-03-20 04:47:07","P3","Windows XP","PC",0
308054,"Platform","CVS","platform-cvs-inbox","NEW"," ---","[Sync View] Files just released shown as incoming removal","2018-09-17 14:51:04",,3,"2010-04-04 19:38:00","P3","Mac OS X - Carbon (unsup.)","PC",0
538836,"Platform","CVS","platform-cvs-inbox","NEW"," ---","error","2018-09-09 00:17:27",,1,"2018-09-09 00:17:27","P3","Windows 10","PC",0
538835,"Platform","CVS","platform-cvs-inbox","NEW"," ---","error","2018-09-09 00:16:27",,1,"2018-09-09 00:16:27","P3","Windows 10","PC",0
538293,"Platform","CVS","platform-cvs-inbox","NEW"," ---","Issue while opening HANA Modeler","2018-08-27 00:01:09",,1,"2018-08-27 00:01:09","P3","Windows 10","PC",0
408932,"Platform","CVS","platform-cvs-inbox","NEW"," ---","CVSWorkspaceSubscriberTest.testNestedMarkAsMerged failed (now disabled)","2018-08-24 02:21:25",,5,"2013-05-24 04:11:16","P3","Mac OS X","PC",0
185907,"Platform","CVS","platform-cvs-inbox","ASSIGNED"," ---","[Change Sets] Adding a changed file to a changeset collapses part of the Tree","2018-04-16 07:18:18",113675,6,"2007-05-08 03:21:59","P5","Windows XP","PC",1
68642,"Platform","CVS","platform-cvs-inbox","ASSIGNED"," ---","[Operations] ""Replace With > Latest from TEST_BRANCH"" replaces file with HEAD","2018-04-09 09:26:44",,6,"2004-06-25 13:40:32","P5","Windows 2000","PC",1
532734,"Platform","CVS","platform-cvs-inbox","NEW"," ---","Files are removed from CVS/Entries.","2018-03-21 17:54:34",,1,"2018-03-21 17:54:34","P3","Windows 7","PC",0
416404,"Platform","CVS","platform-cvs-inbox","NEW"," ---","ResourceMapperTests.testCacheBase (now disabled)","2018-02-08 15:18:27",,5,"2013-09-03 04:52:19","P3","Mac OS X","PC",0
530912,"Platform","CVS","platform-cvs-inbox","NEW"," ---","I like a eclipse","2018-02-08 15:14:06",,1,"2018-02-08 15:14:06","P3","Windows 7","PC",0
387412,"Platform","CVS","platform-cvs-inbox","NEW"," ---","Team Synchronize with repository MUCH slower in Juno than Helios (using CVS)","2018-01-17 13:08:03",,40,"2012-08-16 12:45:39","P3","Windows 7","PC",15
518972,"Platform","CVS","platform-cvs-inbox","NEW"," ---","checkin of changes to CVS triggers NoSuchMethodError","2017-11-07 22:37:21",,2,"2017-06-29 11:30:39","P3","Linux","PC",1
525307,"Platform","CVS","platform-cvs-inbox","NEW"," ---","CVS not refreshing Branches or Versions","2017-09-28 05:18:40",,1,"2017-09-28 05:18:40","P3","Windows 7","PC",0
521979,"Platform","CVS","platform-cvs-inbox","NEW"," ---","When Eclipse is running that I can't commit or update via TortoiseSVN or SVN connector in Eclipse","2017-09-07 04:27:34",,1,"2017-09-07 04:27:34","P3","Windows 7","PC",0
519363,"Platform","CVS","platform-cvs-inbox","NEW"," ---","CVS integration installed from marketplace cannot retrieve remote history","2017-07-07 04:12:55",,1,"2017-07-07 04:12:55","P3","Windows 10","PC",0
500485,"Platform","CVS","platform-cvs-inbox","NEW"," ---","Show in History does not work","2017-06-28 12:13:57",,3,"2016-08-30 05:23:16","P3","Windows 7","PC",1
508933,"Platform","CVS","platform-cvs-inbox","NEW"," ---","CVS tests leak running jobs","2017-06-13 03:50:10",,7,"2016-12-08 11:29:09","P3","Linux","PC",0
511357,"Platform","CVS","platform-cvs-inbox","NEW"," ---","CVS client fails constantly in Linux Ubuntu trying to connect to a Windows server","2017-01-31 03:39:39",,1,"2017-01-31 03:39:39","P3","Linux","PC",0
511040,"Platform","CVS","platform-cvs-inbox","NEW"," ---","CVS connection randomly missing when opening projects","2017-01-25 10:46:34",,1,"2017-01-25 10:46:34","P3","Windows 7","PC",0
