"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
473021,"Platform","Compare","platform-compare-inbox","NEW"," ---","Apply patch wizard reports 'file does not exist' for all files in a patch","2018-11-26 19:19:06",,3,"2015-07-19 12:40:23","P3","Linux","PC",0
541401,"Platform","Compare","platform-compare-inbox","NEW"," ---","[regression] Vertical scrollbar thumb size is wrong in compare view","2018-11-21 08:48:18",,2,"2018-11-21 08:40:29","P3","Windows 7","PC",0
289697,"Platform","Compare","platform-compare-inbox","NEW"," ---","Wrong highlighting of individual changes  in text compare","2018-11-13 05:45:18",,5,"2009-09-17 04:25:55","P3","Windows XP","PC",0
304693,"Platform","Compare","platform-compare-inbox","ASSIGNED"," ---","[Edit] Investigate ways of improving how Compare Editor works in multi-threading environment","2018-11-04 15:25:28",324993,10,"2010-03-04 11:24:03","P3","Windows XP","PC",0
244718,"Platform","Compare","platform-compare-inbox","NEW"," ---","StructureCreator.save is called when it shouldn't be","2018-10-20 15:31:54",,5,"2008-08-20 12:05:54","P3","Windows XP","PC",0
229145,"Platform","Compare","platform-compare-inbox","NEW"," ---","Problems while merging","2018-10-09 11:44:31",,4,"2008-04-28 15:07:18","P3","Windows XP","PC",0
260400,"Platform","Compare","platform-compare-inbox","NEW"," ---","Patch details truncated as I expand a hunk that does not apply","2018-09-29 13:16:22",,2,"2009-01-08 10:24:12","P3","Mac OS X","PC",0
282018,"Platform","Compare","platform-compare-inbox","NEW"," ---","Compare editor shows strange icon in Cocoa","2018-09-27 08:00:47",,2,"2009-06-30 10:55:34","P3","Mac OS X","PC",0
538554,"Platform","Compare","platform-compare-inbox","NEW"," ---","Compare should detect and show moved blocks of lines","2018-09-07 11:04:36",,2,"2018-09-03 10:08:01","P3","All","PC",0
361503,"Platform","Compare","platform-compare-inbox","NEW"," ---","Need a option to ignore line ending related diffs","2018-09-07 10:51:45",301775,18,"2011-10-20 03:58:23","P3","Windows 7","PC",28
512771,"Platform","Compare","platform-compare-inbox","REOPENED"," ---","Saving in compare editor doesn't work if swapping left and right view is enabled","2018-08-01 15:36:09",,12,"2017-02-27 11:05:05","P3","All","All",0
530743,"Platform","Compare","platform-compare-inbox","NEW"," ---","Compare editor often freezing IDE and slowing down OS","2018-07-13 17:37:56",,2,"2018-02-05 10:52:31","P3","Linux","PC",0
224562,"Platform","Compare","platform-compare-inbox","ASSIGNED"," ---","Provide more flexible way to compare files","2018-06-29 06:51:16","73923, 198701, 239959, 240298, 241077, 241088, 241539, 241643, 241649, 243744, 244623",9,"2008-03-28 06:56:42","P3","Windows XP","PC",1
516450,"Platform","Compare","platform-compare-inbox","NEW"," ---","Proposal for a set of consistent rules for what to show on the left and right sides of the compare viewer","2018-05-11 09:41:49",,7,"2017-05-11 00:50:51","P3","Linux","PC",0
309124,"Platform","Compare","platform-compare-inbox","REOPENED"," ---","[compare] Java Source Compare does not show whitespace characters in folder compare","2018-04-13 05:59:38",,25,"2010-04-14 09:33:50","P3","All","All",0
532888,"Platform","Compare","platform-compare-inbox","NEW"," ---","Compare java file from git staging view NullPointerException","2018-03-26 09:32:09",,2,"2018-03-26 09:29:23","P3","Linux","PC",0
532647,"Platform","Compare","platform-compare-inbox","NEW"," ---","[Dark theme] Compare marker for changes almost invisible in dark theme","2018-03-23 11:39:35",,5,"2018-03-20 07:31:27","P3","Linux","PC",0
473847,"Platform","Compare","platform-compare-inbox","NEW"," ---","Minimum E4 Compability of Compare (Platform/Compare)","2018-03-16 04:01:40",,9,"2015-07-29 10:36:27","P3","Windows NT","PC",0
529389,"Platform","Compare","platform-compare-inbox","NEW"," ---","compare editor outline shows changes reversed","2018-01-03 16:41:00",,1,"2018-01-03 16:41:00","P3","Windows 10","PC",0
521921,"Platform","Compare","platform-compare-inbox","NEW"," ---","Redundant Compute Differences","2017-09-06 10:26:41",,4,"2017-09-06 07:37:55","P3","Windows NT","PC",0
521047,"Platform","Compare","platform-compare-inbox","NEW"," ---","compare Shows inconsistant differences depending on how it is invoked","2017-08-17 03:48:50",,3,"2017-08-17 03:46:44","P3","Windows 7","PC",0
520551,"Platform","Compare","platform-compare-inbox","NEW"," ---","Eclipse hangs after safe in Diff-Viewer (TeamSychronize)","2017-08-04 07:45:30",,2,"2017-08-04 05:45:49","P3","Windows 10","PC",0
512395,"Platform","Compare","platform-compare-inbox","REOPENED"," ---","""Copy all from right to left"" has no effect in some cases","2017-07-24 12:03:52",,11,"2017-02-19 06:23:43","P3","All","All",0
278391,"Platform","Compare","platform-compare-inbox","NEW"," ---","Image Compare should allow visual compare of gif and png","2017-07-12 05:23:18",155323,4,"2009-05-29 10:15:36","P3","Windows XP","PC",0
519002,"Platform","Compare","platform-compare-inbox","NEW"," ---","deadlock between MergeSourceViewer and DS Annotation builder","2017-06-30 03:14:37",,1,"2017-06-30 03:14:37","P3","Windows 7","PC",0
