"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
529651,"Platform","Debug","platform-debug-inbox","NEW"," ---","Launch group does not execute external tool launch build","2018-11-21 05:08:53",,9,"2018-01-11 01:30:16","P3","Windows 7","PC",1
538213,"Platform","Debug","sarika.sinha","NEW"," ---","The files in org.eclipse.debug.examples.memory should be converted to Unix line delimiter","2018-11-21 04:47:07",,2,"2018-08-23 11:31:35","P3","All","All",0
498469,"Platform","Debug","sarika.sinha","NEW"," ---","Improve Debugging Usability","2018-11-21 04:46:15","71020, 334991, 409065, 498426, 498428, 498493",4,"2016-07-26 03:57:38","P3","Windows 7","PC",0
211189,"Platform","Debug","platform-debug-inbox","ASSIGNED"," ---","[launch] UI locked when applying changes to External Tools launch config while building workspace","2018-11-19 05:21:17",,2,"2007-11-28 05:20:43","P3","Windows XP","PC",0
45017,"Platform","Debug","platform-debug-inbox","ASSIGNED"," ---","[console] Find next does not work in debug console","2018-11-16 00:55:51",123838,20,"2003-10-16 10:50:16","P3","All","All",4
483084,"Platform","Debug","mike.majewski","ASSIGNED"," ---","Change environment variable editing to inline instead of dialog","2018-11-12 13:25:15",,4,"2015-11-26 06:19:34","P3","Linux","PC",0
513355,"Platform","Debug","platform-debug-inbox","REOPENED"," ---","Create top level Debug menu","2018-11-09 10:33:07",,102,"2017-03-09 02:44:11","P3","All","All",2
530440,"Platform","Debug","platform-debug-inbox","NEW"," ---","Step over is very slow and much slower than before","2018-10-31 14:23:42",,9,"2018-01-29 04:37:03","P3","Windows 7","PC",3
112948,"Platform","Debug","platform-debug-inbox","ASSIGNED"," ---","[console] Make the console ANSI compliant","2018-10-23 04:02:07",,24,"2005-10-18 11:19:36","P3","Windows XP","PC",6
492391,"Platform","Debug","platform-debug-inbox","NEW"," ---","Icon fixes for org.eclipse.ui.console","2018-10-14 14:02:41",,4,"2016-04-25 13:58:23","P3","Linux","PC",0
540011,"Platform","Debug","platform-debug-inbox","NEW"," ---","When running eclipse program gives an error of file directory reader, other pc doesnt have it","2018-10-10 15:13:05",,1,"2018-10-10 15:13:05","P3","Windows 10","PC",0
367517,"Platform","Debug","platform-debug-inbox","NEW"," ---","External run configuration doesn't properly set environment variable","2018-10-02 14:43:13",,4,"2011-12-23 14:00:42","P3","Windows 7","PC",0
355800,"Platform","Debug","platform-debug-inbox","NEW"," ---","[Launch] Auto-delete of configurations - dangerous interaction with File Refresh hooks","2018-09-22 16:08:24",,9,"2011-08-25 03:48:28","P2","Windows 7","PC",0
444921,"Platform","Debug","platform-debug-inbox","NEW"," ---","Breakpoint import creates breakpoints twice","2018-09-17 00:57:02",,2,"2014-09-24 04:35:34","P3","Windows 7","PC",0
538954,"Platform","Debug","platform-debug-inbox","NEW"," ---","Unable to see Glassfish logs in eclipse console","2018-09-13 03:18:37",,4,"2018-09-11 17:42:36","P3","Windows 10","PC",0
538903,"Platform","Debug","platform-debug-inbox","NEW"," ---","In Debug mode, press F6 key cannot perform ""Step Over""","2018-09-10 23:10:30",,1,"2018-09-10 23:10:30","P3","Windows 10","PC",0
538819,"Platform","Debug","platform-debug-inbox","NEW"," ---","Unhelpful Refresh launch tab","2018-09-10 05:17:00",,7,"2018-09-08 03:57:06","P3","Windows 10","PC",0
537546,"Platform","Debug","platform-debug-inbox","NEW"," ---","[code mining] Provide Debug codemining classes","2018-09-07 10:18:46",528095,5,"2018-07-31 17:27:52","P3","All","All",0
528095,"Platform","Debug","platform-debug-inbox","NEW"," ---","API/extension point to resolve a selection/a line to IVariable(s)","2018-09-07 10:18:41",,1,"2017-12-04 09:56:47","P3","All","All",0
493410,"Platform","Debug","sarika.sinha","ASSIGNED"," ---","Show Qualified Names does not re-sort the Breakpoints view","2018-08-28 02:46:18",,5,"2016-05-11 06:56:43","P3","All","All",0
538276,"Platform","Debug","platform-debug-inbox","NEW"," ---","Opening Launch config dialog freeze UI","2018-08-27 03:00:48",,3,"2018-08-26 05:34:52","P3","Linux","PC",0
538243,"Platform","Debug","platform-debug-inbox","NEW"," ---","Debugger points to other class when calling method which is defined in a class which is of same name","2018-08-24 13:59:33",,2,"2018-08-24 07:29:49","P3","Linux","PC",0
