"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
541628,"Platform","Doc","noopur_gupta","NEW"," ---","Update Platform Tips & Tricks for 4.10","2018-11-28 05:21:47",,1,"2018-11-28 05:21:33","P3","All","All",0
60357,"Platform","Doc","platform-doc-inbox","NEW"," ---","Creating an Eclipse View plugin needs updating to 3.0","2018-10-03 17:31:43",,3,"2004-04-28 23:12:37","P3","Windows 2000","PC",0
87237,"Platform","Doc","platform-doc-inbox","NEW"," ---","documentation discrepancy swt examples","2018-10-02 01:26:48",,5,"2005-03-06 15:49:35","P3","Windows XP","PC",0
537858,"Platform","Doc","platform-doc-inbox","NEW"," ---","Minimap N&N needs work","2018-08-10 09:30:47",,1,"2018-08-10 09:30:47","P3","All","All",0
537305,"Platform","Doc","platform-doc-inbox","ASSIGNED"," ---","Document new location of Save automatically before build options","2018-07-24 14:29:51",,4,"2018-07-23 14:17:34","P3","Windows 10","PC",0
534621,"Platform","Doc","platform-doc-inbox","UNCONFIRMED"," ---","Provide direct linking of features in release notes","2018-05-16 06:30:31",,5,"2018-05-13 15:49:14","P3","All","All",0
521926,"Platform","Doc","platform-doc-inbox","NEW"," ---","Eclipse Doc bundles are quite huge","2018-01-18 19:19:32",,12,"2017-09-06 08:38:43","P3","All","PC",0
529252,"Platform","Doc","platform-doc-inbox","NEW"," ---","Progress view shows one running job, even if there are hundreds of them","2018-01-14 11:07:18",226494,3,"2017-12-27 13:59:05","P3","All","All",0
403066,"Platform","Doc","markus.kell.r","ASSIGNED"," ---","[Bidi] Update documentation for bidi APIs and command line options","2017-05-26 09:27:49","307307, 380397, 383185",8,"2013-03-12 11:44:30","P3","All","All",0
387547,"Platform","Doc","platform-doc-inbox","ASSIGNED"," ---","extension points must specify available variables for <enablement> elements","2017-05-26 09:27:26",,5,"2012-08-19 04:05:10","P3","All","All",0
508004,"Platform","Doc","svdbg","NEW"," ---","""Searching for files"" doc","2017-04-21 12:42:50",,3,"2016-11-22 17:33:04","P3","Windows 10","PC",0
508002,"Platform","Doc","platform-doc-inbox","ASSIGNED"," ---","Resource filters doc incomplete","2017-04-21 12:35:20",,2,"2016-11-22 17:15:49","P3","Windows 10","PC",0
357333,"Platform","Doc","platform-doc-inbox","ASSIGNED"," ---","No ""Add task"" button in the tasks view","2017-04-21 12:34:25",212848,2,"2011-09-11 18:10:11","P3","Windows XP","PC",0
357334,"Platform","Doc","platform-doc-inbox","ASSIGNED"," ---","No delete button in the Bookmarks view's toolbar","2017-04-21 12:33:29",212850,2,"2011-09-11 18:20:10","P3","Windows XP","PC",0
507992,"Platform","Doc","svdbg","NEW"," ---","Incorrect documentation about projet creation","2017-04-21 11:18:20",,2,"2016-11-22 16:43:00","P3","Windows 10","PC",0
507999,"Platform","Doc","platform-doc-inbox","ASSIGNED"," ---","Explain what the purpose of a virtual folder","2017-04-21 11:05:47",,1,"2016-11-22 17:08:13","P3","Windows 10","PC",0
510723,"Platform","Doc","platform-doc-inbox","NEW"," ---","API needed to retarget breakpoint toggle actions","2017-01-20 07:59:55",,2,"2017-01-20 01:22:20","P3","All","PC",0
502852,"Platform","Doc","Platform-UI-Inbox","NEW"," ---","Improve help text on removing plug-ins","2016-09-30 07:53:29",,1,"2016-09-30 07:52:05","P3","Windows 7","PC",0
384891,"Platform","Doc","platform-doc-inbox","ASSIGNED"," ---","Update doc for the extra process attributes and the updated property page","2016-09-19 13:33:21",,1,"2012-07-12 00:01:42","P3","All","All",0
498307,"Platform","Doc","platform-doc-inbox","NEW"," ---","""Installing the Remote System Explorer"" documentation for RSE assumes RSE has been updated","2016-07-21 14:39:28",,1,"2016-07-21 14:39:28","P3","All","All",0
497639,"Platform","Doc","platform-doc-inbox","NEW"," ---","Search in Help is not finding results when searched with the method name","2016-07-12 01:46:53",,2,"2016-07-11 02:27:07","P3","Windows 7","PC",0
496494,"Platform","Doc","platform-doc-inbox","NEW"," ---","HTTP Error: 500 Server Error","2016-06-23 08:49:19",,2,"2016-06-21 12:25:38","P3","Windows 7","PC",0
490410,"Platform","Doc","platform-doc-inbox","NEW"," ---","Dirty working tree: files in docs (common)","2016-03-24 20:31:00",419510,1,"2016-03-24 20:31:00","P3","Linux","PC",0
489918,"Platform","Doc","platform-doc-inbox","ASSIGNED"," ---","Provide a stable (top-level) migration guide page","2016-03-18 06:32:34",,1,"2016-03-18 06:32:09","P3","All","All",0
123447,"Platform","Doc","platform-doc-inbox","NEW"," ---","How To Write An Eclipse Installer is obsolete","2016-03-12 06:42:05",,2,"2006-01-11 11:14:16","P3","Windows XP","PC",0
488075,"Platform","Doc","platform-doc-inbox","NEW"," ---","Add (minimal) documentation for the support or Declarative Services annotations","2016-02-26 10:02:11","376950, 411404, 475230, 475241",1,"2016-02-19 02:14:12","P3","Windows XP","PC",0
