"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
541617,"Platform","Releng","platform-releng-inbox","NEW"," ---","Disable and Re-enable mac app signing and dmg creation","2018-11-28 10:39:49",541574,5,"2018-11-28 01:14:10","P3","Mac OS X","PC",0
541614,"Platform","Releng","sarika.sinha","ASSIGNED"," ---","Release tasks for 4.10","2018-11-28 05:22:41","541578, 541615, 541626, 541628, 541629",1,"2018-11-27 22:25:58","P3","Windows 7","PC",0
541598,"Platform","Releng","kalyan_prasad","NEW"," ---","Generate gitLog as html report","2018-11-28 01:34:26",,1,"2018-11-27 08:16:45","P3","Windows 7","PC",0
541615,"Platform","Releng","sarika.sinha","ASSIGNED"," ---","Readme file for 4.10","2018-11-28 01:28:37",,6,"2018-11-27 22:33:00","P3","Windows 7","PC",0
538762,"Platform","Releng","platform-releng-inbox","NEW"," ---","Update prereqs for 4.10 release: Orbit URL","2018-11-27 09:07:46",,12,"2018-09-07 01:48:34","P3","Windows 7","PC",0
541597,"Platform","Releng","platform-releng-inbox","NEW"," ---","Generate commit URL and add it to the git log.","2018-11-27 08:10:10",,1,"2018-11-27 08:10:10","P3","Windows 7","PC",0
541562,"Platform","Releng","platform-releng-inbox","NEW"," ---","4.10.0 I-Build: I20181126-0600 failed","2018-11-26 10:26:15",,4,"2018-11-26 09:31:02","P3","Linux","PC",0
541490,"Platform","Releng","platform-releng-inbox","NEW"," ---","Deploy and update ECJ to use 4.10M3 to produce 4.10RC1","2018-11-24 07:16:27",,1,"2018-11-23 04:28:00","P3","Windows 10","PC",0
541435,"Platform","Releng","platform-releng-inbox","NEW"," ---","Move platform build to Java 11","2018-11-22 04:32:43",541403,6,"2018-11-22 03:24:49","P3","Linux","PC",0
538764,"Platform","Releng","platform-releng-inbox","NEW"," ---","Update prereqs for 4.10 release: EMF","2018-11-21 09:12:30",,26,"2018-09-07 01:50:17","P3","Windows 7","PC",0
541302,"Platform","Releng","kitlo","NEW"," ---","Create new git clone script for eclipse platform","2018-11-21 09:05:58",,2,"2018-11-19 07:22:47","P3","Linux","PC",0
541301,"Platform","Releng","platform-releng-inbox","NEW"," ---","Prepare eclipse platform project for CJE migration","2018-11-21 09:05:37",541302,1,"2018-11-19 07:19:07","P3","Linux","PC",0
541333,"Platform","Releng","platform-releng-inbox","NEW"," ---","Bad build on downloads page","2018-11-20 01:25:01",,1,"2018-11-20 01:25:01","P3","Windows 10","PC",0
539334,"Platform","Releng","kalyan_prasad","NEW"," ---","Test job should only require build-id","2018-11-20 01:22:57",,1,"2018-09-21 12:39:49","P3","All","All",0
537841,"Platform","Releng","platform-releng-inbox","REOPENED"," ---","Need Suse 15 as test machine","2018-11-19 16:06:49",,3,"2018-08-10 02:51:05","P3","Linux","PC",0
510072,"Platform","Releng","platform-releng-inbox","NEW"," ---","Scripts & tool for publishing to Maven Central should migrate to releng git","2018-11-15 17:38:28","510973, 510976",95,"2017-01-07 18:31:23","P3","All","All",3
541212,"Platform","Releng","platform-releng-inbox","NEW"," ---","Update RedDeer in target platform to version 2.3.0","2018-11-15 14:18:55",,3,"2018-11-15 14:14:13","P3","Linux","PC",0
540981,"Platform","Releng","platform-releng-inbox","NEW"," ---","Migrate builds to new infra","2018-11-09 10:29:54",,1,"2018-11-09 10:27:41","P3","Mac OS X","PC",0
534315,"Platform","Releng","platform-releng-inbox","NEW"," ---","Publish OSGi & Equinox (and others?) milestone as Maven artifacts","2018-11-09 04:33:15",,3,"2018-05-03 09:03:01","P3","All","All",0
540842,"Platform","Releng","platform-releng-inbox","NEW"," ---","Update prereqs for 4.8 release: Orbit URL for Photon","2018-11-08 00:38:07",,3,"2018-11-06 10:56:37","P3","All","All",0
540836,"Platform","Releng","platform-releng-inbox","NEW"," ---","Update prereqs for 4.9 release: EMF 2.15","2018-11-08 00:37:24",,3,"2018-11-06 09:12:00","P3","All","All",0
423606,"Platform","Releng","platform-releng-inbox","NEW"," ---","4.4 repository shows its children","2018-11-07 18:40:37",,3,"2013-12-09 11:25:54","P3","Windows 7","PC",0
513285,"Platform","Releng","sravankumarl","NEW"," ---","https://wiki.eclipse.org/Eclipse/Rhythm needs an update","2018-11-07 11:47:50",,2,"2017-03-07 20:22:07","P3","All","All",0
520337,"Platform","Releng","platform-releng-inbox","NEW"," ---","Incorrect dependencies in generated Maven POMs","2018-11-04 13:56:44",,6,"2017-07-30 15:26:41","P3","Linux","PC",1
540661,"Platform","Releng","platform-releng-inbox","NEW"," ---","Fix Copyrights appears to not update copyrights to EPL 2 in feature and example/toc files","2018-10-31 16:25:53",,4,"2018-10-31 12:09:52","P3","Linux","PC",0
538763,"Platform","Releng","platform-releng-inbox","NEW"," ---","Update prereqs for 4.10 release: ECF","2018-10-31 14:10:20",,11,"2018-09-07 01:49:26","P3","Windows 7","PC",0
540660,"Platform","Releng","platform-releng-inbox","NEW"," ---","Fix Copyrights appears to add an extra ""-->"" closure to copyright comment blocks in xml files","2018-10-31 12:05:37",,2,"2018-10-31 12:05:13","P3","Linux","PC",0
540641,"Platform","Releng","platform-releng-inbox","NEW"," ---","LegacyXmlResultFormatter creates invalid XML","2018-10-31 03:28:41",,3,"2018-10-31 03:22:18","P3","Windows 7","PC",0
540530,"Platform","Releng","platform-releng-inbox","NEW"," ---","[releng] no compiler tool in staging repo.","2018-10-30 11:46:04",,9,"2018-10-27 06:04:39","P3","Linux","PC",0
540585,"Platform","Releng","platform-releng-inbox","NEW"," ---","2 repo not found errors and two NPEs running tests in eclipse.platform.releng / releng.tests","2018-10-30 01:44:32",,1,"2018-10-29 17:11:16","P3","Linux","PC",0
540565,"Platform","Releng","platform-releng-inbox","NEW"," ---","p2 repo for 4.9 is incomplete","2018-10-29 07:48:13",,1,"2018-10-29 07:48:13","P3","All","All",0
531057,"Platform","Releng","platform-releng-inbox","NEW"," ---","Add JUnit 5 support for automated tests","2018-10-29 04:23:23",,38,"2018-02-12 10:42:01","P3","Linux","PC",0
540529,"Platform","Releng","platform-releng-inbox","NEW"," ---","testJavadocLogs fails on all platforms with: ""javadoc errors and/or warnings in: pde.doc.user.javadoc.txt""","2018-10-27 04:16:50",,1,"2018-10-27 04:15:48","P3","All","All",0
468751,"Platform","Releng","platform-releng-inbox","NEW"," ---","Update Eclipse performance test wiki","2018-10-26 17:56:23",,2,"2015-05-29 04:44:27","P3","Linux","PC",0
540389,"Platform","Releng","platform-releng-inbox","NEW"," ---","Copyrigth tool is using JavaDoc  instead of regular comments","2018-10-23 05:20:42",,1,"2018-10-23 05:20:42","P3","Windows 10","PC",0
325413,"Platform","Releng","platform-releng-inbox","NEW"," ---","Wrong icon on build result page if build failed","2018-10-22 17:38:51",,4,"2010-09-16 04:26:21","P3","Windows XP","PC",0
540358,"Platform","Releng","platform-releng-inbox","NEW"," ---","[perfs]Lot of DNF in performance tests","2018-10-22 04:51:56",,1,"2018-10-22 04:51:56","P3","Windows 7","PC",0
540222,"Platform","Releng","platform-releng-inbox","NEW"," ---","[tests] All test projects should dump stack traces on timeout","2018-10-17 12:20:56",,3,"2018-10-17 09:31:32","P3","All","All",0
539414,"Platform","Releng","platform-releng-inbox","NEW"," ---","Update the Test Run location on the IBuild test results page","2018-10-11 06:01:20",,3,"2018-09-25 04:28:00","P3","Windows 10","PC",0
539943,"Platform","Releng","platform-releng-inbox","NEW"," ---","Installation of the Eclipse IDE for Java Developer fails with missing remote file: http://download.eclipse.org/oomph/updates/milestone/latest/compositeContent.xml","2018-10-09 07:40:24",,1,"2018-10-09 02:51:38","P3","Windows 10","PC",0
193264,"Platform","Releng","platform-releng-inbox","NEW"," ---","Building eclipse from source doesnot copy the executable and the shared library in to the final package","2018-10-05 18:47:32",,2,"2007-06-19 02:35:08","P3","Linux","Other",0
539763,"Platform","Releng","platform-releng-inbox","NEW"," ---","Add a ""latest"" repository","2018-10-03 14:15:58",,3,"2018-10-03 13:56:15","P3","Windows 10","PC",1
305781,"Platform","Releng","caniszczyk","ASSIGNED"," ---","Give warning about Unarchiver bug for Mac distro","2018-10-03 09:12:43",,9,"2010-03-13 17:07:25","P3","All","Macintosh",0
388956,"Platform","Releng","mistria","NEW"," ---","Enable code coverage in test suites","2018-09-26 17:29:19",,45,"2012-09-06 10:58:56","P3","All","All",1
530357,"Platform","Releng","platform-releng-inbox","NEW"," ---","Finish removal of Update Manager API for org.eclipse.update.configurator","2018-09-26 07:49:20","518351, 527378, 527379, 539475",1,"2018-01-26 05:23:34","P3","Linux","PC",0
537316,"Platform","Releng","jarthana","NEW"," ---","11] Create patch build for Java 11 support","2018-09-26 04:59:00",,17,"2018-07-24 02:07:14","P3","Mac OS X","PC",0
484370,"Platform","Releng","platform-releng-inbox","NEW"," ---","Text on Splash turns gray during startup","2018-09-24 15:28:54",,2,"2015-12-15 02:48:38","P3","Linux","PC",0
405079,"Platform","Releng","platform-releng-inbox","NEW"," ---","[CBI] Remove antrunner from eclipse.platform.swt.binaries:binaries-parent","2018-09-21 16:37:37",,2,"2013-04-06 12:35:42","P3","Windows 7","PC",0
535848,"Platform","Releng","platform-releng-inbox","NEW"," ---","why does 4.8 suddenly ship a very old commons.io lib?","2018-09-19 04:57:06",,9,"2018-06-13 05:10:32","P3","Windows 10","PC",0
539134,"Platform","Releng","platform-releng-inbox","NEW"," ---","[12] Running Y build with Java 12 compiler for test results","2018-09-17 02:14:06",,2,"2018-09-17 02:04:31","P3","Windows 7","PC",0
537658,"Platform","Releng","platform-releng-inbox","NEW"," ---","Mac test failures on new test machine (10.13)","2018-09-07 04:05:43","536564, 536706, 537637, 537640, 537641, 537642, 537643, 538439",4,"2018-08-03 08:29:47","P3","Mac OS X","PC",0
538438,"Platform","Releng","platform-releng-inbox","NEW"," ---","Warnings in generation of doc bundles","2018-08-31 02:03:32",,1,"2018-08-31 02:03:32","P3","Windows 7","PC",0
535190,"Platform","Releng","platform-releng-inbox","NEW"," ---","New Splash Screen for 4.9","2018-08-30 20:40:21",,3,"2018-05-28 06:16:21","P3","Windows 7","PC",0
420078,"Platform","Releng","platform-releng-inbox","REOPENED"," ---","Avoid creating ""Dirt"" during the CBI build","2018-08-29 05:48:25","419503, 419506, 419508, 419510, 419522, 419524, 419527, 419528, 419531, 459323, 459584, 461002, 463150, 481710, 487723, 488935, 490410, 490411, 490412, 490413, 498986, 498988, 498992",24,"2013-10-22 09:48:12","P3","Linux","PC",0
400733,"Platform","Releng","platform-releng-inbox","NEW"," ---","[CBI] CBI builds missing source bundles for branding bundles","2018-08-29 05:48:25",,24,"2013-02-13 15:09:18","P2","Windows 7","PC",0
436054,"Platform","Releng","platform-releng-inbox","NEW"," ---","Log analysis (e.g. comparator errors) is not performed if build fails","2018-08-29 05:48:25",,4,"2014-05-28 09:14:54","P2","Linux","PC",0
535499,"Platform","Releng","kitlo","NEW"," ---","Move gitCache to Jenkins workspace","2018-08-29 04:41:59",,4,"2018-06-04 02:21:20","P3","All","PC",0
538369,"Platform","Releng","platform-releng-inbox","NEW"," ---","Update copyright tools to use EPL 2.0","2018-08-28 15:28:01",,1,"2018-08-28 15:27:54","P3","Linux","PC",0
390820,"Platform","Releng","platform-releng-inbox","REOPENED"," ---","Migrate performance test doc to wiki and update it","2018-08-23 12:50:25",,14,"2012-10-01 09:14:12","P2","Windows 7","PC",0
528230,"Platform","Releng","platform-releng-inbox","NEW"," ---","Build FileSystem native component on Eclipse Foundation Infra","2018-08-23 12:50:17",,3,"2017-12-07 00:12:09","P3","Mac OS X","PC",0
466991,"Platform","Releng","platform-releng-inbox","NEW"," ---","Add a test for split packages with different certificates","2018-08-23 12:49:19",,10,"2015-05-11 08:20:39","P3","All","All",1
481272,"Platform","Releng","platform-releng-inbox","NEW"," ---","Discovered a number of bugs in Performance ""display"" functions","2018-08-23 12:49:10",,13,"2015-11-02 14:27:14","P2","Linux","PC",0
243854,"Platform","Releng","sravankumarl","NEW"," ---","Create API report for changes compared to last release during builds","2018-08-23 09:45:29",258853,21,"2008-08-12 05:35:16","P2","Windows XP","PC",0
210792,"Platform","Releng","sravankumarl","NEW"," ---","Test suites killed by timeout must appear red","2018-08-23 09:45:05",,17,"2007-11-23 11:16:05","P2","All","All",0
