"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
540727,"Platform","Team","platform-team-inbox","NEW"," ---","Need to replace jsch with supported SSH implementation","2018-11-19 10:35:57",,5,"2018-11-02 10:44:00","P3","Mac OS X","PC",0
541075,"Platform","Team","platform-team-inbox","NEW"," ---","[Dark Theme] Replace with local history dialog not correctly styled","2018-11-13 06:47:34",,2,"2018-11-13 06:47:11","P3","Linux","PC",0
347394,"Platform","Team","platform-team-inbox","NEW"," ---","Eclipse-SourceReferences misinterpreted for bundles with ""project="" attributes, when HEAD selected","2018-11-13 00:45:20",,9,"2011-05-27 01:26:37","P2","Linux","PC",0
414185,"Platform","Team","platform-team-inbox","NEW"," ---","java.lang.StackOverflowError when trying to open History View","2018-11-05 07:18:53",,3,"2013-08-01 04:51:13","P3","Windows 7","PC",0
304493,"Platform","Team","platform-team-inbox","ASSIGNED"," ---","[Sync View][Apply Patch] Apply Patch in Synchronize view should not be blocked by ongoing synchronization","2018-10-19 13:48:52",,6,"2010-03-03 06:36:16","P3","Windows XP","PC",0
445489,"Platform","Team","platform-team-inbox","UNCONFIRMED"," ---","TeamException: Could not instantiate provider","2018-10-01 04:14:53",,5,"2014-09-30 08:01:25","P3","All","All",0
179924,"Platform","Team","ymnk","ASSIGNED"," ---","[SSH2] SSH connection should respect ssh-agent in publickey authentication","2018-08-30 06:42:38",488321,116,"2007-03-29 03:24:55","P3","All","All",7
536498,"Platform","Team","ma.becker","REOPENED"," ---","Team UI error overlay icon different from package explorer/project explorer","2018-08-24 13:06:00",,23,"2018-06-29 10:56:12","P3","Mac OS X","PC",0
476065,"Platform","Team","platform-team-inbox","NEW"," ---","Allow to run team tests with tycho-surefire-plugin","2018-08-23 11:47:25",,17,"2015-08-27 12:32:17","P3","All","All",0
536656,"Platform","Team","platform-team-inbox","NEW"," ---","Eclipse Install for Photon is failing","2018-07-09 14:51:54",,2,"2018-07-03 13:12:40","P3","Linux","PC",0
536412,"Platform","Team","platform-team-inbox","NEW"," ---","Revisionnumber not updated after Update all incoming changes in Syncronize View","2018-06-28 07:10:04",,1,"2018-06-28 07:10:04","P3","Windows 10","PC",0
535790,"Platform","Team","platform-team-inbox","NEW"," ---","move modul ends in commit error","2018-06-12 04:50:08",,1,"2018-06-12 04:50:08","P3","Windows 10","PC",0
535194,"Platform","Team","platform-team-inbox","NEW"," ---","in team subclise plugin most DELETE FILE or DIR fails","2018-05-28 06:43:02",,1,"2018-05-28 06:43:02","P3","Windows 10","PC",0
532668,"Platform","Team","platform-team-inbox","NEW"," ---","Compare editor place lines erroneously with variable line height","2018-05-11 08:41:21",,4,"2018-03-20 11:21:37","P4","All","All",0
466788,"Platform","Team","platform-team-inbox","NEW"," ---","Clean up the layout in ComparePreferencePage","2018-05-10 13:48:04",,2,"2015-05-07 17:48:49","P3","Linux","PC",0
347558,"Platform","Team","platform-team-inbox","ASSIGNED"," ---","Investigate why SaveableCompareEditorInput.handleDispose() method is called multiple times","2018-05-10 13:35:01",,37,"2011-05-28 15:39:01","P2","All","All",5
330691,"Platform","Team","platform-team-inbox","NEW"," ---","[Net] Network Connections page displays ""Direct"" when ""Native"" is configured","2018-04-17 06:40:29",,15,"2010-11-19 12:57:00","P3","Mac OS X - Carbon (unsup.)","Macintosh",7
279471,"Platform","Team","platform-team-inbox","NEW"," ---","[Net] Can not understand proxy pac configuration","2018-03-22 20:20:19",,6,"2009-06-08 10:12:35","P3","Windows 2000","PC",5
532266,"Platform","Team","platform-team-inbox","NEW"," ---","not responding when share git project or when opening preference/team/git/configuration","2018-03-10 11:17:30",,2,"2018-03-10 05:34:16","P3","Windows 10","PC",0
345415,"Platform","Team","platform-team-inbox","NEW"," ---","Compare action from synchronize view does not make use of ModelProviders","2018-03-07 08:58:19",,4,"2011-05-11 09:04:29","P3","Windows 7","PC",0
531945,"Platform","Team","platform-team-inbox","NEW"," ---","Use of ICompareFilters causes inaccurate comparison offsets","2018-03-02 13:20:17",,2,"2018-03-02 13:18:48","P3","Windows 10","PC",0
530652,"Platform","Team","platform-team-inbox","NEW"," ---","bad layout of known hosts preference page","2018-02-05 19:17:29",,1,"2018-02-02 07:31:16","P3","Windows 10","PC",0
525895,"Platform","Team","Lars.Vogel","REOPENED"," ---","[Dark Theme] Preference page for Compare should use CTab folder to looks also good in the dark theme","2018-01-29 09:59:55",,7,"2017-10-11 15:40:48","P3","Linux","PC",0
528900,"Platform","Team","platform-team-inbox","NEW"," ---","Strange Maven behaviour when using Ant task","2017-12-18 10:47:28",,2,"2017-12-18 10:46:46","P3","Linux","PC",0
404714,"Platform","Team","platform-team-inbox","NEW"," ---","Inadequate SSH key strength","2017-12-06 08:57:27",,13,"2013-04-02 07:01:50","P3","Windows 7","PC",4
517035,"Platform","Team","platform-team-inbox","ASSIGNED"," ---","Invalid Thread Access due to ""Compute Launch Button Tooltip"" from ContextLaunch during StructuredCompare","2017-11-14 04:00:47",,8,"2017-05-21 14:50:35","P3","Linux","PC",0
519182,"Platform","Team","platform-team-inbox","ASSIGNED"," ---","Remove /* (non-Javadoc) or replace with @Override from platform team repository","2017-07-30 16:14:57",,1,"2017-07-04 13:25:29","P3","All","PC",0
