"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
541415,"Platform","Text","platform-text-inbox","REOPENED"," ---","[code mining] No code mining when using Ctrl+End","2018-11-27 05:35:43",529127,20,"2018-11-21 10:52:31","P3","All","All",0
541404,"Platform","Text","platform-text-inbox","NEW"," ---","[code mining] Editor scrolls and caret jumps on undo","2018-11-27 03:18:24",529127,13,"2018-11-21 09:55:23","P3","All","All",0
538262,"Platform","Text","angelo.zerr","NEW"," ---","[code mining] Headline annotations has painting problems when combined with highlight annotation","2018-11-23 15:38:41",,7,"2018-08-24 18:25:12","P3","Mac OS X","PC",0
540777,"Platform","Text","platform-text-inbox","NEW"," ---","[LTK] more general MoveRenameResourceChange and CreateFileChange opertations","2018-11-23 14:04:05",,6,"2018-11-05 03:54:34","P3","All","All",0
532359,"Platform","Text","platform-text-inbox","NEW"," ---","[code mining] Use a font from FontRegistry to draw code mining","2018-11-23 12:24:44",532326,15,"2018-03-12 13:24:48","P3","All","All",0
541441,"Platform","Text","platform-text-inbox","NEW"," ---","[code mining] Enabling code mining should indicate ""code mining"" progress in status bar","2018-11-23 12:12:53",529127,7,"2018-11-22 05:26:04","P3","All","All",0
508821,"Platform","Text","platform-text-inbox","NEW"," ---","[Content assist] More flexible API in IContentAssistProcessor to decide whether to auto-activate or not","2018-11-23 11:25:46",,5,"2016-12-07 08:07:47","P3","All","All",0
541487,"Platform","Text","platform-text-inbox","NEW"," ---","IContentAssistProcessor.computeContextInformation(...) still runs in UI-Thread even in async mode","2018-11-23 04:44:20",,1,"2018-11-23 03:43:21","P3","All","All",0
534325,"Platform","Text","mistria","REOPENED"," ---","Generic editor shows multiple ""toggle highlight"" buttons in toolbar","2018-11-22 16:53:41",528345,8,"2018-05-03 10:47:58","P3","All","All",0
535108,"Platform","Text","ma.becker","NEW"," ---","HTMLPrinter should not use deprecated HTML attributes","2018-11-22 09:21:10",,20,"2018-05-25 06:33:17","P3","All","All",0
532822,"Platform","Text","platform-text-inbox","NEW"," ---","[code mining] Drawing artifact (visible in the dark theme)","2018-11-21 14:35:24","539618, 539624",7,"2018-03-23 08:18:08","P3","All","All",0
