"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Number of Comments","Opened","Priority","OS","Hardware","Votes"
453379,"Platform","User Assistance","akurtakov","REOPENED"," ---","Make sure to precompile jsps with the same Jetty version","2018-11-28 10:04:59",442310,65,"2014-11-27 04:10:57","P2","Linux","PC",0
539304,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","cannot install from the installer -  ""Network Problem - The catalog could not be loaded. Please ensure that you have network access and, if needed, have configured your network proxy.""","2018-11-13 10:39:57",,2,"2018-09-20 18:53:03","P3","Windows 10","PC",0
540662,"Platform","User Assistance","Platform-UI-Inbox","NEW"," ---","[Tips] Unsubscribe from a Tip Provider","2018-11-07 09:14:47",,9,"2018-10-31 12:09:53","P3","Windows 10","PC",0
292064,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Help][Context] Dynamic Help shows proper context help only once, then falls back to Part context help","2018-10-23 13:14:45",,7,"2009-10-12 12:44:55","P3","Windows Vista","PC",0
176311,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Forms] FormColors creates colors even if not needed","2018-10-21 17:24:47",,4,"2007-03-04 11:04:52","P3","Windows XP","PC",0
538290,"Platform","User Assistance","wim.jongman","NEW"," ---","TVT48: Duplicated mnemonics are found in 'Tip of the day'","2018-10-18 11:03:49",,7,"2018-08-26 22:43:00","P3","Windows 7","PC",0
100312,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Help][Context] API isContextHelpDisplayed returns false even when the Help Window is open","2018-10-13 18:45:25",,14,"2005-06-15 17:15:21","P3","Windows XP","PC",0
67539,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Webapp] script error following Eclipse Javadoc links to JDK 1.4 javadoc","2018-10-13 13:38:00",,5,"2004-06-16 17:00:46","P3","Windows XP","PC",0
282833,"Platform","User Assistance","platform-ua-inbox","NEW"," ---","[Intro] bgImage for group does not work","2018-09-24 17:36:34",,2,"2009-07-08 08:28:42","P3","Windows XP","PC",0
539118,"Platform","User Assistance","wim.jongman","NEW"," ---","[tips] Initial ""Tip of the Day"" dialog layout broken","2018-09-16 12:23:00",,2,"2018-09-16 12:13:02","P3","Linux","PC",0
