"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1489032,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","Nigthly  64.0a1 (2018-09-05) (64-bit) hangs when activating URLbar","2018-10-10 07:44:12",,"2018-09-05 23:47:55","Windows 7",2,,,,0,"Client Software"," --",,"64 Branch",0,1,
1491318,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","firefox freezes/lockups in the location bar and experiences graphical glitches","2018-10-19 02:56:46",,"2018-09-14 07:24:33","Linux",3,,,,0,"Client Software"," --",,"61 Branch",0,3,
1491319,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","libxul.so related segfaults when firefox is killed during #1491318","2018-10-24 11:03:33",1491318,"2018-09-14 07:29:15","Linux",7,,,,0,"Client Software"," --",,"61 Branch",1,3,
1497072,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","Firefox sometimes won't throw suggestions while writing into adress bar on a slow I/O USB device","2018-10-12 19:32:02",,"2018-10-07 10:54:36","Unspecified",10,,,,0,"Client Software"," --",,"62 Branch",0,6,
1499540,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","the bar where you type url and quick search does not work as intended","2018-11-09 13:19:17",,"2018-10-16 14:38:14","Unspecified",11,,,,0,"Client Software"," --",,"62 Branch",1,3,
1501945,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","Clear history does not work properly on 62.X and 63.X","2018-10-25 02:18:22",,"2018-10-25 01:29:57","Unspecified",2,,,,0,"Client Software"," --",,"63 Branch",0,2,
1506316,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","Firefox AwesomeBar search keywords are uglier than Chrome Omnibar search keywords","2018-11-09 22:02:34",,"2018-11-09 18:24:56","Unspecified",1,,,,0,"Client Software"," --",,"64 Branch",0,1,
1506453,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","provide an address bar autocomplete helper","2018-11-11 06:29:36",,"2018-11-11 06:29:07","All",1,,,,0,"Client Software"," --",,"Trunk",0,0,
1324784,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","Address bar spoof by drag and dropping invalid URL","2016-12-22 10:25:07",,"2016-12-20 06:54:44","Unspecified",8,,,,0,"Client Software","P3",,"52 Branch",0,2,
1380049,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","URL bar autofill/autocomplete result sometimes conflicts with top Awesomebar match","2017-09-15 02:20:30",,"2017-07-11 09:48:05","Unspecified",1,,,,0,"Client Software","P3",,"54 Branch",0,2,
1391686,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","Entering international domain name in address bar doesn't load the site but instead google searches it","2018-02-03 01:42:59",,"2017-08-18 09:09:07","Unspecified",3,,,,0,"Client Software","P3",,"57 Branch",0,3,
1427535,"Firefox","Address Bar","nobody","UNCONFIRMED"," ---","Address bar/Location bar/urlbar drops first few letters when typing immediately after opening a new tab with a custom new-tab URL","2018-08-31 14:55:41",,"2018-01-01 07:13:49","Mac OS X",8,,,,0,"Client Software","P3",,"57 Branch",1,3,
