"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
399646,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","Tabs do not resize when using large font, high contrast themes","2011-05-14 13:33:48",,"2007-10-12 15:24:49","Linux",2,,,,0,"Client Software"," --",,"3.0 Branch",1,1,
405113,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","For all secured sites( a bank, or ebay or verisign or google when there is something per.»« Authsonnal) a window appears saying: «XYZ received a message with an authentification code of incorrect message","2017-01-30 09:12:10",,"2007-11-23 06:58:46","Windows Vista",1,,,,0,"Client Software"," --",,"2.0 Branch",1,2,
408171,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","need PERSISTANT handicapped reading  mode: MULTI FUNCTION WITH USER PRESETS OPTIONS PAGE","2017-01-03 20:14:16",,"2007-12-13 03:20:30","Windows 98",9,,,,0,"Client Software"," --",,"unspecified",0,5,
451410,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","Mouse doesn't work in popup window if the background is a map. It works fine in firefox2.0.0.16.","2011-02-22 14:50:55",,"2008-08-20 10:32:51","All",3,,,,0,"Client Software"," --",,"unspecified",0,1,
465361,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","incremental link search should prioritize visible links","2013-03-19 17:34:12",,"2008-11-17 09:52:00","All",3,,,,0,"Client Software"," --",,"unspecified",1,2,
470158,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","Alert accessible event should not be fired for bookmark page dialog","2011-05-14 22:02:48",,"2008-12-17 19:09:19","Windows XP",3,,,,0,"Client Software"," --",,"3.5 Branch",0,5,
471231,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","Need font size-changing for hi-res displays","2011-03-06 20:30:38",,"2008-12-26 18:33:24","Windows XP",3,,,,0,"Client Software"," --",,"3.0 Branch",1,0,
471441,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","Accessibility cannot grab F11 key","2011-11-10 08:38:02",,"2008-12-29 11:59:28","Linux",2,,,,0,"Client Software"," --",,"unspecified",0,1,
490334,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","Cups instances disappear in Print dialog","2015-09-18 02:45:35",,"2009-04-27 11:24:09","Linux",3,,,,0,"Client Software"," --",,"7 Branch",0,2,
495721,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","View>Page Style>No Style shouldn't mess with table borders","2009-05-31 18:32:53",,"2009-05-31 18:32:53","All",1,,,,0,"Client Software"," --",,"unspecified",0,0,
540155,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","make dpi settings more convenient, don't use interpolation to scale icons","2011-02-12 22:13:40",,"2010-01-16 05:00:38","Windows 7",4,,,,0,"Client Software"," --",,"3.6 Branch",0,1,
558282,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","Floating un-ordered list boxes do not correctly implement Microsoft Active Accessibility","2011-02-12 22:11:50",,"2010-04-09 02:36:21","Windows 7",2,,,,0,"Client Software"," --",,"3.6 Branch",0,1,
572291,"Firefox","Disability Access","nobody","UNCONFIRMED"," ---","Double Numbers Displayed on Webpage in Speech Recognition","2010-09-23 14:40:33",,"2010-06-15 22:35:33","Windows 7",2,,,,0,"Client Software"," --",,"unspecified",0,2,
