"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1466065,"Firefox","Enterprise Policies","nobody","UNCONFIRMED"," ---","add supp. parameters with windows gpo","2018-06-27 23:55:38",,"2018-06-01 02:07:57","Unspecified",3,,,,0,"Client Software"," --",,"60 Branch",0,2,
1499894,"Firefox","Enterprise Policies","nobody","UNCONFIRMED"," ---","Not able to install certificates for firefox on Ubuntu 18 and Ubuntu 16","2018-11-02 06:41:28",,"2018-10-17 15:38:28","Unspecified",1,,,,0,"Client Software"," --",,"62 Branch",0,3,
1501367,"Firefox","Enterprise Policies","nobody","UNCONFIRMED"," ---","Create new Group Policy to disable VPN advertising (and other advertising)","2018-10-23 11:56:22",,"2018-10-23 10:37:11","All",1,,,,0,"Client Software"," --",,"65 Branch",0,1,
1501543,"Firefox","Enterprise Policies","nobody","UNCONFIRMED"," ---","Misleading message when DisableAppUpdate is true but the system administrator updates Firefox in place","2018-11-01 15:37:15",,"2018-10-23 21:20:41","Unspecified",6,,,,0,"Client Software"," --",,"64 Branch",0,1,
1503878,"Firefox","Enterprise Policies","nobody","UNCONFIRMED"," ---","Feature Request: Logging Information On Extensions Installed","2018-11-01 11:34:11",,"2018-11-01 07:18:23","Unspecified",2,,,,0,"Client Software"," --",,"62 Branch",0,2,
1490135,"Firefox","Enterprise Policies","nobody","UNCONFIRMED"," ---","Extension Locked by GPO isn't being updated if local file changes","2018-10-29 23:32:47",,"2018-09-10 14:36:54","Unspecified",4,,,,0,"Client Software","P3",,"62 Branch",1,3,
1465942,"Firefox","Enterprise Policies","nobody","NEW"," ---","[meta] about:policies tracking bug","2018-10-30 06:14:05","1452533, 1465950, 1465952, 1465953, 1476734, 1483431, 1483658, 1485109, 1485193, 1485195, 1485196, 1485200, 1485636, 1487557, 1488229, 1488241, 1488398, 1488411, 1491268, 1494007, 1494598, 1495056, 1497928, 1497934, 1501954","2018-05-31 12:49:37","Unspecified",1,,,,0,"Client Software"," --",,"Trunk",0,2,
1498745,"Firefox","Enterprise Policies","nobody","NEW"," ---","InstallAddonsPremission does not respect the specified ""Allow"" pages","2018-11-03 09:46:05",,"2018-10-12 17:26:23","Mac OS X",6,,,,0,"Client Software"," --",,"64 Branch",0,2,
1502188,"Firefox","Enterprise Policies","nobody","NEW"," ---","policies.json being removed on Browser updates","2018-10-26 08:20:47",,"2018-10-25 14:05:28","Unspecified",8,,,,1,"Client Software"," --",,"unspecified",0,3,
1505518,"Firefox","Enterprise Policies","nobody","NEW"," ---","Add support for browser.cache.disk.max_entry_size and browser.cache.disk.capacity for Oracle","2018-11-07 11:01:31",,"2018-11-07 11:01:31","Unspecified",1,,,,0,"Client Software"," --",,"Trunk",0,0,
