"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1412055,"Firefox","Headless","nobody","UNCONFIRMED"," ---","wish: add --host flag (or custom headers) in headless mode","2018-02-01 07:21:18",,"2017-10-26 11:14:27","Unspecified",2,,,,0,"Client Software"," --",,"57 Branch",0,2,
1420704,"Firefox","Headless","nobody","UNCONFIRMED"," ---","headless Firefox in Docker Container without root fails to start","2018-02-01 10:55:36",,"2017-11-26 04:17:22","Unspecified",3,,,,0,"Client Software"," --",,"57 Branch",0,3,
1459669,"Firefox","Headless","nobody","UNCONFIRMED"," ---","Javascript Karma testing Firefox-Headless on Fedora28 - likely reason - Jump to an invalid address","2018-06-19 16:39:30",,"2018-05-07 10:11:44","Unspecified",2,,,,0,"Client Software"," --",,"59 Branch",0,0,
1463690,"Firefox","Headless","nobody","UNCONFIRMED"," ---","firefox headless browser providing screenshot in png format only, even for other formats like jpg and bmp also.","2018-11-11 12:10:15",,"2018-05-23 03:30:39","Unspecified",4,,,,0,"Client Software"," --",,"unspecified",0,3,
1478975,"Firefox","Headless","nobody","UNCONFIRMED"," ---","Headless mode in Firefox 61 (64 bit) does not work","2018-07-28 07:42:11",,"2018-07-27 06:01:17","Windows 7",1,,,,0,"Client Software"," --",,"61 Branch",0,0,
1483793,"Firefox","Headless","nobody","UNCONFIRMED"," ---","Firefox Developer Edition 62.0b17 (64-bit) breaks Karma frontend test runner","2018-08-22 02:53:59",,"2018-08-16 02:00:54","Unspecified",5,,,,0,"Client Software"," --",,"62 Branch",0,2,
1497100,"Firefox","Headless","nobody","UNCONFIRMED"," ---","Screenshot of root element taken with Marionette is cropped to visible viewport","2018-10-15 05:37:51",,"2018-10-07 17:13:07","Unspecified",4,,,,0,"Client Software"," --",,"62 Branch",0,2,
1375585,"Firefox","Headless","nobody","UNCONFIRMED"," ---","Support WebGL in headless mode","2018-09-10 08:59:54",,"2017-06-22 10:48:45","Unspecified",3,,,,0,"Client Software","P3",,"Trunk",0,7,
1387585,"Firefox","Headless","nobody","UNCONFIRMED"," ---","Add ability to set initial size on Windowless Browser","2018-04-23 08:04:12",,"2017-08-04 13:22:52","Unspecified",1,,,,0,"Client Software","P3",,"unspecified",0,2,
1396221,"Firefox","Headless","nobody","UNCONFIRMED"," ---","Allow insecure localhost certificates for headless testing","2017-09-18 14:34:29",,"2017-09-02 04:15:28","Unspecified",1,,,,0,"Client Software","P3",,"55 Branch",0,1,
1407238,"Firefox","Headless","nobody","UNCONFIRMED"," ---","Cli argument for print page or generate pdf command in Firefox headless mode","2018-08-25 05:08:47",,"2017-10-10 06:53:36","Unspecified",5,,,,0,"Client Software","P3",,"57 Branch",5,6,
1411997,"Firefox","Headless","nobody","UNCONFIRMED"," ---","Add support for CSS selector to --screenshot flag in headless mode","2018-01-29 11:09:59",,"2017-10-26 08:18:01","Unspecified",2,,,,0,"Client Software","P3",,"unspecified",0,2,
