"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
840908,"Firefox","Migration","nobody","UNCONFIRMED"," ---","import of favorites from IExplores only brings in the first folder","2013-02-18 03:03:19",,"2013-02-13 01:06:19","Windows 7",6,,,,0,"Client Software"," --",,"18 Branch",0,2,
1202922,"Firefox","Migration","nobody","UNCONFIRMED"," ---","Importing Safari Accessibility settings - minimum font size","2018-05-02 11:16:41",,"2015-09-08 17:10:46","Mac OS X",5,,,,0,"Client Software"," --",,"40 Branch",0,1,
1351171,"Firefox","Migration","nobody","UNCONFIRMED"," ---","Following Firefox Refresh, login info doesn't appear. FF restart is needed.","2017-03-28 09:22:49",,"2017-03-27 20:53:47","Unspecified",3,,,,0,"Client Software"," --",,"Trunk",0,1,
1362369,"Firefox","Migration","nobody","UNCONFIRMED"," ---","firefox doesn't ask to import bookmarks on first run","2017-12-07 00:30:03",,"2017-05-05 05:05:22","Unspecified",3,,,,0,"Client Software"," --",,"55 Branch",0,0,
1372204,"Firefox","Migration","nobody","UNCONFIRMED"," ---","Import from Chrome incorrectly handles non-ASCII characters in login and password","2017-12-14 08:09:24",,"2017-06-12 05:53:02","Unspecified",3,,,,0,"Client Software","P2",,"53 Branch",0,1,
1425231,"Firefox","Migration","nobody","UNCONFIRMED"," ---","imported bookmark from google chrome disappear after restart Firefox;workaround found","2018-04-13 15:41:09",,"2017-12-14 06:47:04","Unspecified",4,,,,0,"Client Software","P3",,"57 Branch",0,2,
764761,"Firefox","Migration","asaf","NEW"," ---","Cleanup migration start-up path","2012-06-14 03:54:26",,"2012-06-14 03:53:50","All",1,,,,0,"Client Software"," --",,"unspecified",0,0,
706017,"Firefox","Migration","m_kato","NEW"," ---","test harness for Google Chrome migration","2015-10-31 17:35:44",,"2011-11-29 01:09:50","All",6,,,,0,"Client Software"," --",,"Trunk",0,9,
707601,"Firefox","Migration","m_kato","NEW"," ---","Rewrite Opera profile migration in js","2017-08-10 13:58:04","539133, 718608","2011-12-04 20:43:22","All",10,,,,4,"Client Software"," --",,"Trunk",2,14,
270045,"Firefox","Migration","nobody","NEW"," ---","IE cookie import assumes domain cookies, leading to duplicates","2015-05-07 00:06:11",,"2004-11-15 13:29:00","All",15,"2005-10-13 17:16:08",,,1,"Client Software"," --",,"Trunk",2,5,
313797,"Firefox","Migration","nobody","NEW"," ---","Start Page confirmation should provide confirmation after setting has been imported","2011-08-05 21:26:10",,"2005-10-25 13:44:35","Mac OS X",1,,,,0,"Client Software"," --",,"1.5.0.x Branch",2,3,
326701,"Firefox","Migration","nobody","NEW"," ---","Import from Safari does not import favicons","2012-05-08 08:48:57",,"2006-02-10 11:35:59","Mac OS X",4,,,,0,"Client Software"," --",,"Trunk",0,7,
330539,"Firefox","Migration","nobody","NEW"," ---","import sequence should indicate to user when user is committing to import","2012-04-24 16:07:49",,"2006-03-14 22:59:51","All",2,,,,0,"Client Software"," --",,"unspecified",0,2,
363488,"Firefox","Migration","nobody","NEW"," ---","saved form history not imported from safari","2012-04-15 06:47:06",344284,"2006-12-11 13:16:22","Mac OS X",3,,,,0,"Client Software"," --",,"Trunk",0,8,
405217,"Firefox","Migration","nobody","NEW"," ---","when migrating from IE, don't import default IE bookmarks if we can determine that the user hasn't used IE (or IE's bookmarks?)","2011-04-07 13:13:21",,"2007-11-24 08:13:52","Windows XP",1,,,,0,"Client Software"," --",,"Trunk",1,2,
