"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
461145,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","show more information about loaded javascript and stylesheets","2011-10-02 02:53:29",,"2008-10-22 05:56:22","Windows XP",5,,,,0,"Client Software"," --",,"unspecified",0,1,
582670,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","There should be an option under Page Info/Permissions to block JavaScript for that particular domain.","2011-10-01 03:21:26",,"2010-07-28 11:01:26","Linux",2,,,,0,"Client Software"," --",,"unspecified",1,1,
603904,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","Page Info counts meta tags in xml document but doesn't show them","2012-01-05 16:48:18",,"2010-10-13 02:48:06","All",2,,,,0,"Client Software"," --",,"Trunk",0,0,
630831,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","Page Info ▸ Security ▸ View Cookies shows cookies from other sites within same 2nd level domain","2012-03-25 13:07:51",,"2011-02-02 03:52:45","Linux",4,"2012-03-17 04:50:40",,,0,"Client Software"," --",,"Trunk",0,0,
635887,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","cookies list about 1st lvl domains, not about 2nd lvl doms","2011-02-28 03:46:09",,"2011-02-22 06:28:59","Windows XP",3,,,,0,"Client Software"," --",,"3.6 Branch",0,1,
746436,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","Add Internet Protocol version (IPv4 or IPv6) to Page Info","2012-04-17 20:21:18",,"2012-04-17 19:16:41","All",2,,,,0,"Client Software"," --",,"unspecified",1,1,
808356,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","A quick access to media download is required","2012-11-06 04:27:07",,"2012-11-03 20:24:28","Windows 7",1,,,,0,"Client Software"," --",,"16 Branch",0,1,
881472,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","Address/Type scrollable grid is rendering during load of view image info, which looks sloppy","2013-08-14 16:49:21",,"2013-06-10 14:19:43","Mac OS X",6,,,,0,"Client Software"," --",,"24 Branch",0,1,
1119880,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","More Black Screen","2015-01-09 10:18:30",,"2015-01-09 10:18:30","Windows 7",1,,,,0,"Client Software"," --",,"34 Branch",0,0,
1135549,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","HTML5 audio not showing in Page Info","2015-03-16 10:08:27",,"2015-02-22 18:46:26","Linux",1,,,,0,"Client Software"," --",,"36 Branch",0,1,
1149963,"Firefox","Page Info Window","nobody","UNCONFIRMED"," ---","Technical Details of Page Info missing encryption type","2015-04-15 17:18:54",,"2015-04-01 05:03:05","Windows 7",6,,,,0,"Client Software"," --",,"37 Branch",0,1,
