"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1382041,"Firefox","Screenshots","jhirsch","NEW"," ---","screenshots needs a unit test to ensure that auto-upgrade works","2017-09-25 17:24:30",,"2017-07-18 16:28:23","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,1,
1432830,"Firefox","Screenshots","nobody","NEW"," ---","Move preferences to about:preferences page","2018-01-25 00:34:22",,"2018-01-24 08:23:16","Unspecified",2,,,,0,"Client Software"," --",,"unspecified",0,4,
1477550,"Firefox","Screenshots","nobody","NEW"," ---","Automation quit from Marionette causes JavaScript error: resource://gre/modules/AsyncShutdown.jsm, line 683: Error: Phase ""profile-before-change"" is finished, it is too late to register completion condition ""Flush WebExtension StartupCache""","2018-07-31 11:55:59",1422437,"2018-07-22 06:35:41","All",3,,,,0,"Client Software"," --",,"unspecified",0,2,
1483609,"Firefox","Screenshots","nobody","NEW"," ---","Allow Screenshots webextension to add an item to the Library menu","2018-09-12 14:53:40",1366389,"2018-08-15 10:01:30","Unspecified",2,,,,0,"Client Software"," --",,"unspecified",2,0,
1483620,"Firefox","Screenshots","nobody","NEW"," ---","Reader mode support broken by move to webextension page action","2018-09-14 08:45:53",,"2018-08-15 10:54:50","Unspecified",2,,,,0,"Client Software"," --",,"unspecified",1,1,
1489635,"Firefox","Screenshots","nobody","NEW"," ---","Can't screenshot internal network error pages","2018-10-10 17:00:57",,"2018-09-07 13:20:46","Unspecified",3,,,,2,"Client Software"," --",,"unspecified",0,4,
1492344,"Firefox","Screenshots","nobody","NEW"," ---","Screenshots can't handle threads on Twitter","2018-09-18 20:18:45",,"2018-09-18 20:18:45","Linux",1,,,,0,"Client Software"," --",,"Trunk",0,0,
1498411,"Firefox","Screenshots","nobody","NEW"," ---","copied to clipboard notification has black box next to description","2018-10-11 15:47:21",,"2018-10-11 15:47:21","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1498738,"Firefox","Screenshots","nobody","NEW"," ---","Enable Screenshots for mozilla-central tests","2018-10-12 15:48:17",,"2018-10-12 15:48:17","Unspecified",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1503057,"Firefox","Screenshots","nobody","NEW"," ---","Screenshots website link in Library when uploads are disabled","2018-11-06 09:58:27",,"2018-10-29 16:31:08","All",4,,,,0,"Client Software"," --",,"Trunk",0,3,
1504480,"Firefox","Screenshots","nobody","NEW"," ---","Invalid host permission on resource://pdf.js/ and about:reader* when starting Firefox","2018-11-06 12:14:27",,"2018-11-03 17:14:30","Mac OS X",3,,,,0,"Client Software"," --",,"unspecified",0,2,
1414673,"Firefox","Screenshots","jhirsch","NEW"," ---","Intermittent browser/extensions/screenshots/test/browser/browser_screenshots_ui_check.js | leaked 1 docShell(s) until shutdown","2018-04-01 18:22:29",,"2017-11-05 13:16:05","Unspecified",9,,,,0,"Client Software","P5",,"unspecified",0,5,
1377122,"Firefox","Screenshots","nobody","NEW"," ---","browser_all_files_referenced.js reports all screenshot files on local builds","2018-01-03 10:46:42",,"2017-06-29 08:04:36","Unspecified",4,,,,0,"Client Software","P5",,"unspecified",0,3,
1394967,"Firefox","Screenshots","nobody","NEW"," ---","Intermittent browser_screenshots_ui_check.js | leaked 1 window(s) until shutdown [url = _generated_background_page.html]","2018-10-01 10:36:25",,"2017-08-29 15:28:44","Unspecified",29,,,,0,"Client Software","P5",,"unspecified",0,6,
1430963,"Firefox","Screenshots","bchen","ASSIGNED"," ---","It is not clear to users that refreshing Firefox will cause their uploaded screenshots to be lost","2018-03-12 13:24:00",,"2018-01-16 18:47:09","Unspecified",6,,,,0,"Client Software"," --",,"Trunk",0,6,
