"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
319401,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Mouse click lost when clicking on an out-of-focus Firefox/Thunderbird","2015-11-06 19:05:39",,"2005-12-07 00:44:39","Mac OS X",2,,,,0,"Client Software"," --",,"1.5.0.x Branch",0,2,
336107,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Missing out-of-memory check at browser/components/shell/src/nsGNOMEShellService.cpp:523","2016-03-26 08:39:51",,"2006-05-01 05:42:18","Linux",2,,,,0,"Client Software"," --",,"unspecified",1,4,
356076,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Debugging with Xcode on OSX fails to break into Plugin code with Firefox","2011-06-06 19:30:23",,"2006-10-09 16:28:55","Mac OS X",2,,,,0,"Client Software"," --",,"2.0 Branch",1,1,
366707,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Firefox not honoring TypeIt4Me Input setting","2009-11-25 19:58:57",,"2007-01-11 10:09:07","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",1,1,
396815,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Each time I double-click a URL shortcut on my desktop, Firefox loads the URL, but the following message pops up - ""Windows cannot find [add any web url here]. Make sure you typed the name correctly, and then try it again. To search for a file, click the S","2013-03-05 10:58:58",,"2007-09-19 16:55:01","Windows XP",10,,,,1,"Client Software"," --",,"3.6 Branch",3,6,
402394,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","gtk drag and drop does not contain a jpg image when dragging to external gtk application","2011-06-15 05:35:15",,"2007-11-03 19:50:51","Linux",1,,,,0,"Client Software"," --",,"3.0 Branch",1,2,
402935,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","randomly opens external program for viewing source","2013-09-28 23:01:00",,"2007-11-07 14:51:50","Linux",7,,,,0,"Client Software"," --",,"12 Branch",1,6,
404657,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","URL drag and drop from other applications opens incorrect URL","2011-06-06 19:37:02",,"2007-11-20 15:43:47","Mac OS X",3,,,,0,"Client Software"," --",,"3.0 Branch",1,1,
405457,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Letter Ⅱ (u+2161: roman numeral two) is displayed as letter 「 (u+300C: left corner bracket).","2011-04-02 01:34:57",,"2007-11-26 09:54:14","Mac OS X",3,,,,0,"Client Software"," --",,"unspecified",1,0,
406958,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","incorrect permissions for restricted accounts","2011-11-28 10:44:54",,"2007-12-05 03:23:00","Mac OS X",3,,,,0,"Client Software"," --",,"2.0 Branch",1,2,
409877,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Link focus outline (1px dotted) is ugly and out-of-place on GTK","2008-02-18 14:42:21",,"2007-12-26 11:54:08","Linux",11,,,,0,"Client Software"," --",,"unspecified",0,2,
410390,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Short of 2 or 3 pix in height for native tab","2011-06-06 19:41:38",,"2008-01-01 02:54:30","Linux",2,,,,0,"Client Software"," --",,"3.0 Branch",1,1,
411043,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","nsWindowsShellService::OpenApplication should fall back to HKEY_LOCALE_MACHINE should HKEY_CURRENT_USER fail","2011-03-06 21:04:08",324361,"2008-01-06 13:14:04","Windows XP",2,,,,0,"Client Software"," --",,"2.0 Branch",2,1,
412777,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Firefox and Firefox Options disappear from the Mac OS-X Print Dialog Box.","2012-05-25 09:02:06",,"2008-01-17 06:56:19","Mac OS X",9,,,,0,"Client Software"," --",,"unspecified",1,4,
412938,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","Tab widget rendering issues with different themes","2011-06-06 19:42:45",,"2008-01-18 05:13:22","Linux",4,,,,0,"Client Software"," --",,"3.0 Branch",0,1,
413142,"Firefox","Shell Integration","nobody","UNCONFIRMED"," ---","view certificate window uses wrong icon for its close button","2011-06-06 19:42:50",,"2008-01-19 09:55:55","Linux",2,,,,0,"Client Software"," --",,"3.0 Branch",0,1,
