"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1114911,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Feature Request: Keyboard shortcut for share button.","2015-08-06 06:50:56",,"2014-12-23 01:11:15","All",12,,,,0,"Client Software"," --",,"36 Branch",1,8,
1173043,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Plus button in Share this page not working","2015-06-10 07:51:31",,"2015-06-09 11:11:50","Unspecified",3,,,,0,"Client Software"," --",,"38 Branch",0,1,
1190828,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Social API service installation not working","2015-08-08 06:15:55",,"2015-08-04 06:16:55","Unspecified",5,,,,0,"Client Software"," --",,"39 Branch",0,3,
1196396,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Add support for Google Keep in ""Share this page""","2017-12-05 06:54:09",,"2015-08-19 12:19:01","All",2,,,,0,"Client Software"," --",,"40 Branch",0,2,
1224157,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Twitter ‘characters remaining’ count wrong for http: links","2016-07-29 08:36:20",,"2015-11-12 03:23:09","Unspecified",1,,,,0,"Client Software"," --",,"43 Branch",0,2,
1240608,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Sharing a page : the window showing all the sharing icons is cut","2016-01-25 05:59:30",,"2016-01-18 13:16:05","Linux",7,,,,0,"Client Software"," --",,"43 Branch",0,3,
1259814,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Firefox Share window disappears","2016-03-25 12:30:23",,"2016-03-25 12:29:00","Unspecified",1,,,,0,"Client Software"," --",,"45 Branch",1,0,
1265152,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Social API - text parameter for shareURL doesn't work","2017-05-25 09:00:39",,"2016-04-16 04:53:08","Unspecified",4,,,,0,"Client Software"," --",,"45 Branch",0,5,
1271624,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Add QR code integration into Firefox Share","2016-05-10 06:12:10",,"2016-05-10 06:03:48","Unspecified",1,,,,0,"Client Software"," --",,"46 Branch",1,1,
1346743,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Clicking on 'view more' in the share page causes Firefox to hang","2018-05-17 17:10:44",,"2017-03-13 04:29:45","Mac OS X",2,,,,0,"Client Software"," --",,"51 Branch",0,2,
1462222,"Firefox","SocialAPI","nobody","UNCONFIRMED"," ---","Facebook auth popups stay blank - Goodreads and Patreon","2018-05-22 13:04:20",,"2018-05-16 20:31:52","Mac OS X",5,,,,0,"Client Software"," --",,"59 Branch",0,4,
771353,"Firefox","SocialAPI","nobody","NEW"," ---","Security documentation for Social Integration providers","2012-07-11 17:52:25",,"2012-07-05 15:07:51","Mac OS X",2,,,,1,"Client Software"," --",,"unspecified",0,6,
798674,"Firefox","SocialAPI","nobody","NEW"," ---","social auto-resize mutation observer living too long?","2012-10-05 18:59:04",,"2012-10-05 18:11:34","All",1,,,,0,"Client Software"," --",,"unspecified",0,2,
798754,"Firefox","SocialAPI","nobody","NEW"," ---","NoScript does not interact well with the SocialAPI","2012-10-06 01:29:40",,"2012-10-06 01:17:16","All",2,,,,0,"Client Software"," --",,"unspecified",0,1,
800189,"Firefox","SocialAPI","nobody","NEW"," ---","inconsistent state between two windows with social enabled","2012-11-22 13:33:24",,"2012-10-10 16:48:01","Mac OS X",4,,,,0,"Client Software"," --",,"unspecified",0,2,
806325,"Firefox","SocialAPI","nobody","NEW"," ---","allow opening link by a provider to reuse and activate a tab.","2013-06-26 04:40:23",,"2012-10-29 03:42:04","Linux",15,,,,0,"Client Software"," --",,"19 Branch",0,4,
807192,"Firefox","SocialAPI","nobody","NEW"," ---","hidpi support for share button/ambient notifications/chat icons","2014-03-17 10:49:19",,"2012-10-30 18:27:21","Mac OS X",7,,,,1,"Client Software"," --",,"Trunk",0,4,
807281,"Firefox","SocialAPI","nobody","NEW"," ---","a way to notify the social provider of changes from the main window","2013-03-01 12:40:56",,"2012-10-31 05:41:29","Linux",4,,,,0,"Client Software"," --",,"19 Branch",0,3,
808641,"Firefox","SocialAPI","nobody","NEW"," ---","Registering an nsIContentPolicy implementation causes error ""this.docShell is null"" in the ""browser.xml"" binding","2014-03-20 16:01:27",,"2012-11-05 09:42:43","All",10,,,,1,"Client Software"," --",,"Trunk",6,13,
811502,"Firefox","SocialAPI","nobody","NEW"," ---","Can't open links using middle click","2013-02-12 16:36:25",,"2012-11-13 15:07:35","All",2,,,,0,"Client Software"," --",,"Trunk",0,1,
843957,"Firefox","SocialAPI","nobody","NEW"," ---","No mechanism for zooming/changing font size in Social sidebar/popups","2014-01-15 10:30:07",,"2013-02-21 21:01:44","Windows 8",2,,,,1,"Client Software"," --",,"unspecified",1,1,
848032,"Firefox","SocialAPI","nobody","NEW"," ---","move more social css into shared css","2016-09-22 13:43:21",,"2013-03-05 11:02:22","Mac OS X",5,,,,0,"Client Software"," --",,"unspecified",0,2,
856741,"Firefox","SocialAPI","nobody","NEW"," ---","should persist non-data url images","2013-04-01 11:42:35",,"2013-04-01 11:42:35","Mac OS X",1,,,,0,"Client Software"," --",,"unspecified",0,0,
877664,"Firefox","SocialAPI","nobody","NEW"," ---","Popup notifications are blocking a small area of the buttons","2013-05-30 13:22:57",,"2013-05-30 07:48:11","Linux",1,,,,0,"Client Software"," --",,"Trunk",0,1,
881527,"Firefox","SocialAPI","nobody","NEW"," ---","privacy comments for ""more info"" page","2013-06-10 16:16:49",870089,"2013-06-10 16:12:37","Mac OS X",2,,,,0,"Client Software"," --",,"23 Branch",0,1,
882812,"Firefox","SocialAPI","nobody","NEW"," ---","Learn More link in Addons Manager :: Services should display SUMO article","2015-04-22 06:57:33",,"2013-06-13 11:08:08","All",1,,,,0,"Client Software"," --",,"22 Branch",0,2,
910738,"Firefox","SocialAPI","nobody","NEW"," ---","error handler prevents appcache offline support","2013-08-29 08:53:29",,"2013-08-29 08:53:29","Mac OS X",1,,,,0,"Client Software"," --",,"26 Branch",0,0,
914923,"Firefox","SocialAPI","nobody","NEW"," ---","handle recover from crash error page","2015-05-22 04:56:37",,"2013-09-10 17:15:41","Mac OS X",1,,,,0,"Client Software"," --",,"26 Branch",0,0,
915546,"Firefox","SocialAPI","nobody","NEW"," ---","[meta] e10s support for Social","2016-04-01 06:30:33","915547, 1053963, 1053965, 1053967, 1053969, 1053971, 1053973, 1053974, 1072669, 1074553, 1122168, 1162322, 1164979, 1165046, 1261350","2013-09-12 01:02:03","All",4,,,,0,"Client Software"," --",,"Trunk",4,10,
932236,"Firefox","SocialAPI","nobody","NEW"," ---","email link vs. share","2014-11-27 06:29:18",,"2013-10-29 04:42:02","Mac OS X",2,,,,0,"Client Software"," --",,"26 Branch",2,4,
953431,"Firefox","SocialAPI","nobody","NEW"," ---","canonical url may not be the best url to use for share","2014-01-06 14:30:16",,"2013-12-29 14:31:06","All",4,,,,0,"Client Software"," --",,"unspecified",0,2,
962598,"Firefox","SocialAPI","nobody","NEW"," ---","running mochitest browser-chrome with a single directory browser/base/content/test/social yields timeouts","2014-01-27 09:37:51",,"2014-01-22 07:20:19","Linux",1,,,,0,"Client Software"," --",,"Trunk",0,8,
980473,"Firefox","SocialAPI","nobody","NEW"," ---","[FR] manage all browser notifications","2014-03-06 11:12:10",,"2014-03-06 11:10:59","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,1,
999865,"Firefox","SocialAPI","nobody","NEW"," ---","ui indication of changes after activation of new providers","2017-03-15 13:46:01",1000331,"2014-04-22 18:53:02","All",14,,,,0,"Client Software"," --",,"Trunk",1,5,
1000331,"Firefox","SocialAPI","nobody","NEW"," ---","update text in activation panel","2017-03-15 13:45:38",,"2014-04-23 10:22:30","Mac OS X",3,,,,0,"Client Software"," --",,"Trunk",1,2,
1000347,"Firefox","SocialAPI","nobody","NEW"," ---","update learn more page","2014-04-23 10:39:48",,"2014-04-23 10:36:53","Mac OS X",2,,,,0,"Client Software"," --",,"Trunk",0,0,
1015952,"Firefox","SocialAPI","nobody","NEW"," ---","Social tests don't wait for the popup to close","2014-08-05 11:09:20",,"2014-05-26 06:27:03","Mac OS X",4,,,,0,"Client Software"," --",,"unspecified",0,2,
1030317,"Firefox","SocialAPI","nobody","NEW"," ---","refactor share button code to use CUI widget","2014-06-25 13:24:33",,"2014-06-25 13:24:33","Mac OS X",1,,,,0,"Client Software"," --",,"Trunk",0,0,
1035566,"Firefox","SocialAPI","nobody","NEW"," ---","Don't re-prompt to enable services if services are enabled","2014-07-07 17:49:08",,"2014-07-07 17:49:08","All",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1035835,"Firefox","SocialAPI","nobody","NEW"," ---","panel resizing seems to stop working after opening several windows","2014-07-08 09:38:19",,"2014-07-08 07:29:18","All",2,,,,0,"Client Software"," --",,"31 Branch",0,1,
1072669,"Firefox","SocialAPI","nobody","NEW"," ---","[e10s] share/marks target element sharing fails","2014-09-25 14:53:05",1039528,"2014-09-24 16:40:31","Mac OS X",1,,,,0,"Client Software"," --",,"32 Branch",0,1,
1074553,"Firefox","SocialAPI","nobody","NEW"," ---","[e10s] make social iframes remote","2016-11-14 12:12:53","898706, 1072980, 1162322, 1164979, 1257316, 1257723","2014-09-29 16:45:27","Mac OS X",14,,,,0,"Client Software"," --",,"32 Branch",0,6,
1075254,"Firefox","SocialAPI","nobody","NEW"," ---","improve the activation panel","2014-09-30 16:56:26",,"2014-09-30 16:56:26","Mac OS X",1,,,,0,"Client Software"," --",,"32 Branch",0,0,
1084908,"Firefox","SocialAPI","nobody","NEW"," ---","The [+] icon in the ""Share this page"" bubble is confusing","2014-11-18 15:23:21",,"2014-10-18 04:28:27","Linux",6,,,,0,"Client Software"," --",,"unspecified",0,3,
1087009,"Firefox","SocialAPI","nobody","NEW"," ---","Social button should still allow adding services while on a blank tab","2014-10-21 15:20:23",,"2014-10-21 15:20:23","Windows NT",1,,,,0,"Client Software"," --",,"unspecified",0,0,
1097231,"Firefox","SocialAPI","nobody","NEW"," ---","Move the socialapi-directory code on github into the mozilla group","2014-11-11 12:39:57",,"2014-11-11 12:36:39","All",2,,,,0,"Client Software"," --",,"Trunk",0,2,
1102009,"Firefox","SocialAPI","nobody","NEW"," ---","window.opener not set when activating a provider from the share panel","2014-11-19 16:57:34",,"2014-11-19 16:57:34","Mac OS X",1,,,,0,"Client Software"," --",,"32 Branch",0,0,
1124706,"Firefox","SocialAPI","nobody","NEW"," ---","Social's error page does not work in Find more Share services","2015-01-22 07:59:15",,"2015-01-22 07:59:15","All",1,,,,0,"Client Software"," --",,"Trunk",0,1,
1127493,"Firefox","SocialAPI","nobody","NEW"," ---","Share Panel ""Pick a service"" screen needs to be redesigned to fit new panel format","2015-11-07 06:52:52",,"2015-01-29 12:02:22","All",5,,,,0,"Client Software"," --",,"unspecified",0,5,
1137971,"Firefox","SocialAPI","nobody","NEW"," ---","add url to social error page","2017-03-15 13:45:49",,"2015-02-27 17:01:22","Mac OS X",8,,,,0,"Client Software"," --",,"38 Branch",0,3,
1142568,"Firefox","SocialAPI","nobody","NEW"," ---","Clean up global scope pollution from browser-social.js","2015-11-07 06:53:48",,"2015-03-12 09:12:17","All",1,,,,0,"Client Software"," --",,"Trunk",0,0,
1153632,"Firefox","SocialAPI","nobody","NEW"," ---","""Share This Page"" list is mostly empty and oddly arranged","2015-04-13 15:58:10",,"2015-04-12 07:45:20","Mac OS X",8,,,,0,"Client Software"," --",,"40 Branch",0,2,
1154376,"Firefox","SocialAPI","nobody","NEW"," ---","The icons of ""share this page"" are not showing anymore","2016-01-28 08:58:37",,"2015-04-14 10:42:57","Linux",8,,,,1,"Client Software"," --",,"Trunk",0,3,
1156237,"Firefox","SocialAPI","nobody","NEW"," ---","'Share this page' pop-up is dismissed if clicked on blank area with conversation window detached","2015-04-20 04:26:52",,"2015-04-20 04:06:25","All",1,,,,0,"Client Software"," --",,"unspecified",0,2,
1158978,"Firefox","SocialAPI","nobody","NEW"," ---","Sharing a link should display some kind of indicator once the link has been successfully delivered","2015-04-27 13:52:49",,"2015-04-27 13:39:05","Mac OS X",2,,,,0,"Client Software"," --",,"unspecified",0,1,
1174481,"Firefox","SocialAPI","nobody","NEW"," ---","""Share This Page"" constantly asks to be configured","2015-06-13 16:44:35",,"2015-06-13 16:44:35","Windows 8.1",1,,,,0,"Client Software"," --",,"38 Branch",0,0,
1200850,"Firefox","SocialAPI","nobody","NEW"," ---","share this link / image does not work as expected on google search results","2015-09-02 12:33:52",,"2015-09-01 15:37:31","Unspecified",1,,,,0,"Client Software"," --",,"40 Branch",1,1,
1200852,"Firefox","SocialAPI","nobody","NEW"," ---","Allow ESCAPE to close autocomplete","2015-09-01 15:39:55",,"2015-09-01 15:39:55","Unspecified",1,,,,0,"Client Software"," --",,"40 Branch",1,0,
1200854,"Firefox","SocialAPI","nobody","NEW"," ---","panel state not retained when closed","2015-09-01 15:49:38",,"2015-09-01 15:49:38","Unspecified",1,,,,0,"Client Software"," --",,"40 Branch",1,0,
1231465,"Firefox","SocialAPI","nobody","NEW"," ---","Share menuitems in context menus do not work in private mode if Share button is placed in menu (≡)","2018-03-29 09:37:19",,"2015-12-09 10:36:38","Unspecified",2,,,,0,"Client Software"," --",,"Trunk",0,2,
1260376,"Firefox","SocialAPI","nobody","NEW"," ---","""Share this page"" button's dropdown panel does not dismiss if the button is clicked a second time","2016-05-05 13:23:51",,"2016-03-29 02:05:31","Unspecified",3,,,,0,"Client Software"," --",,"unspecified",0,1,
1358002,"Firefox","SocialAPI","nobody","NEW"," ---","Browser hang when click ""View more"" link in Share This Page panel, with Adblock Plus installed","2018-09-10 19:16:39",,"2017-04-19 21:54:07","Windows",6,,,,0,"Client Software"," --",,"53 Branch",0,2,
1388530,"Firefox","SocialAPI","nobody","NEW"," ---","Clicking share button on http://searchfox.org/mozilla-central/source/layout/painting/nsDisplayList.cpp#5937 loops forever","2017-10-13 11:09:30",,"2017-08-08 14:28:52","Unspecified",5,,,,0,"Client Software"," --",,"unspecified",0,2,
1131001,"Firefox","SocialAPI","mdeboer","NEW"," ---","Move panel show/ hide toggle to the shared PanelFrame module","2015-02-09 10:35:28",1113896,"2015-02-09 03:26:18","All",3,,,,0,"Client Software","P3",,"32 Branch",0,1,
1270490,"Firefox","SocialAPI","nobody","NEW"," ---","Intermittent test_interface.py TestInterfaceUnits.test_units | UnknownException: UnknownException: Error loading page","2016-09-01 12:00:31",,"2016-05-05 06:36:31","Unspecified",3,,,,0,"Client Software","P3",,"Trunk",0,1,
974146,"Firefox","SocialAPI","nobody","REOPENED"," ---","Update socialapi tests to use PopupNotifications.getNotification()","2016-10-27 10:15:04",967349,"2014-02-18 14:42:04","All",4,"2016-08-24 19:11:24",,,0,"Client Software"," --",,"unspecified",0,2,
1297448,"Firefox","SocialAPI","nobody","REOPENED"," ---","""share this page"" option in FF 47 and 48 stopped working with Yahoo Mail service","2016-10-03 02:39:37",,"2016-08-23 10:08:58","Windows 10",6,"2016-09-22 20:26:42",,,0,"Client Software"," --",,"48 Branch",0,1,
1150875,"Firefox","SocialAPI","nobody","REOPENED"," ---","Intermittent browser_blocklist.js | uncaught exception - Error: operation not possible on dead CPOW at :0","2016-07-05 16:50:42",,"2015-04-03 06:28:00","All",19,"2015-07-02 14:29:17",,,0,"Client Software","P5",,"unspecified",0,2,
