"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Depends on","Opened","OS","Number of Comments","Last Resolved","Last Visit","Crash Signature","Duplicate Count","Classification","Priority","Rank","Version","Votes","CC Count","Bug Interest"
1477192,"Firefox","WebPayments UI","nobody","UNCONFIRMED"," ---","Blank option line is displayed in the dropdown menus of the “Add/Edit Credit Card” screens","2018-10-01 14:55:58",,"2018-07-20 02:10:18","All",2,,,,0,"Client Software","P3",,"Trunk",0,2,
1492062,"Firefox","WebPayments UI","nobody","UNCONFIRMED"," ---","The ""Save CC/Address to Nightly"" checkbox state changes by clicking on the blank space in line with it","2018-10-01 14:32:09",,"2018-09-18 01:28:39","All",2,,,,0,"Client Software","P3",,"Trunk",0,1,
1427951,"Firefox","WebPayments UI","nobody","NEW"," ---","[meta] Payment Request Shipping/Contact Address Add/Edit page","2018-08-14 18:01:58","1427954, 1427958, 1427959, 1427960, 1427961, 1440504, 1446164, 1446203, 1476345, 1483412, 1483427","2018-01-03 20:06:30","All",1,,,,0,"Client Software"," --",,"Trunk",1,1,
1427953,"Firefox","WebPayments UI","nobody","NEW"," ---","[meta] Payment Request Basic (Credit/Debit) Card Add/Edit page","2018-10-29 05:26:43","1392520, 1428414, 1428415, 1428472, 1429180, 1429181, 1429187, 1446164, 1455789, 1476204, 1477105, 1480717, 1480719, 1483427","2018-01-03 20:08:12","All",1,,,,0,"Client Software"," --",,"Trunk",2,3,
1432953,"Firefox","WebPayments UI","nobody","NEW"," ---","[meta] Payment Request Management/Preference Changes","2018-04-30 18:30:19","1432943, 1432945, 1432952, 1432958","2018-01-24 13:53:44","All",1,,,,0,"Client Software"," --",,"Trunk",0,1,
1435114,"Firefox","WebPayments UI","nobody","NEW"," ---","[meta] Telemetry for Payment Request with Basic Card","2018-09-05 15:05:30",1463558,"2018-02-01 16:36:06","Unspecified",1,,,,0,"Client Software"," --",,"Trunk",0,2,
1446577,"Firefox","WebPayments UI","nobody","NEW"," ---","[meta] <rich-select> UI/UX polish","2018-10-29 05:26:31","1463545, 1463547, 1463554","2018-03-16 17:42:36","All",1,,,,0,"Client Software"," --",,"Trunk",0,4,
1464356,"Firefox","WebPayments UI","nobody","NEW"," ---","Intermittent Test Verify TEST-UNEXPECTED-FAIL | browser/components/payments/test/browser/browser_onboarding_wizard.js | Uncaught exception - TypeError: element is null","2018-10-19 19:43:43",,"2018-05-25 02:38:17","Unspecified",5,,,,0,"Client Software"," --",,"unspecified",0,3,
1464527,"Firefox","WebPayments UI","nobody","NEW"," ---","Intermittent browser/components/payments/test/browser/browser_onboarding_wizard.js | Test timed out -","2018-10-19 19:43:54",,"2018-05-25 14:34:30","Unspecified",3,,,,0,"Client Software"," --",,"unspecified",0,2,
1504960,"Firefox","WebPayments UI","nobody","NEW"," ---","CC number field validation applies the ""..at least 9 characters"" tooltip instead of the Luhn Algorithm","2018-11-08 23:26:09",,"2018-11-06 01:56:55","All",6,,,,0,"Client Software"," --",,"Trunk",0,2,
